chargesheet_id,case_id,court_id,court_name,filing_date,filing_officer_id,chargesheet_status
CHG000035,CR000142,CRT0096,Kolar District and Sessions Court,2026-02-13,EMP006073,Accepted
CHG000036,CR000147,CRT0103,Koppal Civil Judge and JMFC Court,2026-08-10,EMP006574,Filed
CHG000037,CR000148,CRT0014,Belagavi Family Court,2025-07-23,EMP000554,Filed
CHG000038,CR000152,CRT0106,Mandya District and Sessions Court,2025-09-25,EMP006666,Filed
CHG000039,CR000153,CRT0076,Hassan District and Sessions Court,2025-07-11,EMP004960,Filed
CHG000040,CR000159,CRT0044,Chikkaballapura Family Court,2026-08-10,EMP003263,Accepted
CHG000041,CR000166,CRT0126,Tumakuru District and Sessions Court,2026-02-14,EMP008645,Filed
CHG000042,CR000168,CRT0061,Davanagere District and Sessions Court,2026-04-16,EMP004102,Returned for Correction
CHG000043,CR000171,CRT0127,Tumakuru Senior Civil Court,2025-06-10,EMP008470,Filed
CHG000044,CR000174,CRT0049,Chikkamagaluru Family Court,2025-11-03,EMP003301,Filed
CHG000045,CR000179,CRT0096,Kolar District and Sessions Court,2025-12-05,EMP006108,Filed
CHG000046,CR000181,CRT0126,Tumakuru District and Sessions Court,2026-05-11,EMP008803,Filed
CHG000047,CR000185,CRT0133,Udupi Civil Judge and JMFC Court,2026-03-07,EMP008926,Accepted
CHG000048,CR000186,CRT0034,Bidar Family Court,2025-08-18,EMP003050,Filed
CHG000049,CR000187,CRT0123,Shivamogga Civil Judge and JMFC Court,2024-11-28,EMP007996,Filed
CHG000050,CR000196,CRT0066,Dharwad District and Sessions Court,2026-08-13,EMP004258,Accepted
CHG000051,CR000197,CRT0088,Kalaburagi Civil Judge and JMFC Court,2025-12-16,EMP005473,Filed
CHG000052,CR000199,CRT0102,Koppal Senior Civil Court,2025-03-03,EMP006452,Filed
CHG000053,CR000201,CRT0130,Tumakuru Special Court,2025-01-13,EMP008737,Filed
CHG000054,CR000202,CRT0101,Koppal District and Sessions Court,2025-12-13,EMP006535,Filed
CHG000055,CR000219,CRT0053,Chitradurga Civil Judge and JMFC Court,2026-09-15,EMP003354,Accepted
CHG000056,CR000230,CRT0025,Bengaluru South Special Court,2025-02-12,EMP001688,Filed
CHG000057,CR000234,CRT0139,Uttara Kannada Family Court,2026-08-18,EMP009430,Filed
CHG000058,CR000236,CRT0140,Uttara Kannada Special Court,2025-10-09,EMP009162,Filed
CHG000059,CR000241,CRT0128,Tumakuru Civil Judge and JMFC Court,2025-12-19,EMP008650,Filed
CHG000060,CR000245,CRT0032,Bidar Senior Civil Court,2025-08-22,EMP003182,Filed
CHG000061,CR000247,CRT0123,Shivamogga Civil Judge and JMFC Court,2025-04-06,EMP008326,Filed
CHG000062,CR000261,CRT0027,Bengaluru Urban Senior Civil Court,2026-02-28,EMP002321,Accepted
CHG000063,CR000262,CRT0094,Kodagu Family Court,2025-07-01,EMP005815,Filed
CHG000064,CR000267,CRT0049,Chikkamagaluru Family Court,2025-04-08,EMP003297,Filed
CHG000065,CR000269,CRT0139,Uttara Kannada Family Court,2026-05-02,EMP009238,Filed
CHG000066,CR000272,CRT0106,Mandya District and Sessions Court,2025-12-17,EMP006678,Filed
CHG000067,CR000277,CRT0023,Bengaluru South Civil Judge and JMFC Court,2024-11-28,EMP001636,Returned for Correction
CHG000068,CR000283,CRT0084,Haveri Family Court,2026-06-01,EMP005128,Filed
CHG000069,CR000287,CRT0013,Belagavi Civil Judge and JMFC Court,2025-01-13,EMP000789,Filed
CHG000070,CR000289,CRT0077,Hassan Senior Civil Court,2025-09-30,EMP004831,Filed
CHG000071,CR000292,CRT0103,Koppal Civil Judge and JMFC Court,2025-09-26,EMP006559,Filed
CHG000072,CR000295,CRT0077,Hassan Senior Civil Court,2025-09-02,EMP004911,Filed
CHG000073,CR000302,CRT0016,Bengaluru Rural District and Sessions Court,2025-11-25,EMP001333,Returned for Correction
CHG000074,CR000305,CRT0117,Raichur Senior Civil Court,2026-04-26,EMP007834,Filed
CHG000075,CR000311,CRT0004,Bagalkote Family Court,2025-06-10,EMP000011,Filed
CHG000076,CR000315,CRT0110,Mandya Special Court,2026-11-05,EMP006818,Filed
CHG000077,CR000317,CRT0139,Uttara Kannada Family Court,2026-06-22,EMP009414,Filed
CHG000078,CR000318,CRT0064,Davanagere Family Court,2026-05-10,EMP003928,Filed
CHG000079,CR000320,CRT0034,Bidar Family Court,2025-06-16,EMP002955,Filed
CHG000080,CR000322,CRT0124,Shivamogga Family Court,2025-01-31,EMP008099,Filed
CHG000081,CR000323,CRT0068,Dharwad Civil Judge and JMFC Court,2025-08-27,EMP003868,Filed
CHG000082,CR000328,CRT0081,Haveri District and Sessions Court,2025-09-17,EMP005055,Filed
CHG000083,CR000331,CRT0129,Tumakuru Family Court,2026-02-02,EMP008658,Filed
CHG000084,CR000336,CRT0041,Chikkaballapura District and Sessions Court,2026-05-23,EMP003277,Filed
CHG000085,CR000338,CRT0055,Chitradurga Special Court,2025-06-19,EMP000885,Filed
CHG000086,CR000346,CRT0086,Kalaburagi District and Sessions Court,2025-10-21,EMP005497,Filed
CHG000087,CR000350,CRT0044,Chikkaballapura Family Court,2025-01-12,EMP003293,Filed
CHG000088,CR000352,CRT0149,Vijayapura Family Court,2025-03-03,EMP009736,Filed
CHG000089,CR000354,CRT0041,Chikkaballapura District and Sessions Court,2026-08-26,EMP003287,Accepted
CHG000090,CR000361,CRT0131,Udupi District and Sessions Court,2025-12-22,EMP009114,Filed
CHG000091,CR000366,CRT0127,Tumakuru Senior Civil Court,2025-02-12,EMP008632,Filed
CHG000092,CR000369,CRT0132,Udupi Senior Civil Court,2026-01-25,EMP008947,Filed
CHG000093,CR000375,CRT0112,Mysuru Senior Civil Court,2026-02-13,EMP007314,Filed
CHG000094,CR000377,CRT0019,Bengaluru Rural Family Court,2026-03-10,EMP001183,Filed
CHG000095,CR000378,CRT0109,Mandya Family Court,2025-03-03,EMP006799,Filed
CHG000096,CR000381,CRT0106,Mandya District and Sessions Court,2025-10-06,EMP006703,Filed
CHG000097,CR000385,CRT0129,Tumakuru Family Court,2025-09-15,EMP008685,Filed
CHG000098,CR000387,CRT0127,Tumakuru Senior Civil Court,2025-06-13,EMP008682,Accepted
CHG000099,CR000390,CRT0090,Kalaburagi Special Court,2026-08-05,EMP005460,Filed
CHG000100,CR000392,CRT0062,Davanagere Senior Civil Court,2024-11-29,EMP004085,Filed
CHG000101,CR000393,CRT0036,Chamarajanagar District and Sessions Court,2025-04-11,EMP003255,Accepted
CHG000102,CR000394,CRT0077,Hassan Senior Civil Court,2024-09-24,EMP004640,Filed
CHG000103,CR000395,CRT0042,Chikkaballapura Senior Civil Court,2025-08-10,EMP003292,Filed
CHG000104,CR000404,CRT0035,Bidar Special Court,2025-09-15,EMP002941,Accepted
CHG000105,CR000411,CRT0059,Dakshina Kannada Family Court,2026-06-04,EMP003485,Filed
CHG000106,CR000412,CRT0136,Uttara Kannada District and Sessions Court,2026-09-08,EMP009425,Filed
CHG000107,CR000416,CRT0097,Kolar Senior Civil Court,2026-05-30,EMP006224,Filed
CHG000108,CR000418,CRT0021,Bengaluru South District and Sessions Court,2025-06-30,EMP001503,Filed
CHG000109,CR000422,CRT0014,Belagavi Family Court,2025-12-10,EMP000626,Filed
CHG000110,CR000429,CRT0109,Mandya Family Court,2025-08-10,EMP007020,Filed
CHG000111,CR000432,CRT0129,Tumakuru Family Court,2026-01-17,EMP008603,Filed
CHG000112,CR000434,CRT0125,Shivamogga Special Court,2026-01-17,EMP008199,Filed
CHG000113,CR000453,CRT0077,Hassan Senior Civil Court,2026-10-04,EMP004708,Filed
CHG000114,CR000460,CRT0125,Shivamogga Special Court,2025-09-16,EMP008145,Filed
CHG000115,CR000461,CRT0049,Chikkamagaluru Family Court,2025-11-08,EMP003300,Filed
CHG000116,CR000467,CRT0046,Chikkamagaluru District and Sessions Court,2025-01-16,EMP003299,Accepted
CHG000117,CR000470,CRT0091,Kodagu District and Sessions Court,2025-11-10,EMP005792,Filed
CHG000118,CR000473,CRT0030,Bengaluru Urban Special Court,2025-01-18,EMP002282,Filed
CHG000119,CR000477,CRT0113,Mysuru Civil Judge and JMFC Court,2024-12-21,EMP007287,Returned for Correction
CHG000120,CR000490,CRT0077,Hassan Senior Civil Court,2025-02-11,EMP004870,Accepted
CHG000121,CR000492,CRT0008,Ballari Civil Judge and JMFC Court,2025-05-04,EMP000437,Accepted
CHG000122,CR000510,CRT0047,Chikkamagaluru Senior Civil Court,2025-12-06,EMP003303,Filed
CHG000123,CR000517,CRT0109,Mandya Family Court,2024-12-29,EMP006661,Filed
CHG000124,CR000523,CRT0099,Kolar Family Court,2025-02-16,EMP006238,Filed
CHG000125,CR000527,CRT0050,Chikkamagaluru Special Court,2025-11-05,EMP003297,Returned for Correction
CHG000126,CR000536,CRT0090,Kalaburagi Special Court,2025-09-25,EMP005400,Accepted
CHG000127,CR000537,CRT0111,Mysuru District and Sessions Court,2025-08-19,EMP007556,Filed
CHG000128,CR000539,CRT0001,Bagalkote District and Sessions Court,2025-03-06,EMP000187,Returned for Correction
CHG000129,CR000546,CRT0020,Bengaluru Rural Special Court,2025-09-14,EMP001207,Filed
CHG000130,CR000549,CRT0078,Hassan Civil Judge and JMFC Court,2025-07-28,EMP005014,Filed
CHG000131,CR000554,CRT0008,Ballari Civil Judge and JMFC Court,2025-08-11,EMP000370,Filed
CHG000132,CR000562,CRT0018,Bengaluru Rural Civil Judge and JMFC Court,2026-03-23,EMP001185,Filed
CHG000133,CR000568,CRT0128,Tumakuru Civil Judge and JMFC Court,2025-03-13,EMP008706,Accepted
CHG000134,CR000569,CRT0018,Bengaluru Rural Civil Judge and JMFC Court,2026-04-12,EMP001435,Accepted
CHG000135,CR000572,CRT0079,Hassan Family Court,2026-04-26,EMP004697,Accepted
CHG000136,CR000576,CRT0104,Koppal Family Court,2025-01-31,EMP006404,Filed
CHG000137,CR000580,CRT0046,Chikkamagaluru District and Sessions Court,2024-12-23,EMP003313,Filed
CHG000138,CR000583,CRT0077,Hassan Senior Civil Court,2025-08-28,EMP004768,Filed
CHG000139,CR000585,CRT0044,Chikkaballapura Family Court,2026-05-22,EMP003265,Accepted
CHG000140,CR000594,CRT0044,Chikkaballapura Family Court,2025-03-14,EMP003269,Accepted
CHG000141,CR000596,CRT0074,Gadag Family Court,2025-04-30,EMP004481,Accepted
CHG000142,CR000603,CRT0080,Hassan Special Court,2025-02-27,EMP004836,Accepted
CHG000143,CR000610,CRT0045,Chikkaballapura Special Court,2026-02-07,EMP003291,Filed
CHG000144,CR000613,CRT0019,Bengaluru Rural Family Court,2026-10-09,EMP001432,Filed
CHG000145,CR000614,CRT0148,Vijayapura Civil Judge and JMFC Court,2025-05-12,EMP009662,Filed
CHG000146,CR000627,CRT0124,Shivamogga Family Court,2026-10-12,EMP008167,Accepted
CHG000147,CR000628,CRT0061,Davanagere District and Sessions Court,2026-10-06,EMP003870,Filed
CHG000148,CR000649,CRT0077,Hassan Senior Civil Court,2026-06-21,EMP004881,Filed
CHG000149,CR000654,CRT0003,Bagalkote Civil Judge and JMFC Court,2026-02-11,EMP000119,Returned for Correction
CHG000150,CR000655,CRT0098,Kolar Civil Judge and JMFC Court,2026-04-13,EMP006342,Accepted
CHG000151,CR000661,CRT0081,Haveri District and Sessions Court,2026-02-25,EMP005332,Filed
CHG000152,CR000666,CRT0081,Haveri District and Sessions Court,2025-06-11,EMP005072,Filed
CHG000153,CR000671,CRT0077,Hassan Senior Civil Court,2025-10-14,EMP004935,Filed
CHG000154,CR000672,CRT0080,Hassan Special Court,2024-12-20,EMP004996,Accepted
CHG000155,CR000674,CRT0077,Hassan Senior Civil Court,2025-11-12,EMP004840,Accepted
CHG000156,CR000675,CRT0138,Uttara Kannada Civil Judge and JMFC Court,2025-01-04,EMP009245,Filed
CHG000157,CR000679,CRT0019,Bengaluru Rural Family Court,2026-10-11,EMP001202,Filed
CHG000158,CR000681,CRT0004,Bagalkote Family Court,2025-11-02,EMP000025,Filed
CHG000159,CR000705,CRT0014,Belagavi Family Court,2026-11-26,EMP000792,Filed
CHG000160,CR000706,CRT0140,Uttara Kannada Special Court,2026-02-22,EMP009364,Filed
CHG000161,CR000707,CRT0029,Bengaluru Urban Family Court,2025-03-11,EMP001898,Filed
CHG000162,CR000708,CRT0031,Bidar District and Sessions Court,2025-07-14,EMP002966,Accepted
CHG000163,CR000713,CRT0074,Gadag Family Court,2024-11-13,EMP004529,Filed
CHG000164,CR000714,CRT0139,Uttara Kannada Family Court,2025-08-14,EMP009273,Filed
CHG000165,CR000720,CRT0045,Chikkaballapura Special Court,2025-09-21,EMP003273,Filed
CHG000166,CR000721,CRT0027,Bengaluru Urban Senior Civil Court,2026-02-27,EMP001813,Filed
CHG000167,CR000722,CRT0033,Bidar Civil Judge and JMFC Court,2025-06-16,EMP003173,Filed
CHG000168,CR000726,CRT0129,Tumakuru Family Court,2025-08-06,EMP008566,Filed
CHG000169,CR000740,CRT0127,Tumakuru Senior Civil Court,2026-01-04,EMP001618,Filed
CHG000170,CR000749,CRT0116,Raichur District and Sessions Court,2025-11-04,EMP007828,Filed
CHG000171,CR000750,CRT0124,Shivamogga Family Court,2026-08-19,EMP008253,Filed
CHG000172,CR000751,CRT0053,Chitradurga Civil Judge and JMFC Court,2025-07-22,EMP003350,Filed
CHG000173,CR000755,CRT0137,Uttara Kannada Senior Civil Court,2025-01-01,EMP009185,Accepted
CHG000174,CR000759,CRT0062,Davanagere Senior Civil Court,2025-12-07,EMP000890,Filed
CHG000175,CR000760,CRT0126,Tumakuru District and Sessions Court,2025-06-08,EMP001622,Filed
CHG000176,CR000765,CRT0128,Tumakuru Civil Judge and JMFC Court,2026-08-19,EMP008579,Accepted
CHG000177,CR000770,CRT0087,Kalaburagi Senior Civil Court,2026-03-02,EMP005607,Filed
CHG000178,CR000771,CRT0108,Mandya Civil Judge and JMFC Court,2026-08-05,EMP006777,Filed
CHG000179,CR000774,CRT0100,Kolar Special Court,2024-10-03,EMP006120,Accepted
CHG000180,CR000785,CRT0055,Chitradurga Special Court,2026-02-21,EMP003341,Filed
CHG000181,CR000796,CRT0128,Tumakuru Civil Judge and JMFC Court,2025-03-01,EMP008645,Accepted
CHG000182,CR000801,CRT0051,Chitradurga District and Sessions Court,2024-11-16,EMP000884,Filed
CHG000183,CR000803,CRT0128,Tumakuru Civil Judge and JMFC Court,2025-12-01,EMP008850,Accepted
CHG000184,CR000834,CRT0062,Davanagere Senior Civil Court,2026-12-06,EMP004034,Filed
CHG000185,CR000838,CRT0025,Bengaluru South Special Court,2026-04-13,EMP001567,Filed
CHG000186,CR000839,CRT0137,Uttara Kannada Senior Civil Court,2026-04-02,EMP009245,Filed
CHG000187,CR000840,CRT0044,Chikkaballapura Family Court,2026-09-16,EMP003292,Filed
CHG000188,CR000841,CRT0063,Davanagere Civil Judge and JMFC Court,2025-11-11,EMP003912,Filed
CHG000189,CR000846,CRT0005,Bagalkote Special Court,2024-12-20,EMP000009,Filed
CHG000190,CR000848,CRT0129,Tumakuru Family Court,2025-02-24,EMP008409,Filed
CHG000191,CR000861,CRT0086,Kalaburagi District and Sessions Court,2026-04-26,EMP005354,Filed
CHG000192,CR000862,CRT0072,Gadag Senior Civil Court,2025-12-16,EMP004538,Accepted
CHG000193,CR000866,CRT0079,Hassan Family Court,2025-01-05,EMP004868,Returned for Correction
CHG000194,CR000869,CRT0112,Mysuru Senior Civil Court,2026-07-16,EMP007374,Returned for Correction
CHG000195,CR000870,CRT0027,Bengaluru Urban Senior Civil Court,2025-09-16,EMP002751,Accepted
CHG000196,CR000871,CRT0131,Udupi District and Sessions Court,2024-11-30,EMP009041,Filed
CHG000197,CR000886,CRT0080,Hassan Special Court,2026-09-05,EMP004726,Filed
CHG000198,CR000895,CRT0025,Bengaluru South Special Court,2025-12-10,EMP001536,Filed
CHG000199,CR000897,CRT0113,Mysuru Civil Judge and JMFC Court,2026-08-23,EMP007200,Filed
CHG000200,CR000898,CRT0123,Shivamogga Civil Judge and JMFC Court,2025-06-03,EMP008277,Filed
CHG000201,CR000899,CRT0017,Bengaluru Rural Senior Civil Court,2026-06-08,EMP001259,Filed
CHG000202,CR000902,CRT0054,Chitradurga Family Court,2025-08-12,EMP003329,Returned for Correction
CHG000203,CR000903,CRT0041,Chikkaballapura District and Sessions Court,2026-08-25,EMP003287,Filed
CHG000204,CR000904,CRT0097,Kolar Senior Civil Court,2025-03-19,EMP006039,Accepted
CHG000205,CR000912,CRT0033,Bidar Civil Judge and JMFC Court,2025-02-08,EMP002893,Filed
CHG000206,CR000914,CRT0060,Dakshina Kannada Special Court,2026-01-02,EMP003419,Filed
CHG000207,CR000915,CRT0146,Vijayapura District and Sessions Court,2025-09-27,EMP009674,Filed
CHG000208,CR000919,CRT0040,Chamarajanagar Special Court,2025-01-26,EMP003260,Filed
CHG000209,CR000920,CRT0081,Haveri District and Sessions Court,2025-05-08,EMP005077,Filed
CHG000210,CR000921,CRT0112,Mysuru Senior Civil Court,2025-09-03,EMP007160,Filed
CHG000211,CR000922,CRT0146,Vijayapura District and Sessions Court,2024-10-08,EMP009587,Filed
CHG000212,CR000923,CRT0096,Kolar District and Sessions Court,2026-06-16,EMP006144,Filed
CHG000213,CR000928,CRT0093,Kodagu Civil Judge and JMFC Court,2026-06-13,EMP005890,Filed
CHG000214,CR000933,CRT0087,Kalaburagi Senior Civil Court,2024-09-20,EMP005527,Returned for Correction
CHG000215,CR000934,CRT0061,Davanagere District and Sessions Court,2026-02-19,EMP003838,Filed
CHG000216,CR000935,CRT0038,Chamarajanagar Civil Judge and JMFC Court,2025-05-25,EMP003257,Filed
CHG000217,CR000937,CRT0120,Raichur Special Court,2024-10-17,EMP007738,Returned for Correction
CHG000218,CR000954,CRT0098,Kolar Civil Judge and JMFC Court,2026-05-30,EMP006360,Filed
CHG000219,CR000955,CRT0112,Mysuru Senior Civil Court,2025-02-12,EMP007281,Filed
CHG000220,CR000958,CRT0016,Bengaluru Rural District and Sessions Court,2025-05-01,EMP001342,Filed
CHG000221,CR000961,CRT0126,Tumakuru District and Sessions Court,2026-02-09,EMP008406,Filed
CHG000222,CR000962,CRT0032,Bidar Senior Civil Court,2025-01-18,EMP002954,Accepted
CHG000223,CR000967,CRT0129,Tumakuru Family Court,2025-12-28,EMP008653,Filed
CHG000224,CR000972,CRT0080,Hassan Special Court,2026-08-31,EMP004883,Filed
CHG000225,CR000974,CRT0061,Davanagere District and Sessions Court,2026-06-24,EMP000884,Returned for Correction
CHG000226,CR000985,CRT0051,Chitradurga District and Sessions Court,2026-07-14,EMP003338,Filed
CHG000227,CR000987,CRT0124,Shivamogga Family Court,2026-10-31,EMP008149,Filed
CHG000228,CR000996,CRT0124,Shivamogga Family Court,2025-05-22,EMP008031,Filed
CHG000229,CR000997,CRT0015,Belagavi Special Court,2025-05-07,EMP000615,Accepted
CHG000230,CR000999,CRT0030,Bengaluru Urban Special Court,2025-03-26,EMP002436,Accepted
CHG000231,CR001001,CRT0153,Yadgir Civil Judge and JMFC Court,2024-11-27,EMP009936,Accepted
CHG000232,CR001003,CRT0022,Bengaluru South Senior Civil Court,2026-08-08,EMP001483,Filed
CHG000233,CR001004,CRT0131,Udupi District and Sessions Court,2025-01-16,EMP008994,Accepted
CHG000234,CR001005,CRT0126,Tumakuru District and Sessions Court,2025-02-02,EMP008530,Filed
CHG000235,CR001008,CRT0147,Vijayapura Senior Civil Court,2025-09-29,EMP009575,Filed
CHG000236,CR001009,CRT0054,Chitradurga Family Court,2026-02-13,EMP003323,Filed
CHG000237,CR001011,CRT0028,Bengaluru Urban Civil Judge and JMFC Court,2026-11-11,EMP002258,Accepted
CHG000238,CR001012,CRT0018,Bengaluru Rural Civil Judge and JMFC Court,2025-07-24,EMP001252,Filed
CHG000239,CR001022,CRT0118,Raichur Civil Judge and JMFC Court,2025-09-19,EMP007804,Filed
CHG000240,CR001023,CRT0096,Kolar District and Sessions Court,2026-04-23,EMP006066,Accepted
CHG000241,CR001029,CRT0116,Raichur District and Sessions Court,2026-05-03,EMP007776,Filed
CHG000242,CR001031,CRT0122,Shivamogga Senior Civil Court,2025-05-04,EMP007986,Filed
CHG000243,CR001038,CRT0084,Haveri Family Court,2025-12-07,EMP005089,Filed
CHG000244,CR001039,CRT0062,Davanagere Senior Civil Court,2025-04-25,EMP004018,Filed
CHG000245,CR001040,CRT0112,Mysuru Senior Civil Court,2025-10-20,EMP007148,Filed
CHG000246,CR001047,CRT0018,Bengaluru Rural Civil Judge and JMFC Court,2025-12-23,EMP001258,Returned for Correction
CHG000247,CR001052,CRT0074,Gadag Family Court,2026-04-22,EMP004569,Filed
CHG000248,CR001058,CRT0052,Chitradurga Senior Civil Court,2025-01-25,EMP000889,Filed
CHG000249,CR001062,CRT0014,Belagavi Family Court,2025-05-13,EMP000618,Filed
CHG000250,CR001064,CRT0108,Mandya Civil Judge and JMFC Court,2025-08-30,EMP006833,Filed
CHG000251,CR001075,CRT0112,Mysuru Senior Civil Court,2026-03-11,EMP007418,Filed
CHG000252,CR001089,CRT0054,Chitradurga Family Court,2025-02-01,EMP000889,Accepted
CHG000253,CR001104,CRT0126,Tumakuru District and Sessions Court,2025-04-17,EMP008406,Filed
CHG000254,CR001106,CRT0045,Chikkaballapura Special Court,2026-02-02,EMP003280,Filed
CHG000255,CR001107,CRT0097,Kolar Senior Civil Court,2024-10-27,EMP006165,Accepted
CHG000256,CR001108,CRT0056,Dakshina Kannada District and Sessions Court,2026-05-23,EMP003679,Filed
CHG000257,CR001109,CRT0096,Kolar District and Sessions Court,2026-06-14,EMP006265,Filed
CHG000258,CR001114,CRT0096,Kolar District and Sessions Court,2026-01-28,EMP006219,Accepted
CHG000259,CR001119,CRT0087,Kalaburagi Senior Civil Court,2025-02-01,EMP005434,Filed
CHG000260,CR001122,CRT0110,Mandya Special Court,2025-10-02,EMP006651,Filed
CHG000261,CR001135,CRT0033,Bidar Civil Judge and JMFC Court,2025-10-28,EMP003028,Filed
CHG000262,CR001138,CRT0132,Udupi Senior Civil Court,2025-05-26,EMP008953,Filed
CHG000263,CR001142,CRT0080,Hassan Special Court,2025-09-28,EMP004849,Filed
CHG000264,CR001146,CRT0077,Hassan Senior Civil Court,2024-09-12,EMP004799,Returned for Correction
CHG000265,CR001147,CRT0121,Shivamogga District and Sessions Court,2026-04-11,EMP008353,Filed
CHG000266,CR001150,CRT0125,Shivamogga Special Court,2025-05-05,EMP008167,Accepted
CHG000267,CR001163,CRT0138,Uttara Kannada Civil Judge and JMFC Court,2026-08-16,EMP009297,Filed
CHG000268,CR001167,CRT0138,Uttara Kannada Civil Judge and JMFC Court,2025-09-19,EMP009247,Filed
CHG000269,CR001171,CRT0090,Kalaburagi Special Court,2025-01-01,EMP005428,Filed
CHG000270,CR001176,CRT0078,Hassan Civil Judge and JMFC Court,2025-09-15,EMP004660,Filed
CHG000271,CR001183,CRT0123,Shivamogga Civil Judge and JMFC Court,2025-11-26,EMP007995,Accepted
CHG000272,CR001184,CRT0109,Mandya Family Court,2025-12-30,EMP006671,Filed
CHG000273,CR001188,CRT0008,Ballari Civil Judge and JMFC Court,2026-01-27,EMP000437,Filed
CHG000274,CR001192,CRT0098,Kolar Civil Judge and JMFC Court,2024-11-16,EMP006237,Returned for Correction
CHG000275,CR001196,CRT0050,Chikkamagaluru Special Court,2025-11-03,EMP003314,Filed
CHG000276,CR001202,CRT0137,Uttara Kannada Senior Civil Court,2025-09-10,EMP009325,Accepted
CHG000277,CR001205,CRT0045,Chikkaballapura Special Court,2026-01-27,EMP003287,Filed
CHG000278,CR001213,CRT0099,Kolar Family Court,2025-02-10,EMP006290,Accepted
CHG000279,CR001217,CRT0108,Mandya Civil Judge and JMFC Court,2026-02-15,EMP006639,Filed
CHG000280,CR001223,CRT0017,Bengaluru Rural Senior Civil Court,2026-03-03,EMP001251,Filed
CHG000281,CR001230,CRT0100,Kolar Special Court,2026-09-01,EMP006144,Filed
CHG000282,CR001232,CRT0045,Chikkaballapura Special Court,2024-09-19,EMP003289,Filed
CHG000283,CR001233,CRT0089,Kalaburagi Family Court,2026-05-27,EMP005389,Filed
CHG000284,CR001237,CRT0048,Chikkamagaluru Civil Judge and JMFC Court,2026-03-15,EMP003316,Accepted
CHG000285,CR001247,CRT0040,Chamarajanagar Special Court,2025-07-04,EMP003260,Filed
CHG000286,CR001250,CRT0044,Chikkaballapura Family Court,2025-03-10,EMP003272,Filed
