occurrence_id,case_id,occurrence_datetime,time_slot,district,taluk,gram_panchayat,village,police_station,crime_latitude,crime_longitude
OCC000032,CR000032,2024-12-29 02:23:47,Night,Kalaburagi,Kalagi,Tengli,Tengli,Kalagi PS,17.363677,76.828004
OCC000033,CR000033,2025-08-17 11:25:55,Afternoon,Chikkaballapura,Gudibanda,Tirumani,Bhogenahalli,Nandi Giridhama PS,13.401638,77.703009
OCC000034,CR000034,2024-07-23 11:55:39,Afternoon,Dakshina Kannada,Kadaba,Kadya Konaje,Konaje,Punjalkatte PS,12.937051,74.847949
OCC000035,CR000035,2024-11-10 17:41:36,Night,Kolar,Malur,Masthi,Kallipura,Kolar Town PS,13.078715,78.125594
OCC000036,CR000036,2025-06-24 22:53:16,Late Night,Bagalkote,Hungund,Binjawadgi,Bekamaladinni,Banahatti PS,16.227457,75.717465
OCC000037,CR000037,2025-11-18 21:52:28,Night,Belagavi,Athni,Chamkeri,Chamakeri,Belgaum North Traffic PS,15.900221,74.5208
OCC000038,CR000038,2025-10-01 01:17:16,Afternoon,Chikkaballapura,Gauribidanur,G. Kothur,Kodihalli,Chelur PS,13.433321,77.734186
OCC000039,CR000039,2024-07-27 14:20:58,Evening,Chikkaballapura,Chintamani,Anur,Panasachowdenahalli,Nandi Giridhama PS,13.426249,77.699998
OCC000040,CR000040,2025-11-14 02:53:20,Afternoon,Shivamogga,Bhadravati,Dodderi,Varavinakere,Jog PS,13.920406,75.610022
OCC000041,CR000041,2026-03-03 23:30:26,Night,Chitradurga,Chitradurga,Bommenahalli,Vyasamallapura,Srirampura PS,14.210785,76.434132
OCC000042,CR000042,2025-07-09 21:58:37,Afternoon,Vijayapura,Nidagundi,Itagi,Itagi,Muddebihal PS,16.814256,75.709853
OCC000043,CR000043,2025-11-17 22:00:21,Night,Kalaburagi,Sedam,Neelhalli,Konkanhalli,Ashoknagar PS,17.357328,76.810342
OCC000044,CR000044,2025-09-29 02:16:11,Afternoon,Mandya,Nagamangala,Bhimanahalli,Mavinakere,Maddur PS,12.543207,76.921682
OCC000045,CR000045,2024-08-11 02:20:37,Afternoon,Tumakuru,Turuvekere,Muthugadahalli,Benkikere,Kyathasandra PS,13.341903,77.067539
OCC000046,CR000046,2024-10-15 08:00:38,Night,Mysuru,Heggadadevankote,N.Begur,Beeramballi,Saragur PS,12.260665,76.639417
OCC000047,CR000047,2026-03-31 13:56:18,Afternoon,Shivamogga,Shikarpur,Tharalagatta,Tharalaghatta,Sagar Town PS,13.90535,75.574123
OCC000048,CR000048,2025-04-26 00:38:50,Night,Kolar,Srinivaspur,Ronur,Diguvapalli,Vemagal PS,13.152752,78.16558
OCC000049,CR000049,2025-04-13 15:02:48,Evening,Mysuru,Saraguru,Hanchipura,Saragur,Nazarbad PS,12.31531,76.599418
OCC000050,CR000050,2026-04-24 02:39:45,Night,Kolar,Malur,Hasandahalli,Mulakamanadoddi,Bangarpet PS,13.129656,78.133746
OCC000051,CR000051,2026-04-09 15:24:21,Afternoon,Tumakuru,Gubbi,Mavinahalli,Cheelanahalli,Patanayakanahalli PS,13.343598,77.070297
OCC000052,CR000052,2026-07-04 07:43:21,Afternoon,Dakshina Kannada,Mangaluru,Gurupura,Mulur (Ct),Moodabidre PS,12.879304,74.837175
OCC000053,CR000053,2026-06-21 06:12:41,Afternoon,Kolar,Srinivaspur,Nelavanki,Nelavanki,Kolar Traffic PS,13.163919,78.10292
OCC000054,CR000054,2026-03-24 19:40:14,Evening,Kolar,Malur,Kudiyanur,Hosakurandahalli Plantation,Champion Reefs PS,13.166932,78.168767
OCC000055,CR000055,2025-03-10 02:18:21,Afternoon,Mysuru,Mysuru,Unknown,Lingambudi (Og),Hunusur Rural PS,12.337708,76.658703
OCC000056,CR000056,2025-09-20 22:41:32,Night,Mysuru,Piriyapatna,Panchavlli,Muddanahalli *,Lashkar PS,12.314437,76.612426
OCC000057,CR000057,2025-12-26 05:00:46,Night,Raichur,Raichur,Idapanur,Meerapur,Raichur Rural PS,16.206772,77.365684
OCC000058,CR000058,2025-09-06 04:57:14,Evening,Koppal,Koppal,Kolur,Mangalapur,Kanakagiri PS,15.372682,76.141994
OCC000059,CR000059,2025-07-13 16:57:45,Evening,Koppal,Koppal,Gondbal,Gondbal,Kushtagi PS,15.375762,76.142744
OCC000060,CR000060,2024-12-22 00:08:17,Morning,Kolar,Mulbagal,Emmenatha,Jogalakasti,Kamasamudram PS,13.099745,78.150421
OCC000061,CR000061,2025-11-07 22:09:30,Evening,Dakshina Kannada,Beltangadi,Neriya,Neriya,Vitla PS,12.910416,74.872972
OCC000062,CR000062,2024-10-06 16:17:37,Night,Bengaluru Rural,Doddaballapura,Hosahalli,Kottige Machenahalli,Doddaballapura Rural PS,13.243363,77.594504
OCC000063,CR000063,2026-01-27 12:14:59,Night,Davanagere,Nyamathi,Vaderahathuru,Vaderahathur,Davanagere CEN Crime PS,14.459475,75.866088
OCC000064,CR000064,2025-03-05 08:13:30,Night,Kalaburagi,Kalagi,Tengli,Arjamga,Miryan PS,17.320513,76.832049
OCC000065,CR000065,2024-09-14 15:48:30,Morning,Bengaluru Urban,Yelahanka,Sonnenahalli,Challahalli,Banaswadi PS,12.951542,77.582048
OCC000066,CR000066,2025-05-30 23:28:45,Afternoon,Dakshina Kannada,Mangaluru,Gurupura,Mulur (Ct),Moodabidre PS,12.879097,74.841854
OCC000067,CR000067,2026-03-24 17:36:33,Morning,Mysuru,Piriyapatna,Bylakuppe,Gulledahalla Jungle,Saraswathipuram PS,12.260909,76.67183
OCC000068,CR000068,2025-12-09 14:14:56,Afternoon,Vijayapura,Nidagundi,Beeraladinni,Unnibhavi,Kalkeri PS,16.800765,75.746505
OCC000069,CR000069,2025-07-30 06:49:20,Night,Bengaluru South,Kanakapura,Uyyamballi,Bennegodlu,Ramanagar CEN Crime PS,12.988545,77.6007
OCC000070,CR000070,2024-07-31 06:51:33,Night,Chikkaballapura,Chikkaballapura,Ajjiwara,Nugathihalli,Chelur PS,13.413884,77.732691
OCC000071,CR000071,2026-01-10 01:01:42,Evening,Tumakuru,Turuvekere,Lokammanahalli,Seegehalli,Chandrashekarpura PS,13.376292,77.099735
OCC000072,CR000072,2025-02-09 18:24:45,Evening,Yadgir,Yadgir,Motnalli,Motenhalli,Kembhavi PS,16.775365,77.13817
OCC000073,CR000073,2025-09-01 07:50:53,Morning,Kalaburagi,Kalaburagi,Kumasi,Belura (J),Madbool PS,17.342218,76.80864
OCC000074,CR000074,2026-07-03 07:14:13,Morning,Kolar,Srinivaspur,Yerramvariapalli,Bhogamvaripalli,Kolar Traffic PS,13.185696,78.113638
OCC000075,CR000075,2025-12-13 03:23:44,Night,Kolar,Srinivaspur,Hodali,Thimmasandra (R),Champion Reefs PS,13.174037,78.165105
OCC000076,CR000076,2025-08-31 00:39:09,Evening,Koppal,Kushtagi,Antarathana,Yerigonhal,Tavaregera PS,15.400117,76.188531
OCC000077,CR000077,2025-09-17 18:08:04,Morning,Vijayapura,Indi,Nada. Kd,Naad[K.D.],Kolhar PS,16.874861,75.712088
OCC000078,CR000078,2025-02-02 06:52:27,Night,Belagavi,Bailahongala,Pattihal K.B,Pattihal K.B.,Ramadurga PS,15.848155,74.481611
OCC000079,CR000079,2026-01-19 21:41:06,Night,Kalaburagi,Sedam,Benakanahalli,Mailwar,Ragavendranagar PS,17.347111,76.810689
OCC000080,CR000080,2026-05-10 22:19:39,Afternoon,Bidar,Aurad,Unknown,Vijayanagar,Basava Kalyana Rural PS,17.931312,77.539899
OCC000081,CR000081,2026-01-06 09:14:31,Night,Bengaluru Urban,Bengaluru South,K.Gollahalli,Kengeri Gollahalli,Jayanagar Traffic PS,12.992308,77.632166
OCC000082,CR000082,2024-10-02 11:28:20,Night,Chikkamagaluru,Narasimharajapura,Gubbiga,Gubbiga,Jayapura PS,13.26975,75.730451
OCC000083,CR000083,2026-05-05 18:58:08,Evening,Kolar,Mulbagal,Emmenatha,Melagani,Kolar Traffic PS,13.158019,78.126574
OCC000084,CR000084,2026-03-08 20:04:59,Morning,Chikkamagaluru,Tarikere,Koranahalli,Bettadavarekere,Jayapura PS,13.267208,75.733663
OCC000085,CR000085,2025-02-05 16:29:51,Afternoon,Tumakuru,Tiptur,Tadasur,Melapura,Tumkur Town PS,13.386886,77.155713
OCC000086,CR000086,2025-05-10 06:58:51,Night,Bengaluru Rural,Hosakote,Khajihosahalli,Paramanahalli,Sulibele PS,13.272443,77.567353
OCC000087,CR000087,2025-02-15 01:49:48,Morning,Tumakuru,Koratagere,Kuramkotte,Kuramkote,Kunigal PS,13.286083,77.14204
OCC000088,CR000088,2026-03-17 11:08:39,Night,Chikkamagaluru,Mudigere,Makonahalli,Karabylu,Jayapura PS,13.29003,75.742266
OCC000089,CR000089,2025-09-23 21:13:18,Morning,Kolar,Srinivaspur,Yerramvariapalli,Bhogamvaripalli,Kolar Traffic PS,13.181131,78.110176
OCC000090,CR000090,2024-11-17 17:57:06,Afternoon,Mysuru,Tirumakudal - Narsipur,Kupya,Hittuvalli,Mandi PS,12.287857,76.676312
OCC000091,CR000091,2024-12-27 03:38:05,Evening,Ballari,Siruguppa,B.M.Sugur,Venkatapur,Sandur PS,15.129228,76.945367
OCC000092,CR000092,2025-07-18 11:39:50,Night,Chikkamagaluru,Mudigere,Phalguni,Bankenahalli,Jayapura PS,13.263184,75.751297
OCC000093,CR000093,2024-07-22 20:11:55,Evening,Tumakuru,Gubbi,Hindsagere,Belur,Honnavalli PS,13.345996,77.084525
OCC000094,CR000094,2025-03-15 10:38:43,Night,Mysuru,Hunsur,Halebeedu,Mydanahalli,Metagalli PS,12.288264,76.627027
OCC000095,CR000095,2026-01-09 23:12:01,Evening,Mysuru,Piriyapatna,Panchavlli,Muddanahalli *,Lashkar PS,12.313054,76.612992
OCC000096,CR000096,2024-11-09 22:59:51,Evening,Tumakuru,Sira,Chinnenahalli,Saluparahalli,Tumkur Rural PS,13.339824,77.103994
OCC000097,CR000097,2024-07-22 04:30:01,Morning,Kolar,Mulbagal,Pichaguntlahalli,Jeenankunte,BEML Nagar PS,13.147324,78.141822
OCC000098,CR000098,2026-01-05 21:51:09,Evening,Bengaluru South,Magadi,Bachenahatti,Adakamaranahalli,Channapatna Town PS,12.950882,77.568477
OCC000099,CR000099,2025-11-25 03:54:38,Afternoon,Bengaluru Urban,Bengaluru East,Unknown,Belatturu,Koramangala PS,12.950494,77.602862
OCC000100,CR000100,2026-03-14 07:59:28,Morning,Bengaluru South,Kanakapura,Hosadurga,Salabanni,Akkur PS,12.9609,77.589799
OCC000101,CR000101,2024-08-26 18:50:06,Evening,Bengaluru Rural,Nelamangala,Maralakunte,Dasenahalli,Doddaballapura Rural PS,13.242884,77.613827
OCC000102,CR000102,2025-12-31 15:55:03,Evening,Kolar,Kolar,Harati,Shillangere,Kolar Women PS,13.133788,78.103155
OCC000103,CR000103,2025-11-05 00:26:27,Evening,Raichur,Devadurga,K.Irabgera,Kelgin Irabgera,Manvi PS,16.166669,77.367781
OCC000104,CR000104,2026-02-07 15:59:01,Evening,Haveri,Savanur,Tevaramellihalli,Halasur,Savanoor PS,14.792293,75.389802
OCC000105,CR000105,2025-07-19 11:02:28,Afternoon,Davanagere,Channagiri,Kamsagara,Pillankatte,Malebennur PS,14.465468,75.971772
OCC000106,CR000106,2025-02-04 02:37:45,Evening,Kodagu,Ponnampet,Ponnappasanthe,Nalloor,Kodagu Women PS,12.322837,75.838862
OCC000107,CR000107,2025-02-26 20:14:21,Evening,Belagavi,Savadatti,Yakkundi,Yakkundi,Marihal PS,15.893666,74.520652
OCC000108,CR000108,2026-02-26 23:44:29,Afternoon,Shivamogga,Hosanagara,Jeni,Mulagadde,Doddapete PS,13.885147,75.61145
OCC000109,CR000109,2025-02-13 23:13:31,Night,Kolar,Malur,Huladenahalli,Upasapura,Mulbagal Town PS,13.131682,78.163585
OCC000110,CR000110,2025-05-18 13:39:23,Afternoon,Kodagu,Madikeri,Bengoor Cherambane,B.Badaga,Kodagu Women PS,12.305453,75.831745
OCC000111,CR000111,2025-08-20 08:44:17,Afternoon,Chamarajanagar,Hanur,Managalli,Chinchalli,Chamarajanagar Traffic PS,11.892006,76.945336
OCC000112,CR000112,2026-06-03 03:04:56,Evening,Belagavi,Khanapur,Nilawade,Amboli,Athani PS,15.813567,74.479362
OCC000113,CR000113,2026-07-07 04:11:39,Evening,Ballari,Sandur,Bommagatta,Jodibommiahnahalli,Gandhinagar PS,15.112645,76.900236
OCC000114,CR000114,2025-08-16 00:17:31,Morning,Bengaluru Urban,Bengaluru East,Bidarahalli,Bidarahalli,Rajagopal Nagar PS,13.027078,77.573853
OCC000115,CR000115,2025-09-04 08:47:57,Night,Davanagere,Davanagere,Unknown,Yaragunte,Davanagere Extention PS,14.470781,75.967045
OCC000116,CR000116,2025-02-24 22:16:31,Afternoon,Dharwad,Kundgol,Goudageri,Goudgeri,Hubli East Traffic PS,15.448918,74.996788
OCC000117,CR000117,2025-04-24 00:21:33,Morning,Chikkamagaluru,Tarikere,Baragenahalli,Bargenahalli,Jayapura PS,13.29173,75.739033
OCC000118,CR000118,2024-08-16 20:37:52,Evening,Chikkaballapura,Manchenahalli,Jarabandanahalli,Hanumanthapura,Peresandra PS,13.471741,77.714335
OCC000119,CR000119,2026-05-18 13:11:17,Evening,Chikkamagaluru,Kadur,Banur,Chandrashekarapura,Koppa PS,13.346664,75.791883
OCC000120,CR000120,2025-01-17 00:24:20,Evening,Raichur,Raichur,Jambaladinni,Kothdoddi,Mudgal PS,16.201974,77.356763
OCC000121,CR000121,2025-01-28 03:31:33,Evening,Tumakuru,Sira,Baragur,Kaligonahalli,Kyathasandra PS,13.311323,77.082721
OCC000122,CR000122,2026-04-20 05:57:55,Morning,Belagavi,Bailahongala,Hanabaratti,Gajaminhal,Basaweshwar Chowk PS,15.852872,74.470274
OCC000123,CR000123,2024-10-15 05:04:31,Night,Kolar,Bangarapet,Thoppanahalli,Arimanahalli,BEML Nagar PS,13.136488,78.154504
OCC000124,CR000124,2025-01-17 21:32:02,Evening,Mandya,Pandavapura,Manikana Halli,M. Shettihalli,Mandya CEN Crime PS,12.539896,76.898627
OCC000125,CR000125,2025-12-02 15:51:19,Afternoon,Belagavi,Ramdurg,Narasapur,Narasapur,Chikkodi Town Traffic PS,15.885142,74.475231
OCC000126,CR000126,2024-09-09 08:15:10,Night,Hassan,Belur,Bichodu,Chokanahalli,Shravanabelagola PS,13.031261,76.06059
OCC000127,CR000127,2026-03-13 15:42:47,Afternoon,Mysuru,Heggadadevankote,D.B.Kuppe,Machur,Saragur PS,12.28977,76.638724
OCC000128,CR000128,2024-12-02 07:56:11,Night,Bidar,Homnabad,Chandanhalli,Sonkhera,Aurad PS,17.883629,77.548534
OCC000129,CR000129,2025-05-23 10:01:08,Morning,Chikkamagaluru,Chikkamagaluru,Shiravase,Suguduvani,Koppa PS,13.345383,75.821206
OCC000130,CR000130,2025-04-17 15:52:38,Evening,Kolar,Kolar,Thoradevanda Halli,Poovandahalli,Bethamangala PS,13.160603,78.098905
OCC000131,CR000131,2024-07-17 06:58:08,Night,Kolar,Srinivaspur,Yerramvariapalli,Yeramvaripalli,Kolar Town PS,13.08353,78.117303
OCC000132,CR000132,2024-10-16 16:11:10,Morning,Kolar,Malur,Huladenahalli,Thimmanayakanchalli,Oorgaum PS,13.165247,78.105413
OCC000133,CR000133,2026-07-09 13:04:05,Afternoon,Kolar,Kolar,Thoradevanda Halli,Veerapura,Malur PS,13.13826,78.091458
OCC000134,CR000134,2025-10-15 19:31:54,Night,Vijayapura,Vijayapura,Aheri,Aheri(Bheri),Gandhi Chowk PS,16.83209,75.671502
OCC000135,CR000135,2025-12-16 17:21:29,Night,Mysuru,Nanjangud,Nallethalapura,Motha,Devaraja PS,12.242949,76.647916
OCC000136,CR000136,2026-07-06 19:12:25,Evening,Shivamogga,Bhadravati,Sydarakallahalli,Sydarakallahalli,Malur PS,13.951254,75.572712
OCC000137,CR000137,2025-04-10 12:15:24,Night,Raichur,Raichur,Bichali,Kotigud (D),Raichur Traffic PS,16.216994,77.367233
OCC000138,CR000138,2025-06-09 21:34:24,Morning,Kolar,Mulbagal,Byrakur,Thondahalli,Kamasamudram PS,13.091537,78.134844
OCC000139,CR000139,2026-04-27 14:50:44,Night,Hassan,Hassan,Bylahalli,Kalenahalli,Nuggehalli PS,13.051073,76.139547
OCC000140,CR000140,2026-03-17 12:06:47,Morning,Bengaluru Rural,Devanahalli,Chennahalli,Boodihal,Nelamangala Town PS,13.240913,77.619585
OCC000141,CR000141,2025-09-28 03:14:02,Morning,Mysuru,Hunsur,Bolanahalli,Rangaiahnakoppalu,Lashkar PS,12.332766,76.638151
OCC000142,CR000142,2024-10-14 20:28:49,Night,Belagavi,Hukkeri,Madhihalli,Madihalli,Udyambag PS,15.879265,74.492768
OCC000143,CR000143,2024-11-12 21:45:01,Afternoon,Mandya,Shrirangapattana,Hosahalli,Pura,Kesthur PS,12.488574,76.94524
OCC000144,CR000144,2025-10-02 21:49:49,Afternoon,Chikkaballapura,Chikkaballapura,Patrena Halli,Andarlahalli,Peresandra PS,13.489627,77.703164
OCC000145,CR000145,2026-02-21 20:43:01,Morning,Raichur,Raichur,Yapaladinni,Budidipad,Raichur CEN Crime PS,16.211234,77.38344
OCC000146,CR000146,2025-04-21 21:15:01,Evening,Bengaluru Urban,Yelahanka,Singanayakanahalli,Singanayakanahalli,K.R.Puram Traffic PS,12.96409,77.602756
OCC000147,CR000147,2026-06-05 15:00:57,Night,Tumakuru,Sira,Gopaladevarahalli,Hosabijjanabella,Huliyar PS,13.382557,77.098448
OCC000148,CR000148,2026-04-22 20:54:52,Night,Bengaluru Rural,Hosakote,Thavarekere,Gangapura,Chennarayapatana PS,13.231267,77.547884
OCC000149,CR000149,2025-08-07 03:30:54,Morning,Kalaburagi,Kalaburagi,Avarad B,Awrad (B),Shahabad Town PS,17.312361,76.80513
OCC000150,CR000150,2025-06-08 03:40:26,Afternoon,Hassan,Belur,Kalleri,Maravathi,Hassan Rural PS,12.954814,76.129346
OCC000151,CR000151,2026-03-28 08:51:11,Night,Hassan,Arsikere,Unknown,Doddenahalli,Sakaleshpura Rural PS,12.993959,76.092202
OCC000152,CR000152,2025-08-04 19:39:01,Evening,Tumakuru,Tumakuru,Kesaramadu,Kallahalli,Tiptur Rural PS,13.339757,77.130976
OCC000153,CR000153,2025-09-14 06:50:54,Evening,Kolar,Kolar,Madderi,Bedli,Bangarpet PS,13.126912,78.130217
OCC000154,CR000154,2025-07-25 18:17:17,Evening,Udupi,Brahmavara,Vaddarse,Bannady,Karkala Town PS,13.373375,74.724256
OCC000155,CR000155,2025-09-19 11:06:02,Night,Bengaluru Urban,Yelahanka,Shivakotte,Shivakote,Hulimavu PS,12.942411,77.64066
OCC000156,CR000156,2024-11-21 13:45:58,Morning,Udupi,Hebri,Varanga,Padukudoor,Brahmavar PS,13.315962,74.737807
OCC000157,CR000157,2025-05-13 19:47:20,Night,Yadgir,Hunasagi,Narayanpur,Narayanpur Rural,Gogi PS,16.770231,77.106576
OCC000158,CR000158,2024-11-29 00:59:46,Afternoon,Kolar,Kolar,Uragili,Somambudi Amanikere,Nangli PS,13.154943,78.15135
OCC000159,CR000159,2026-04-26 07:08:56,Evening,Mysuru,Piriyapatna,Chikkanerale,Byadarabilaguli,Nanjanagudu Rural PS,12.302988,76.642673
OCC000160,CR000160,2025-08-13 11:26:27,Afternoon,Mysuru,Hunsur,Neralakuppe,Habbanakuppe K.G,Jayalakshmipuram PS,12.307968,76.653678
OCC000161,CR000161,2024-11-22 01:31:32,Morning,Chamarajanagar,Gundlupet,Bommanahalli,Alawadi,Chamarajanagar Traffic PS,11.909274,76.972714
OCC000162,CR000162,2025-10-22 06:05:29,Evening,Kalaburagi,Kamalapur,Sirachand,Apchand,Madanahipparga PS,17.330669,76.819733
OCC000163,CR000163,2025-02-02 14:00:22,Afternoon,Bidar,Chitaguppa,Unknown,Chitguppa (Rural),Mannalli PS,17.913364,77.493333
OCC000164,CR000164,2026-05-17 14:19:46,Afternoon,Uttara Kannada,Bhatkal,Mutalli,Muttalli,Siddapura PS,14.792823,74.648186
OCC000165,CR000165,2026-01-13 20:28:47,Afternoon,Mandya,Maddur,Huthagere,Navile,Bellur PS,12.490632,76.873551
OCC000166,CR000166,2025-04-14 05:06:01,Night,Kodagu,Somvarpet,Alur,Hosaguthi,Kushalnagar PS,12.322274,75.846031
OCC000167,CR000167,2026-06-05 18:47:16,Evening,Kalaburagi,Kamalapur,Sirachand,Apchand,Madanahipparga PS,17.33343,76.815767
OCC000168,CR000168,2025-10-22 22:29:18,Night,Chikkamagaluru,Mudigere,Kirugunda,Udase,Jayapura PS,13.29559,75.733051
OCC000169,CR000169,2026-06-19 19:20:34,Afternoon,Kolar,Kolar,Huttur,Yanadahalli,Kolar Traffic PS,13.152378,78.126892
OCC000170,CR000170,2026-04-25 12:01:29,Night,Bengaluru Rural,Hosakote,Devanagundi,Devanagondi Hosahalli,Jigani PS,13.194169,77.551477
OCC000171,CR000171,2024-12-21 19:49:35,Night,Chikkaballapura,Chintamani,Nandiganahalli,Racharlahalli,Chelur PS,13.414991,77.710434
OCC000172,CR000172,2025-03-20 20:09:46,Night,Dharwad,Dharwad,Harobelawadi,Harobelavadi,Kamaripeth PS,15.443701,75.041675
OCC000173,CR000173,2025-07-12 07:05:35,Morning,Koppal,Karatagi,Mailapur,Mylapur,Kushtagi PS,15.370663,76.129636
OCC000174,CR000174,2025-04-25 01:05:47,Morning,Hassan,Arsikere,Lalanakere,Mahadevarahalli,Konanur PS,12.997936,76.111378
OCC000175,CR000175,2025-12-15 20:26:29,Morning,Kalaburagi,Yadrami,Malli,Malli,Chittapura PS,17.381065,76.844004
OCC000176,CR000176,2025-10-30 22:45:04,Evening,Hassan,Alur,Hanchur,Hanchur,Hassan CEN Crime PS,13.039199,76.053213
OCC000177,CR000177,2025-06-11 06:12:01,Morning,Belagavi,Belagavi,Kadoli,Kurubarhatti,Malamaruthi PS,15.815303,74.482382
OCC000178,CR000178,2025-04-03 23:24:50,Afternoon,Mysuru,Mysuru,Mosambayanahalli,Kuntanahalli,T. Narasipura PS,12.277847,76.633018
OCC000179,CR000179,2026-05-21 11:19:48,Night,Chikkamagaluru,Kadur,Jodithimmapura,Horithimmanahalli,Koppa PS,13.335426,75.805043
OCC000180,CR000180,2025-07-25 23:53:56,Afternoon,Chikkamagaluru,Ajjampura,Begur,Guddadahalli,Koppa PS,13.347592,75.797143
OCC000181,CR000181,2025-05-16 20:45:55,Late Night,Belagavi,Hukkeri,Hospet,Hattialur,Bagewadi PS,15.849018,74.521984
OCC000182,CR000182,2025-06-13 16:06:08,Morning,Vijayapura,Muddebihal,Bijjur,Takkalaki,Hortti PS,16.840729,75.659883
OCC000183,CR000183,2024-12-27 08:12:03,Late Night,Chitradurga,Chitradurga,Alagavadi,Doddiganal Hosahatti,Chitrahalli Gate PS,14.243931,76.426951
