arrest_id,case_id,accused_person_id,arrest_date,arresting_officer_id
ARR000250,CR000299,A000299,2025-11-26,EMP003316
ARR000251,CR000300,A000300,2025-03-23,EMP009388
ARR000252,CR000301,A000301,2025-03-24,EMP003266
ARR000253,CR000303,A000303,2026-02-25,EMP007418
ARR000254,CR000305,A000305,2026-02-28,EMP007834
ARR000255,CR000306,A000306,2026-02-22,EMP008504
ARR000256,CR000307,A000307,2025-11-28,EMP008772
ARR000257,CR000308,A000308,2025-05-27,EMP009638
ARR000258,CR000310,A000310,2025-04-11,EMP005092
ARR000259,CR000312,A000312,2025-01-11,EMP003275
ARR000260,CR000313,A000313,2026-03-20,EMP003038
ARR000261,CR000315,A000315,2026-05-24,EMP006823
ARR000262,CR000316,A000316,2024-11-23,EMP004889
ARR000263,CR000317,A000317,2026-01-15,EMP009406
ARR000264,CR000318,A000318,2026-03-06,EMP003933
ARR000265,CR000319,A000319,2025-01-07,EMP007386
ARR000266,CR000320,A000320,2025-03-07,EMP002949
ARR000267,CR000321,A000321,2025-08-11,EMP000890
ARR000268,CR000324,A000324,2026-01-10,EMP004678
ARR000269,CR000325,A000325,2024-12-22,EMP008797
ARR000270,CR000326,A000326,2024-12-08,EMP007237
ARR000271,CR000329,A000329,2025-12-09,EMP003305
ARR000272,CR000330,A000330,2025-06-23,EMP008157
ARR000273,CR000331,A000331,2025-08-29,EMP008654
ARR000274,CR000332,A000332,2024-12-29,EMP006248
ARR000275,CR000333,A000333,2024-08-11,EMP006670
ARR000276,CR000334,A000334,2024-07-26,EMP006077
ARR000277,CR000335,A000335,2024-10-11,EMP008694
ARR000278,CR000336,A000336,2026-03-10,EMP003280
ARR000279,CR000337,A000337,2026-06-22,EMP000080
ARR000280,CR000338,A000338,2025-03-27,EMP000885
ARR000281,CR000339,A000339,2026-05-07,EMP009975
ARR000282,CR000340,A000340,2026-05-06,EMP003268
ARR000283,CR000341,A000341,2026-07-09,EMP004741
ARR000284,CR000342,A000342,2026-03-21,EMP009154
ARR000285,CR000343,A000343,2026-05-09,EMP000893
ARR000286,CR000345,A000345,2024-07-15,EMP003892
ARR000287,CR000347,A000347,2025-01-21,EMP008589
ARR000288,CR000349,A000349,2024-09-27,EMP001574
ARR000289,CR000350,A000350,2024-10-11,EMP003290
ARR000290,CR000351,A000351,2026-03-15,EMP004889
ARR000291,CR000352,A000352,2024-12-17,EMP009736
ARR000292,CR000353,A000353,2026-05-18,EMP008176
ARR000293,CR000354,A000354,2026-06-28,EMP003293
ARR000294,CR000356,A000356,2025-08-24,EMP009287
ARR000295,CR000357,A000357,2025-01-13,EMP003856
ARR000296,CR000360,A000360,2025-03-04,EMP002713
ARR000297,CR000361,A000361,2025-12-07,EMP009117
ARR000298,CR000363,A000363,2025-10-27,EMP008902
ARR000299,CR000364,A000364,2026-01-26,EMP007796
ARR000300,CR000365,A000365,2026-01-08,EMP003010
ARR000301,CR000366,A000366,2024-11-10,EMP008626
ARR000302,CR000367,A000367,2026-02-13,EMP009057
ARR000303,CR000369,A000369,2025-10-17,EMP008948
ARR000304,CR000371,A000371,2024-11-19,EMP007375
ARR000305,CR000372,A000372,2024-12-26,EMP003366
ARR000306,CR000374,A000374,2026-07-15,EMP007894
ARR000307,CR000375,A000375,2025-09-05,EMP007317
ARR000308,CR000376,A000376,2026-01-29,EMP005399
ARR000309,CR000377,A000377,2026-01-25,EMP001182
ARR000310,CR000381,A000381,2025-08-03,EMP006704
ARR000311,CR000383,A000383,2026-01-28,EMP006872
ARR000312,CR000385,A000385,2025-05-01,EMP008683
ARR000313,CR000386,A000386,2025-02-05,EMP000092
ARR000314,CR000387,A000387,2025-06-11,EMP008681
ARR000315,CR000388,A000388,2025-11-20,EMP009516
ARR000316,CR000390,A000390,2026-04-18,EMP005467
ARR000317,CR000391,A000391,2025-10-09,EMP005891
ARR000318,CR000392,A000392,2024-10-17,EMP004094
ARR000319,CR000394,A000394,2024-08-02,EMP004644
ARR000320,CR000396,A000396,2025-07-19,EMP009991
ARR000321,CR000398,A000398,2024-09-18,EMP006707
ARR000322,CR000401,A000401,2025-10-12,EMP003312
ARR000323,CR000402,A000402,2024-12-05,EMP006077
ARR000324,CR000403,A000403,2025-08-08,EMP003841
ARR000325,CR000404,A000404,2025-04-29,EMP002943
ARR000326,CR000405,A000405,2025-08-30,EMP000792
ARR000327,CR000406,A000406,2025-06-29,EMP001272
ARR000328,CR000407,A000407,2026-01-18,EMP003294
ARR000329,CR000410,A000410,2025-01-08,EMP002085
ARR000330,CR000411,A000411,2026-02-11,EMP003489
ARR000331,CR000412,A000412,2026-05-20,EMP009420
ARR000332,CR000413,A000413,2025-08-21,EMP008269
ARR000333,CR000414,A000414,2026-07-03,EMP005269
ARR000334,CR000415,A000415,2025-09-23,EMP006691
ARR000335,CR000416,A000416,2026-02-07,EMP006219
ARR000336,CR000418,A000418,2025-04-26,EMP001503
ARR000337,CR000419,A000419,2025-08-06,EMP001469
ARR000338,CR000420,A000420,2024-08-10,EMP000125
ARR000339,CR000421,A000421,2026-08-01,EMP005709
ARR000340,CR000422,A000422,2025-09-29,EMP000629
ARR000341,CR000423,A000423,2025-11-11,EMP002793
ARR000342,CR000424,A000424,2025-06-10,EMP006660
ARR000343,CR000425,A000425,2026-04-15,EMP008938
ARR000344,CR000427,A000427,2026-03-04,EMP004395
ARR000345,CR000429,A000429,2025-05-18,EMP007027
ARR000346,CR000430,A000430,2025-07-08,EMP008897
ARR000347,CR000431,A000431,2025-01-20,EMP004710
ARR000348,CR000432,A000432,2025-10-17,EMP008612
ARR000349,CR000433,A000433,2025-10-13,EMP003279
ARR000350,CR000434,A000434,2025-07-23,EMP008196
ARR000351,CR000435,A000435,2025-08-13,EMP003350
ARR000352,CR000436,A000436,2026-02-19,EMP005181
ARR000353,CR000437,A000437,2025-04-17,EMP006200
ARR000354,CR000438,A000438,2025-06-08,EMP006662
ARR000355,CR000439,A000439,2025-02-22,EMP003255
ARR000356,CR000441,A000441,2025-04-04,EMP003538
ARR000357,CR000442,A000442,2025-10-28,EMP004727
ARR000358,CR000443,A000443,2024-12-29,EMP008869
ARR000359,CR000444,A000444,2024-12-10,EMP009447
ARR000360,CR000445,A000445,2026-02-21,EMP003302
ARR000361,CR000447,A000447,2026-02-07,EMP008252
ARR000362,CR000448,A000448,2025-01-02,EMP004811
ARR000363,CR000449,A000449,2026-02-06,EMP004888
ARR000364,CR000450,A000450,2025-01-01,EMP005077
ARR000365,CR000452,A000452,2025-11-08,EMP003282
ARR000366,CR000453,A000453,2026-06-21,EMP004710
ARR000367,CR000454,A000454,2026-06-29,EMP008246
ARR000368,CR000455,A000455,2025-02-21,EMP001702
ARR000369,CR000456,A000456,2024-08-04,EMP008602
ARR000370,CR000457,A000457,2024-12-11,EMP001636
ARR000371,CR000458,A000458,2026-03-03,EMP007300
ARR000372,CR000462,A000462,2025-11-02,EMP004882
ARR000373,CR000463,A000463,2025-07-24,EMP001545
ARR000374,CR000465,A000465,2025-04-27,EMP001574
ARR000375,CR000466,A000466,2025-05-26,EMP005047
ARR000376,CR000467,A000467,2024-12-21,EMP003303
ARR000377,CR000469,A000469,2026-04-19,EMP007311
ARR000378,CR000471,A000471,2025-07-04,EMP007820
ARR000379,CR000472,A000472,2025-08-24,EMP009898
ARR000380,CR000473,A000473,2024-12-17,EMP002282
ARR000381,CR000474,A000474,2025-09-16,EMP007074
ARR000382,CR000475,A000475,2026-03-20,EMP009441
ARR000383,CR000476,A000476,2025-10-15,EMP009754
ARR000384,CR000477,A000477,2024-12-15,EMP007291
ARR000385,CR000478,A000478,2026-05-20,EMP003272
ARR000386,CR000480,A000480,2025-11-19,EMP006531
ARR000387,CR000481,A000481,2026-05-17,EMP000009
ARR000388,CR000482,A000482,2025-07-21,EMP004647
ARR000389,CR000484,A000484,2025-08-20,EMP005355
ARR000390,CR000485,A000485,2025-07-03,EMP004946
ARR000391,CR000486,A000486,2026-05-30,EMP003313
ARR000392,CR000487,A000487,2025-10-19,EMP004365
ARR000393,CR000488,A000488,2025-06-10,EMP000396
ARR000394,CR000489,A000489,2025-09-03,EMP003868
ARR000395,CR000490,A000490,2024-09-18,EMP004864
ARR000396,CR000491,A000491,2024-07-25,EMP004315
ARR000397,CR000492,A000492,2025-03-20,EMP000438
ARR000398,CR000493,A000493,2025-07-06,EMP002556
ARR000399,CR000494,A000494,2025-03-22,EMP006071
ARR000400,CR000495,A000495,2024-10-07,EMP003263
ARR000401,CR000496,A000496,2025-01-22,EMP004295
ARR000402,CR000497,A000497,2025-01-04,EMP007796
ARR000403,CR000498,A000498,2025-02-07,EMP006310
ARR000404,CR000499,A000499,2024-07-20,EMP001341
ARR000405,CR000502,A000502,2026-01-14,EMP009931
ARR000406,CR000503,A000503,2025-01-21,EMP008731
ARR000407,CR000504,A000504,2024-09-22,EMP007757
ARR000408,CR000505,A000505,2024-10-26,EMP008130
ARR000409,CR000508,A000508,2026-03-22,EMP003257
ARR000410,CR000510,A000510,2025-09-18,EMP003302
ARR000411,CR000511,A000511,2024-09-08,EMP004985
ARR000412,CR000512,A000512,2025-02-11,EMP001785
ARR000413,CR000513,A000513,2025-04-20,EMP003859
ARR000414,CR000515,A000515,2025-02-23,EMP002636
ARR000415,CR000516,A000516,2025-03-09,EMP001660
ARR000416,CR000519,A000519,2024-08-13,EMP003316
ARR000417,CR000520,A000520,2026-06-03,EMP002956
ARR000418,CR000521,A000521,2026-06-11,EMP008591
ARR000419,CR000522,A000522,2024-10-20,EMP007753
ARR000420,CR000523,A000523,2024-09-12,EMP006239
ARR000421,CR000524,A000524,2025-11-21,EMP008792
ARR000422,CR000525,A000525,2025-10-13,EMP001481
ARR000423,CR000526,A000526,2025-05-04,EMP006158
ARR000424,CR000527,A000527,2025-07-26,EMP003302
ARR000425,CR000529,A000529,2024-09-21,EMP000039
ARR000426,CR000530,A000530,2025-06-23,EMP005685
ARR000427,CR000531,A000531,2026-01-23,EMP005908
ARR000428,CR000532,A000532,2025-08-19,EMP003350
ARR000429,CR000533,A000533,2026-03-13,EMP007279
ARR000430,CR000534,A000534,2025-02-15,EMP000889
ARR000431,CR000535,A000535,2025-11-02,EMP008069
ARR000432,CR000536,A000536,2025-04-24,EMP005390
ARR000433,CR000537,A000537,2025-03-16,EMP007567
ARR000434,CR000538,A000538,2025-05-22,EMP004532
ARR000435,CR000539,A000539,2025-01-28,EMP000192
ARR000436,CR000540,A000540,2025-05-06,EMP008776
ARR000437,CR000542,A000542,2025-11-30,EMP001629
ARR000438,CR000543,A000543,2026-03-18,EMP004866
ARR000439,CR000544,A000544,2024-12-11,EMP009641
ARR000440,CR000545,A000545,2024-09-14,EMP003276
ARR000441,CR000546,A000546,2025-05-04,EMP001218
ARR000442,CR000547,A000547,2025-12-16,EMP006341
ARR000443,CR000548,A000548,2026-05-13,EMP003271
ARR000444,CR000550,A000550,2024-12-11,EMP000714
ARR000445,CR000551,A000551,2024-09-03,EMP008525
ARR000446,CR000552,A000552,2025-08-22,EMP003159
ARR000447,CR000554,A000554,2025-03-21,EMP000374
ARR000448,CR000555,A000555,2026-03-23,EMP004894
ARR000449,CR000556,A000556,2026-01-23,EMP008768
ARR000450,CR000557,A000557,2025-08-08,EMP004306
ARR000451,CR000559,A000559,2026-01-04,EMP007473
ARR000452,CR000560,A000560,2025-07-22,EMP000578
ARR000453,CR000561,A000561,2026-03-18,EMP009956
ARR000454,CR000564,A000564,2025-03-27,EMP008658
ARR000455,CR000565,A000565,2025-01-24,EMP009561
ARR000456,CR000566,A000566,2025-10-15,EMP010088
ARR000457,CR000567,A000567,2026-06-19,EMP006021
ARR000458,CR000569,A000569,2025-12-05,EMP001434
ARR000459,CR000570,A000570,2026-02-11,EMP004878
ARR000460,CR000571,A000571,2024-12-29,EMP004734
ARR000461,CR000574,A000574,2025-11-26,EMP006577
ARR000462,CR000576,A000576,2024-10-03,EMP006404
ARR000463,CR000577,A000577,2025-08-17,EMP008649
ARR000464,CR000578,A000578,2024-11-10,EMP006406
ARR000465,CR000579,A000579,2024-12-15,EMP003272
ARR000466,CR000580,A000580,2024-11-08,EMP003315
ARR000467,CR000582,A000582,2025-08-23,EMP009500
ARR000468,CR000583,A000583,2025-04-08,EMP004766
ARR000469,CR000584,A000584,2025-07-08,EMP003293
ARR000470,CR000585,A000585,2026-02-03,EMP003264
ARR000471,CR000587,A000587,2026-05-23,EMP000892
ARR000472,CR000588,A000588,2025-04-09,EMP004796
ARR000473,CR000589,A000589,2026-01-24,EMP008757
ARR000474,CR000591,A000591,2025-02-23,EMP009192
ARR000475,CR000595,A000595,2024-12-14,EMP006187
ARR000476,CR000597,A000597,2026-05-14,EMP005947
ARR000477,CR000598,A000598,2025-06-01,EMP009736
ARR000478,CR000599,A000599,2025-04-22,EMP006508
ARR000479,CR000600,A000600,2024-08-05,EMP003297
ARR000480,CR000601,A000601,2024-10-16,EMP004987
ARR000481,CR000605,A000605,2025-09-05,EMP003309
ARR000482,CR000606,A000606,2026-04-24,EMP008772
ARR000483,CR000607,A000607,2024-07-31,EMP004701
ARR000484,CR000609,A000609,2025-01-11,EMP006138
ARR000485,CR000610,A000610,2025-09-10,EMP003292
ARR000486,CR000611,A000611,2026-04-26,EMP007211
ARR000487,CR000612,A000612,2025-03-18,EMP000045
ARR000488,CR000614,A000614,2025-01-03,EMP009654
ARR000489,CR000615,A000615,2025-07-18,EMP008338
ARR000490,CR000616,A000616,2026-02-20,EMP005188
ARR000491,CR000617,A000617,2025-04-21,EMP004774
ARR000492,CR000618,A000618,2026-02-09,EMP006119
ARR000493,CR000619,A000619,2025-06-18,EMP008510
ARR000494,CR000620,A000620,2026-01-27,EMP003313
ARR000495,CR000622,A000622,2026-01-16,EMP000121
ARR000496,CR000623,A000623,2025-07-23,EMP009645
ARR000497,CR000624,A000624,2025-05-05,EMP000672
