district_id,ksp_district,lgd_district,police_station_name,address,email,phone,circle,latitude,longitude,geocode_status,geocode_query
524.0,Bagalkot,Bagalkote,Hungunda PS,"OPP. GOVT. HOSPITAL, HUNGUND",hungundpsbgk@ksp.gov.in,8351-260333,Hungunda Circle,16.196765,75.717019,,
524.0,Bagalkot,Bagalkote,Ilakal PS,"OPP. BUS STAND, ILKAL",ilkalbgk@ksp.gov.in,8351-270333,Hungunda Circle,16.214382,75.719147,,
524.0,Bagalkot,Bagalkote,Ilakal Rural PS,Opp. KSRTC Bus standIlakal,email@ksp.gov.in,8888-888888,Hungunda Circle,16.192113,75.662588,,
524.0,Bagalkot,Bagalkote,Jamakhandi Rural PS,"NEAR APMC, JAMAKHANDI",jkruralbgk@ksp.gov.in,8353-220623,Jamakhandi Circle,16.20881,75.691641,,
524.0,Bagalkot,Bagalkote,Jamakhandi Town PS,"KUDACHI ROAD, JAMAKHANDI",jktownbgk@ksp.gov.in,8353-220033,Jamakhandi Circle,16.191113,75.724144,,
524.0,Bagalkot,Bagalkote,Kaladagi PS,"NEAR BUS STAND, KALADAGI",kaladagibgk@ksp.gov.in,8354-240133,Bagalkot Rural Circle,16.222303,75.723154,,
524.0,Bagalkot,Bagalkote,Kerur PS,"HUBLI ROAD, KERUR",kerurbgk@ksp.gov.in,8357-230033,Badami Circle,16.174303,75.693441,,
524.0,Bagalkot,Bagalkote,Lokapur PS,"NEAR BUS STAND, LOKAPUR",lokapurbgk@ksp.gov.in,8350-240033,Mudhol Circle,16.153576,75.69533,,
524.0,Bagalkot,Bagalkote,Mahalingapur PS,"NEAR IB, MAHALINGAPUR",mahalingpurbgk@ksp.gov.in,8350-270033,Mudhol Circle,16.167794,75.660925,,
524.0,Bagalkot,Bagalkote,Mudhol PS,"NEAR SBI BANK, MUDHOL",mudholbgk@ksp.gov.in,8350-280133,Mudhol Circle,16.17617,75.659799,,
524.0,Bagalkot,Bagalkote,Navanagara PS,address,navnagarbgk@ksp.gov.in,8354-235323,Bagalkot Town Circle,16.181458,75.696753,,
524.0,Bagalkot,Bagalkote,Savalgi PS,"INFRONT OF POST OFFICE, SAVALAGI",savalagibgk@ksp.gov.in,8353-250033,Jamakhandi Circle,16.224531,75.717115,,
524.0,Bagalkot,Bagalkote,Teradal PS,"DEVARAJ NAGAR, TERDAL",terdalbgk@ksp.gov.in,8353-255133,Banahatti Circle,16.150332,75.659952,,
532.0,Chikkamagaluru,Chikkamagaluru,Jayapura PS,address,jayapurackm@ksp.gov.in,08265-245245,Koppa Circle,13.277962,75.740459,,
532.0,Chikkamagaluru,Chikkamagaluru,Koppa PS,"KOPPA POLICE STATION, KOPPA TOWN, CHICKMAGALU",koppackm@ksp.gov.in,08265-221027,Koppa Circle,13.333578,75.802816,,
533.0,Chitradurga,Chitradurga,Chitradurga CEN Crime PS,Chitradurga,email@ksp.gov.in,88888-888888,Chitradurga District,14.194674,76.366597,,
533.0,Chitradurga,Chitradurga,Chitradurga Extension PS,NH-4 (OLD HIMABINDU HOTEL) NEAR SAROJABAI KALYANACHITRADURGA,extentioncta@ksp.gov.in,9480803149,Chitradurga Town Circle,14.229543,76.376399,,
533.0,Chitradurga,Chitradurga,Chitrahalli Gate PS,"ChitrahalliHolalkere Tq, Chitradurga District",email@ksp.gov.in,88888-888888,Holalkere Circle,14.259068,76.423029,,
533.0,Chitradurga,Chitradurga,Srirampura PS,"HULIYAR ROAD, SRIRAMPURA - 577542",srirampuracta@ksp.gov.in,08199 - 242633,Hosadurga Circle,14.207699,76.434578,,
534.0,Dakshina Kannada,Dakshina Kannada,Bantwala Traffic PS,BantwalaDK,email@ksp.gov.in,88888-888888,Bantwala Circle,12.920567,74.879031,,
534.0,Dakshina Kannada,Dakshina Kannada,Bellare PS,Bellare VillageSullia Tq,bellaremaq@ksp.gov.in,08257-271995,Sullia Circle,12.944164,74.87803,,
534.0,Dakshina Kannada,Dakshina Kannada,Belthangadi PS,BELTHANGADY,belthangdymaq@karapolice.in,8256232093,Belthangadi Circle,12.882511,74.89269,,
534.0,Dakshina Kannada,Dakshina Kannada,Belthangadi Traffic PS,Laila Village and PostBelthangady Taluk,belthangadytrafficmaq@ksp.gov.in,88888-888888,Belthangadi Circle,12.917951,74.867694,,
534.0,Dakshina Kannada,Dakshina Kannada,Buntwala Rural PS,BANTWALA,bantwalarmaq@karpolice.in,8255235000,Bantwala Circle,12.931592,74.879262,,
534.0,Dakshina Kannada,Dakshina Kannada,Buntwala Town PS,BANTWALA,bantwalatmaq@karpolice.in,8255232111,Bantwala Circle,12.949088,74.83823,,
534.0,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada Women PS,Dakshina Kannada,womenmaq@ksp.gov.in,88888-888888,Puttur Sub-Division,12.924593,74.892652,,
534.0,Dakshina Kannada,Dakshina Kannada,Dharmasthala PS,Dakshina Kannada,email@ksp.gov.in,88888-888888,Belthangadi Circle,12.944816,74.891071,,
534.0,Dakshina Kannada,Dakshina Kannada,DK CEN Crime PS,Dakshina Kannada,email@ksp.gov.in,88888-888888,Dakshina Kannada  District,12.904805,74.870465,,
534.0,Dakshina Kannada,Dakshina Kannada,Kadaba PS,KADABA,kadamaq@karpolice.in,08251 260044,Puttur Rural Circle,12.879333,74.887141,,
534.0,Dakshina Kannada,Dakshina Kannada,Punjalkatte PS,address,pkattemaq@ksp.gov.in,8256279375,Belthangadi Circle,12.934765,74.86365,,
534.0,Dakshina Kannada,Dakshina Kannada,Puttur Rural PS,SAMPYA,putturrmaq@karpolice.in,08251 232102,Puttur Rural Circle,12.912883,74.894988,,
534.0,Dakshina Kannada,Dakshina Kannada,Puttur Town PS,PUTTUR,putturtownmaq@karpolice.in,8251230555,Puttur Sub-Division,12.921046,74.879856,,
534.0,Dakshina Kannada,Dakshina Kannada,Puttur Traffic PS,address,putturtrafficmaq@karpolice.in,8251238500,Puttur Sub-Division,12.889142,74.853759,,
534.0,Dakshina Kannada,Dakshina Kannada,Subramanya PS,SUBRAMANYA,subramanyamaq@karpolice.in,8257281250,Sullia Circle,12.898417,74.852096,,
534.0,Dakshina Kannada,Dakshina Kannada,Sullia PS,SULLIA,sulliamaq@karpolice.in,8257230337,Sullia Circle,12.891358,74.822583,,
534.0,Dakshina Kannada,Dakshina Kannada,Uppinangadi PS,UPPINANGADY,uppinangadymaq@karpolice.in,8251251055,Puttur Rural Circle,12.947944,74.844643,,
534.0,Dakshina Kannada,Dakshina Kannada,Venoor PS,VENUR,veenoormaq@karpolice.in,8256286232,Belthangadi Circle,12.905192,74.869551,,
534.0,Dakshina Kannada,Dakshina Kannada,Vitla PS,VITTLA,vittalmaq@karpolice.in,8255239233,Bantwala Circle,12.930313,74.854982,,
535.0,Davanagere,Davanagere,Azad Nagar PS,"Maganahalli Road, AzadNagara, Davangere-57700",azadnagardvg@ksp.gov.in,08192-272010,Davanagere North Circle,14.483951,75.892081,,
535.0,Davanagere,Davanagere,Basavanagara PS,"Vasantha theatre Road, Near subjail, Old Dava",basavanagardvg@ksp.gov.in,08192-272009,Davanagere City Sub-Division,14.457919,75.933443,,
535.0,Davanagere,Davanagere,Basavapatna PS,"Basavapatna PS, Sagarpete,  Channagiri Taluk,",basavapatnadvg@ksp.gov.in,08180-272463,Channagiri Circle,14.502272,75.951004,,
535.0,Davanagere,Davanagere,Bilichodu PS,"Bilichodu PS, Jagalur road, Bilichodu post,",bilichodudvg@ksp.gov.in,08196-248244,Jagalur Circle,14.48668,75.945087,,
535.0,Davanagere,Davanagere,Channagiri PS,"Behind Busstand, Channagiri, Davangere Dist-5",Channagiridvg@ksp.gov.in,08189-228133,Channagiri Circle,14.487735,75.956509,,
535.0,Davanagere,Davanagere,Davanagere CEN Crime PS,DSBDavanagere,email@ksp.gov.in,88888-888888,Davanagere District,14.465588,75.883298,,
535.0,Davanagere,Davanagere,Davanagere Extention PS,"PJ Extn. , Old court road, Near Govt. High sc",extndvg@ksp.gov.in,08192-272012,Davanagere City Sub-Division,14.488111,75.961369,,
535.0,Davanagere,Davanagere,Davanagere Rural PS,"Nittuvalli Circle, Hadadi road, Davangere-577",ruraldvg@ksp.gov.in,08192-262555,Davanagere Rural Sub-Division,14.448572,75.921507,,
535.0,Davanagere,Davanagere,Davangere Traffic North PS,"Vasantha theatre Road, Near subjail, Old Dava",trafficnorthdvg@ksp.gov.in,08192-234865,Davanagere Traffic Circle,14.452769,75.9478,,
535.0,Davanagere,Davanagere,Gandhi Nagar PS,"Gandhinagara, Davangere-577001",gandhinagardvg@ksp.gov.in,08192-272011,Davanagere North Circle,14.444179,75.931286,,
535.0,Davanagere,Davanagere,Hadadi PS,"Hadadi, Davangere taluk-577252",hadadidvg@ksp.gov.in,08192-218405,Davanagere Rural Circle,14.448659,75.881955,,
535.0,Davanagere,Davanagere,Harihara Rural PS,"Guttur Colony, Harihara Taluk, Davanagere Dis",hariharruraldvg@ksp.gov.in,08192-272017,Harihara Circle,14.434725,75.928478,,
535.0,Davanagere,Davanagere,Harihara Town PS,"Harihara PS, Harihara Taluk , Davanagere Dist",harihartowndvg@ksp.gov.in,08192-272016,Harihara Circle,14.438106,75.936898,,
535.0,Davanagere,Davanagere,Honnali PS,"Shivamogga Road, Honnali, Davangere DIST Pin-",honnalidvg@ksp.gov.in,08188-251100,Honnali Circle,14.489298,75.933199,,
535.0,Davanagere,Davanagere,Jagalur PS,"Jagalur PS, Near Bharath talkies, jaglur talu",jlrdvg@ksp.gov.in,08196-227329,Jagalur Circle,14.441046,75.946801,,
535.0,Davanagere,Davanagere,KTJ Nagar PS,"Nittuvalli Road, Koracharahatti, Davangere-57",ktjnagardvg@ksp.gov.in,08192-259285,Davanagere South Circle,14.466677,75.895229,,
535.0,Davanagere,Davanagere,Malebennur PS,"Malebennur, Harihara Taluk, Davangere Dist-57",malebennurdvg@ksp.gov.in,08192-268758,Harihara Circle,14.46854,75.953206,,
535.0,Davanagere,Davanagere,Mayakonda PS,"Mayakonda PS, Mayakonda post, Davangere Taluk",mayakondadvg@ksp.gov.in,08192-215922,Davanagere Rural Circle,14.43461,75.953064,,
535.0,Davanagere,Davanagere,Nyamathi PS,"Nyamathi post,  Honnali Taluk, Davangere Dist",nymathidvg@ksp.gov.in,08188-265349,Honnali Circle,14.43622,75.942691,,
535.0,Davanagere,Davanagere,RMC Yard PS,"APMC  Market, Davangere-577003",rmcyarddvg@ksp.gov.in,08192-272008,Davanagere North Circle,14.426155,75.912956,,
535.0,Davanagere,Davanagere,Santhebennur PS,"Near Busstand, SantheBennur, Channagiri Taluk",santhebennurdvg@ksp.gov.in,08180-256437,Channagiri Circle,14.426288,75.889725,,
535.0,Davanagere,Davanagere,Vidyanagar PS,"Vidyanagara, Davangere-577005",vidyanagardvg@ksp.gov.in,08192-262688,Davanagere South Circle,14.490029,75.922297,,
536.0,Dharwad,Dharwad,Alnavar PS,"Alanvar Police Station, Opp State Bank, Alanv",alnavardwd@ksp.gov.in,0836-2233216,Dharwad Rural Circle,15.449801,74.991892,,
536.0,Dharwad,Dharwad,Annigeri PS,"Annigeri P.S. Near Bus Stand,  Taluk-Navalgun",annigeridwd@ksp.gov.in,08380-222733,Navalgund Circle,15.480908,74.982839,,
536.0,Dharwad,Dharwad,Dharwad CEN Crime PS,Near Bus StandDharwad Town,email@ksp.gov.in,0836-2444969,Dharwad District,15.493722,74.995699,,
536.0,Dharwad,Dharwad,Dharwad Rural PS,"Dharwad Rural P.S, Behind M.G.Bank, P.B.Road",ruraldwd@ksp.gov.in,0836-2233215,Dharwad Sub-Division,15.460621,74.982825,,
536.0,Dharwad,Dharwad,Dharwad Women PS,"Near Karnataka Vikasa BankChikkamalligad Road, Dharwad",email@ksp.gov.in,88888-888888,Dharwad Sub-Division,15.442769,74.989233,,
536.0,Dharwad,Dharwad,Garag PS,"Garag Police Station, Dharwad District, Dharw",garagdwd@ksp.gov.in,0836-2233217,Dharwad Rural Circle,15.43794,74.983683,,
536.0,Dharwad,Dharwad,Gudageri PS,address,gudageridwd@ksp.gov.in,0830-4262100,Dharwad Rural Circle,15.463575,74.993467,,
536.0,Dharwad,Dharwad,Hubli Rural PS,"Hubli Rural P.S, Mini Vidhan Soudah 1st Floor",hubliruraldwd@ksp.gov.in,0836-2233214,Dharwad Sub-Division,15.496432,75.019426,,
536.0,Dharwad,Dharwad,Kalaghatagi PS,"Kalaghatagi P.S,  Taluk Kalaghtagi, Dharwad D",kalaghtagidwd@ksp.gov.in,08370-284511,Dharwad Sub-Division,15.471037,75.045022,,
536.0,Dharwad,Dharwad,Kundagol PS,"Kundagol P.S. Taluk Kundagol, Dharwad Distric",kundagoldwd@ksp.gov.in,08304-290343,Dharwad Sub-Division,15.435061,75.002163,,
536.0,Dharwad,Dharwad,Navalgund PS,"Navalgund P.S, Taluk-Navalgund ,  Dharwad Dis",navalgunddwd@ksp.gov.in,08380-229233,Navalgund Circle,15.463124,74.991344,,
537.0,Gadag,Gadag,Betageri Extention PS,"RAJEEVGANDHINAGAR, GADAG",betageriextngdg@ksp.gov.in,08372-237019,Betageri Circle,15.39412,75.596445,,
537.0,Gadag,Gadag,Betageri PS,"OLD PHQ, HEALTHCAMP, BETAGERI-GADAG",betagerigdg@ksp.gov.in,08372-246333,Betageri Circle,15.417209,75.610909,,
537.0,Gadag,Gadag,Gadag CEN Crime PS,Gadag townGadag,email@ksp.gov.in,88888-888888,Gadag District,15.467565,75.661958,,
537.0,Gadag,Gadag,Gadag Rural PS,"TAHASHILDAR OFFICE CAMPUS, GADAG",ruralgdggdg@ksp.gov.in,08372-278213,Gadag Rural Circle,15.453191,75.648871,,
537.0,Gadag,Gadag,Gadag Town PS,"OPP OLD BUSSTAND, GADAG",towngdg@ksp.gov.in,08372-238333,Gadag Town Circle,15.394231,75.644157,,
537.0,Gadag,Gadag,Gadag Traffic PS,"SAMBHAPUR ROAD, GADAG",trafficgdg@ksp.gov.in,08372-238425,Betageri Circle,15.414157,75.648499,,
537.0,Gadag,Gadag,Gadag Women PS,GadagGadag Town,email@ksp.gov.in,88888-888888,Gadag Sub-Division,15.395754,75.594134,,
537.0,Gadag,Gadag,Gajendragad PS,"NEAR POLICE QTRS, GAJENDRAGAD",gajendragadgdg@ksp.gov.in,08381-252133,Ron Circle,15.425809,75.669765,,
537.0,Gadag,Gadag,Lakshmeshwar PS,"NEAR POLICE QTRS, LAXMESHWAR",laxmeshwargdg@ksp.gov.in,08487-272333,Shirahatti Circle,15.393623,75.632611,,
537.0,Gadag,Gadag,Mulagund PS,"NEAR SANTE MARLET, MULAGUND",mulagundgdg@ksp.gov.in,08372-280133,Gadag Rural Circle,15.410862,75.609159,,
537.0,Gadag,Gadag,Mundargi PS,"GADAG ROAD, MUNDARAGI",mundaragigdg@ksp.gov.in,08371-262233,Nargund Sub Divison,15.454902,75.626743,,
537.0,Gadag,Gadag,Naregal PS,"GADAG ROAD, NAREGAL",naregalgdg@ksp.gov.in,08381-258233,Ron Circle,15.466073,75.671102,,
537.0,Gadag,Gadag,Nargund PS,"HUBLI-BIJAPUR ROA, NARAGUND",naragundgdg@ksp.gov.in,08377-265288,Nargund Sub Divison,15.421954,75.609022,,
537.0,Gadag,Gadag,Ron PS,"GADAG ROAD, RON",rongdg@ksp.gov.in,08381-267233,Ron Circle,15.394725,75.63398,,
537.0,Gadag,Gadag,Shirahatti PS,"NEAR LOD TAHASHILDAR OFFICE, SHIRAHATTI",shirahattigdg@ksp.gov.in,08487-242233,Shirahatti Circle,15.431473,75.625404,,
539.0,Hassan,Hassan,Alur PS,B. M. ROAD,alurhsn@ksp.gov.in,08170-218231,Sakaleshpura Sub-Division,12.972505,76.080753,,
539.0,Hassan,Hassan,Arakalagud PS,ARKALGUD,arkalgudhsn@ksp.gov.in,08175-220249,Arakalagud  Circle,13.029714,76.082313,,
539.0,Hassan,Hassan,Arasikere Rural PS,B.H. ROAD,arasikereruralhsn@Ksp.gov.in,08174-232237,Arasikere Rural Circle,13.016372,76.136651,,
539.0,Hassan,Hassan,Arasikere Town PS,B.H. ROAD,arasikeretownhsn@ksp.gov.in,08174-232233,Arasikere Sub-Division,13.046296,76.093538,,
539.0,Hassan,Hassan,Arehalli PS,MAIN ROAD,arehallyhsn@ksp.gov.in,08177-221342,Belur Circle,12.990684,76.135217,,
539.0,Hassan,Hassan,Banavara PS,BANAVARA,banavarahsn@ksp.gov.in,08174-235633,Arasikere Rural Circle,13.004851,76.120949,,
539.0,Hassan,Hassan,Belur PS,BELUR,belurhsn@ksp.gov.in,08177-222444,Arasikere Sub-Division,12.982765,76.114209,,
539.0,Hassan,Hassan,Channarayapatna Rural PS,B.M. ROAD,crpatnaruralhsn@ksp.gov.in,08176-254933,Holenarasipura Sub-Division,13.040103,76.134091,,
539.0,Hassan,Hassan,Channarayapatna Town PS,B.M. ROAD,crpatnatownhsn@ksp.gov.in,08176-252333,Holenarasipura Sub-Division,13.012836,76.0972,,
539.0,Hassan,Hassan,Channarayapatna Traffic PS,Channarayapatnahassan,email@ksp.gov.in,88888-888888,Channarayapatna Town PS,12.997795,76.097994,,
539.0,Hassan,Hassan,Dudda PS,DUDDA,duddahsn@ksp.gov.in,08172-223935,Hassan Rural Circle,13.010621,76.119032,,
539.0,Hassan,Hassan,Gandasi PS,GANDASI,gandasihsn@ksp.gov.in,08174-220630,Arasikere Rural Circle,13.042249,76.062823,,
539.0,Hassan,Hassan,Goruru PS,GORUR,gorurhsn@ksp.gov.in,08172-225475,Hassan Rural Circle,13.021781,76.123152,,
539.0,Hassan,Hassan,Halebeedu PS,Temple Road,halebeeduhsn@ksp.gov.in,08177-273201,Belur Circle,12.986065,76.114036,,
539.0,Hassan,Hassan,Hallymysore PS,Hallymysore HobliHolenarasipura Tq.,hallymysore@ksp.gov.in,88888-888888,Holenarasipura Circle,13.028749,76.10159,,
539.0,Hassan,Hassan,Hassan CEN Crime PS,Hassan TownHassan,dcbhsn@ksp.gov.in,88888-888888,Hassan District,13.035627,76.067207,,
539.0,Hassan,Hassan,Hassan City PS,N R CIRCLE,townhsn@ksp.gov.in,08172-268333,Hassan Sub-Division,13.027683,76.095832,,
539.0,Hassan,Hassan,Hassan Extn. PS,K.R. PURAM,extensionhsn@ksp.gov.in,08172-268967,Hassan Sub-Division,13.022436,76.129457,,
539.0,Hassan,Hassan,Hassan Rural PS,N R CIRCLE,ruralhsn@ksp.gov.in,08172-268630,Hassan Sub-Division,12.97654,76.110083,,
539.0,Hassan,Hassan,Hassan Traffic PS,HOSALINE ROAD,traffichsn@ksp.gov.in,08172-272846,Hassan City Circle,12.995,76.064267,,
539.0,Hassan,Hassan,Hassan Women PS,,email@ksp.gov.in,88888-888888,Hassan Sub-Division,13.013468,76.098276,,
539.0,Hassan,Hassan,Hirisave PS,B.M. ROAD,hirisavehsn@ksp.gov.in,08176-226888,Channarayapatna Circle,13.025235,76.139267,,
539.0,Hassan,Hassan,Holenarasipura Rural PS,MYSORE ROAD,hnpuraruralhsn@Ksp.gov.in,08175-273308,Holenarasipura Circle,13.035762,76.072736,,
539.0,Hassan,Hassan,Holenarasipura Town PS,Park Road,hnpuratownhsn@ksp.gov.in,08175-273333,Holenarasipura Circle,13.007355,76.088615,,
539.0,Hassan,Hassan,Javagal PS,address,javgalhsn@ksp.gov.in,08174-271221,Arasikere Rural Circle,12.996741,76.098587,,
539.0,Hassan,Hassan,Konanur PS,Konanur,konanurhsn@ksp.gov.in,08175-226227,Arakalagud  Circle,13.012586,76.117472,,
539.0,Hassan,Hassan,Nuggehalli PS,Nuggehally,nuggehallyhsn@Ksp.gov.in,08176-233033,Channarayapatna Circle,13.040972,76.122272,,
539.0,Hassan,Hassan,Pension Mohalla PS,HOSALINE ROAD,pmohallahsn@ksp.gov.in,08172-272260,Hassan City Circle,12.983753,76.126845,,
539.0,Hassan,Hassan,Sakaleshpura Rural PS,B.M. ROAD,sakaleshapuraruralhs@ksp.gov.in,08173-245183,Sakaleshpura Circle,13.005107,76.10521,,
539.0,Hassan,Hassan,Sakaleshpura Town PS,B.M. ROAD,sakaleshapuratownhsn@ksp.gov.in,08173-244100,Sakaleshpura Circle,13.035626,76.067463,,
539.0,Hassan,Hassan,Shanthigrama PS,address,email@ksp.gov.in pensionmohallahsn@ksp.gov.in,08172-258038,Hassan Rural Circle,13.035103,76.124295,,
539.0,Hassan,Hassan,Shravanabelagola PS,Shravanabelagola,shravanabelagolahsn@ksp.gov.in,08176-257229,Channarayapatna Circle,13.035647,76.070185,,
539.0,Hassan,Hassan,Yesalur PS,Yeslur,yeslurhsn@ksp.gov.in,08173-278212,Sakaleshpura Circle,12.988354,76.12359,,
540.0,Haveri,Haveri,Adur PS,"PSI, Adur PS, Haveri Road",adurhvr@ksp.gov.in,08379-265233,Hanagal Circle,14.784022,75.391449,,
540.0,Haveri,Haveri,Bankapura PS,address,bankapurahvr@ksp.gov.in,08378-254233,Shiggaon Circle,14.764702,75.393228,,
540.0,Haveri,Haveri,Byadagi PS,"PSI, Byadagi Police Station",byadgihvr@ksp.gov.in,08375-228333,Byadagi Circle,14.772128,75.401166,,
540.0,Haveri,Haveri,Guttal PS,PSI Guttal Police Station,guttalhvr@ksp.gov.in,08375-224223,Haveri Circle,14.777121,75.374265,,
540.0,Haveri,Haveri,Halageri PS,"PSI, Halageri PS, Hirekerur Road",halagerihvr@ksp.gov.in,08373-252333,Ranebennur Rural Circle,14.808403,75.417283,,
540.0,Haveri,Haveri,Hanagal PS,"PSI, Hanagal Police Station, Darga Road",hanagalhvr@ksp.gov.in,08379-262333,Hanagal Circle,14.824487,75.414117,,
540.0,Haveri,Haveri,Hansabhavi PS,"PSI, Hansabhavi PS, Haveri Road",hansabhavihvr@ksp.gov.in,08376-289033,Hirekerur Circle,14.790787,75.39186,,
540.0,Haveri,Haveri,Haveri CEN Crime PS,Haveri Town,email@ksp.gov.in,88888-888888,Haveri District,14.780745,75.377749,,
540.0,Haveri,Haveri,Haveri Rural PS,"PSI Haveri Rural PS, Hanagal Road",haveriruralhvr@ksp.gov.in,08375-233333,Haveri Circle,14.759042,75.394361,,
540.0,Haveri,Haveri,Haveri Town PS,"PI, Haveri Town PS",haveritownhvr@ksp.gov.in,08375-232333,Haveri Sub-Division,14.767306,75.39905,,
540.0,Haveri,Haveri,Haveri Traffic PS,"PI, Haveri Traffic PSNear Police Samudaya Bhavan, Rajendra Nagar, Haver",haveritraffichvr@ksp.gov.in,88888-888888,Haveri Sub-Division,14.778517,75.405123,,
540.0,Haveri,Haveri,Haveri Women PS,Hanagal RoadHaveri,email@ksp.gov.in,8375232333,Haveri Sub-Division,14.80303,75.421272,,
540.0,Haveri,Haveri,Hirekerur PS,"PSI, Hirekerur PS, Near Bus Stand",hirekerurhvr@ksp.gov.in,08373-282333,Hirekerur Circle,14.802403,75.40259,,
540.0,Haveri,Haveri,Kaginele PS,"PSI, Kaginele Police Station",kaginelehvr@ksp.gov.in,08375-289233,Byadagi Circle,14.78459,75.440616,,
540.0,Haveri,Haveri,Kumarapattanam PS,"PSI, Kumarapattanam PS, P.B Road",kpattanamhvr@ksp.gov.in,08373-242208,Ranebennur Rural Circle,14.794742,75.40099,,
540.0,Haveri,Haveri,Ranebennur Rural PS,"PSI, Ranebennur Rural PS, PB Road",rbruralhvr@ksp.gov.in,08373-266433,Ranebennur Sub-Division,14.816123,75.365094,,
540.0,Haveri,Haveri,Ranebennur Town PS,"PSI, Ranebennur Town PS, Ashok Circle",rbtownhvr@ksp.gov.in,08373-266333,Ranebennur Town Circle,14.78662,75.420827,,
540.0,Haveri,Haveri,Ranebennur Traffic PS,"PSI, Ranebennur Traffic PS, Near Taluk Office",rbtraffichvr@ksp.gov.in,08373-268333,Ranebennur Town Circle,14.811125,75.419945,,
540.0,Haveri,Haveri,Rattihalli PS,"PSI, Rattihalli PS, Chikkayadachi Road",rattihallihvr@ksp.gov.in,08376-286233,Hirekerur Circle,14.799909,75.375348,,
540.0,Haveri,Haveri,Savanoor PS,"PI, Savanur Police Station",savanurhvr@ksp.gov.in,08378-241633,Shiggaon Sub-Division,14.804687,75.389703,,
540.0,Haveri,Haveri,Shiggaon PS,"PSI, Shiggaon PS, Near Govt. Hospital",shiggaonhvr@ksp.gov.in,08378-255233,Shiggaon Circle,14.759189,75.400752,,
540.0,Haveri,Haveri,Tadas PS,"PSI, Tadas PS, Hubli Road",tadashvr@ksp.gov.in,08378-257433,Shiggaon Circle,14.790558,75.408615,,
528.0,Ballari,Ballari,APMC Yard PS,address,apmcblr@ksp.gov.in,0832-250033,Bellary City Sub-Division,15.139915,76.946044,,
528.0,Ballari,Ballari,Ballari CEN Crime PS,Ballari Town,email@ksp.gov.in,8888-888888,Ballari District,15.176801,76.881897,,
528.0,Ballari,Ballari,Ballari Women PS,BallariBallari,womenpsblr@ksp.gov.in,8392274100,Bellary City Sub-Division,15.154413,76.914517,,
528.0,Ballari,Ballari,Bellary Rural PS,Bellary,bellaryruralblr@ksp.gov.in,08392-276461,Bellary Rural Circle,15.157629,76.886061,,
528.0,Ballari,Ballari,Bellary Traffic PS,Bellary,bellarytrafficblr@ksp.gov.in,08392-275722,Bellary City Sub-Division,15.118837,76.950718,,
528.0,Ballari,Ballari,Brucepet PS,bellary,brucepetblr@ksp.gov.in,08392-276793,Bellary City Sub-Division,15.138428,76.916824,,
528.0,Ballari,Ballari,Cowlbazar PS,Bellary,cowlbazarblr@ksp.gov.in,08392-240110,Bellary City Sub-Division,15.161076,76.917049,,
