district_id,police_station_name,address,email,phone,circle,latitude,longitude
15,Davanagere Rural PS,"Nittuvalli Circle, Hadadi road, Davangere-577",ruraldvg@ksp.gov.in,08192-262555,Davanagere Rural Sub-Division,14.4508,75.92065
15,Davangere Traffic North PS,"Vasantha theatre Road, Near subjail, Old Dava",trafficnorthdvg@ksp.gov.in,08192-234865,Davanagere Traffic Circle,14.46899,75.91843
15,Gandhi Nagar PS,"Gandhinagara, Davangere-577001",gandhinagardvg@ksp.gov.in,08192-272011,Davanagere North Circle,14.47633,75.92032
15,Hadadi PS,"Hadadi, Davangere taluk-577252",hadadidvg@ksp.gov.in,08192-218405,Davanagere Rural Circle,14.36992,75.89442
15,Harihara Rural PS,"Guttur Colony, Harihara Taluk, Davanagere Dis",hariharruraldvg@ksp.gov.in,08192-272017,Harihara Circle,14.53555,75.81292
15,Harihara Town PS,"Harihara PS, Harihara Taluk , Davanagere Dist",harihartowndvg@ksp.gov.in,08192-272016,Harihara Circle,14.51475,75.80687
15,Honnali PS,"Shivamogga Road, Honnali, Davangere DIST Pin-",honnalidvg@ksp.gov.in,08188-251100,Honnali Circle,14.23417,75.65733
15,Jagalur PS,"Jagalur PS, Near Bharath talkies, jaglur talu",jlrdvg@ksp.gov.in,08196-227329,Jagalur Circle,14.51335,76.33749
15,KTJ Nagar PS,"Nittuvalli Road, Koracharahatti, Davangere-57",ktjnagardvg@ksp.gov.in,08192-259285,Davanagere South Circle,14.4541,75.92468
15,Malebennur PS,"Malebennur, Harihara Taluk, Davangere Dist-57",malebennurdvg@ksp.gov.in,08192-268758,Harihara Circle,14.35171,75.73856
15,Mayakonda PS,"Mayakonda PS, Mayakonda post, Davangere Taluk",mayakondadvg@ksp.gov.in,08192-215922,Davanagere Rural Circle,14.28296,76.08058
15,Nyamathi PS,"Nyamathi post,  Honnali Taluk, Davangere Dist",nymathidvg@ksp.gov.in,08188-265349,Honnali Circle,14.14775,75.56285
15,RMC Yard PS,"APMC  Market, Davangere-577003",rmcyarddvg@ksp.gov.in,08192-272008,Davanagere North Circle,14.45977,75.93587
15,Santhebennur PS,"Near Busstand, SantheBennur, Channagiri Taluk",santhebennurdvg@ksp.gov.in,08180-256437,Channagiri Circle,14.17318,76.00685
15,Vidyanagar PS,"Vidyanagara, Davangere-577005",vidyanagardvg@ksp.gov.in,08192-262688,Davanagere South Circle,14.43468,75.91607
16,Alnavar PS,"Alanvar Police Station, Opp State Bank, Alanv",alnavardwd@ksp.gov.in,0836-2233216,Dharwad Rural Circle,15.43167,74.74003
16,Annigeri PS,"Annigeri P.S. Near Bus Stand,  Taluk-Navalgun",annigeridwd@ksp.gov.in,08380-222733,Navalgund Circle,15.42939,75.43353
16,Dharwad CEN Crime PS,Near Bus StandDharwad Town,email@ksp.gov.in,0836-2444969,Dharwad District,15.46829,74.98642
16,Dharwad Rural PS,"Dharwad Rural P.S, Behind M.G.Bank, P.B.Road",ruraldwd@ksp.gov.in,0836-2233215,Dharwad Sub-Division,15.175,74.97917
16,Dharwad Women PS,"Near Karnataka Vikasa BankChikkamalligad Road, Dharwad",email@ksp.gov.in,88888-888888,Dharwad Sub-Division,15.350638,75.13926
16,Garag PS,"Garag Police Station, Dharwad District, Dharw",garagdwd@ksp.gov.in,0836-2233217,Dharwad Rural Circle,15.57011,74.92933
16,Gudageri PS,address,gudageridwd@ksp.gov.in,0830-4262100,Dharwad Rural Circle,15.12149,75.36285
16,Hubli Rural PS,"Hubli Rural P.S, Mini Vidhan Soudah 1st Floor",hubliruraldwd@ksp.gov.in,0836-2233214,Dharwad Sub-Division,15.35081,75.15969
16,Kalaghatagi PS,"Kalaghatagi P.S,  Taluk Kalaghtagi, Dharwad D",kalaghtagidwd@ksp.gov.in,08370-284511,Dharwad Sub-Division,15.17482,74.96894
16,Kundagol PS,"Kundagol P.S. Taluk Kundagol, Dharwad Distric",kundagoldwd@ksp.gov.in,08304-290343,Dharwad Sub-Division,15.25975,75.24011
16,Navalgund PS,"Navalgund P.S, Taluk-Navalgund ,  Dharwad Dis",navalgunddwd@ksp.gov.in,08380-229233,Navalgund Circle,15.55697,75.35836
17,Betageri Extention PS,"RAJEEVGANDHINAGAR, GADAG",betageriextngdg@ksp.gov.in,08372-237019,Betageri Circle,15.427639,75.652214
17,Betageri PS,"OLD PHQ, HEALTHCAMP, BETAGERI-GADAG",betagerigdg@ksp.gov.in,08372-246333,Betageri Circle,15.445417,75.647606
17,Gadag CEN Crime PS,Gadag townGadag,email@ksp.gov.in,88888-888888,Gadag District,15.4292288,75.6326299
17,Gadag Rural PS,"TAHASHILDAR OFFICE CAMPUS, GADAG",ruralgdggdg@ksp.gov.in,08372-278213,Gadag Rural Circle,15.4344,75.63517
17,Gadag Town PS,"OPP OLD BUSSTAND, GADAG",towngdg@ksp.gov.in,08372-238333,Gadag Town Circle,15.42923,75.63263
17,Gadag Traffic PS,"SAMBHAPUR ROAD, GADAG",trafficgdg@ksp.gov.in,08372-238425,Betageri Circle,15.42417,75.62472
17,Gadag Women PS,GadagGadag Town,email@ksp.gov.in,88888-888888,Gadag Sub-Division,15.4292288,75.6326299
17,Gajendragad PS,"NEAR POLICE QTRS, GAJENDRAGAD",gajendragadgdg@ksp.gov.in,08381-252133,Ron Circle,15.73592,75.96701
17,Lakshmeshwar PS,"NEAR POLICE QTRS, LAXMESHWAR",laxmeshwargdg@ksp.gov.in,08487-272333,Shirahatti Circle,15.07131,75.28251
17,Mulagund PS,"NEAR SANTE MARLET, MULAGUND",mulagundgdg@ksp.gov.in,08372-280133,Gadag Rural Circle,15.28221,75.51812
17,Mundargi PS,"GADAG ROAD, MUNDARAGI",mundaragigdg@ksp.gov.in,08371-262233,Nargund Sub Divison,15.12396,75.53017
17,Naregal PS,"GADAG ROAD, NAREGAL",naregalgdg@ksp.gov.in,08381-258233,Ron Circle,15.3445,75.4944
17,Nargund PS,"HUBLI-BIJAPUR ROA, NARAGUND",naragundgdg@ksp.gov.in,08377-265288,Nargund Sub Divison,15.43186,75.23177
17,Ron PS,"GADAG ROAD, RON",rongdg@ksp.gov.in,08381-267233,Ron Circle,15.3945,75.4423
17,Shirahatti PS,"NEAR LOD TAHASHILDAR OFFICE, SHIRAHATTI",shirahattigdg@ksp.gov.in,08487-242233,Shirahatti Circle,15.14142,75.34592
18,Alur PS,B. M. ROAD,alurhsn@ksp.gov.in,08170-218231,Sakaleshpura Sub-Division,12.97735,75.98999
18,Arakalagud PS,ARKALGUD,arkalgudhsn@ksp.gov.in,08175-220249,Arakalagud  Circle,12.76589,76.057
18,Arasikere Rural PS,B.H. ROAD,arasikereruralhsn@Ksp.gov.in,08174-232237,Arasikere Rural Circle,13.31268,76.25699
18,Arasikere Town PS,B.H. ROAD,arasikeretownhsn@ksp.gov.in,08174-232233,Arasikere Sub-Division,13.31228,76.25688
18,Arehalli PS,MAIN ROAD,arehallyhsn@ksp.gov.in,08177-221342,Belur Circle,13.02485,75.79701
18,Banavara PS,BANAVARA,banavarahsn@ksp.gov.in,08174-235633,Arasikere Rural Circle,13.40478,76.16288
18,Belur PS,BELUR,belurhsn@ksp.gov.in,08177-222444,Arasikere Sub-Division,13.17419,75.87545
18,Channarayapatna Rural PS,B.M. ROAD,crpatnaruralhsn@ksp.gov.in,08176-254933,Holenarasipura Sub-Division,12.912191,76.38196
18,Channarayapatna Town PS,B.M. ROAD,crpatnatownhsn@ksp.gov.in,08176-252333,Holenarasipura Sub-Division,12.90332,76.38955
18,Channarayapatna Traffic PS,Channarayapatnahassan,email@ksp.gov.in,88888-888888,Channarayapatna Town PS,12.903317,76.389545
18,Dudda PS,DUDDA,duddahsn@ksp.gov.in,08172-223935,Hassan Rural Circle,13.08627,76.20483
18,Gandasi PS,GANDASI,gandasihsn@ksp.gov.in,08174-220630,Arasikere Rural Circle,13.15579,76.30467
18,Goruru PS,GORUR,gorurhsn@ksp.gov.in,08172-225475,Hassan Rural Circle,12.81843,76.06164
18,Halebeedu PS,Temple Road,halebeeduhsn@ksp.gov.in,08177-273201,Belur Circle,13.2173,75.99379
18,Hallymysore PS,Hallymysore HobliHolenarasipura Tq.,hallymysore@ksp.gov.in,88888-888888,Holenarasipura Circle,12.65799,76.25928
18,Hassan CEN Crime PS,Hassan TownHassan,dcbhsn@ksp.gov.in,88888-888888,Hassan District,13.312675,76.256993
18,Hassan City PS,N R CIRCLE,townhsn@ksp.gov.in,08172-268333,Hassan Sub-Division,13.00302,76.10057
18,Hassan Extn. PS,K.R. PURAM,extensionhsn@ksp.gov.in,08172-268967,Hassan Sub-Division,13.00694,76.11359
18,Hassan Rural PS,N R CIRCLE,ruralhsn@ksp.gov.in,08172-268630,Hassan Sub-Division,13.01098,76.10626
18,Hassan Traffic PS,HOSALINE ROAD,traffichsn@ksp.gov.in,08172-272846,Hassan City Circle,13.00694,76.11359
18,Hassan Women PS,,email@ksp.gov.in,88888-888888,Hassan Sub-Division,13.00282,76.10761
18,Hirisave PS,B.M. ROAD,hirisavehsn@ksp.gov.in,08176-226888,Channarayapatna Circle,12.94391,76.55115
18,Holenarasipura Rural PS,MYSORE ROAD,hnpuraruralhsn@Ksp.gov.in,08175-273308,Holenarasipura Circle,12.78077,76.24741
18,Holenarasipura Town PS,Park Road,hnpuratownhsn@ksp.gov.in,08175-273333,Holenarasipura Circle,12.78326,76.24642
18,Javagal PS,address,javgalhsn@ksp.gov.in,08174-271221,Arasikere Rural Circle,13.30356,76.04668
18,Konanur PS,Konanur,konanurhsn@ksp.gov.in,08175-226227,Arakalagud  Circle,12.63333,76.05
18,Nuggehalli PS,Nuggehally,nuggehallyhsn@Ksp.gov.in,08176-233033,Channarayapatna Circle,13.00525,76.47511
18,Pension Mohalla PS,HOSALINE ROAD,pmohallahsn@ksp.gov.in,08172-272260,Hassan City Circle,13.00681,76.09955
18,Sakaleshpura Rural PS,B.M. ROAD,sakaleshapuraruralhs@ksp.gov.in,08173-245183,Sakaleshpura Circle,12.94415,75.78657
18,Sakaleshpura Town PS,B.M. ROAD,sakaleshapuratownhsn@ksp.gov.in,08173-244100,Sakaleshpura Circle,12.94415,75.78657
18,Shanthigrama PS,address,email@ksp.gov.in pensionmohallahsn@ksp.gov.in,08172-258038,Hassan Rural Circle,12.98625,76.21835
18,Shravanabelagola PS,Shravanabelagola,shravanabelagolahsn@ksp.gov.in,08176-257229,Channarayapatna Circle,12.85633,76.47985
18,Yesalur PS,Yeslur,yeslurhsn@ksp.gov.in,08173-278212,Sakaleshpura Circle,12.78403,75.86066
19,Adur PS,"PSI, Adur PS, Haveri Road",adurhvr@ksp.gov.in,08379-265233,Hanagal Circle,14.77354,75.25091
19,Bankapura PS,address,bankapurahvr@ksp.gov.in,08378-254233,Shiggaon Circle,14.91471,75.27007
19,Byadagi PS,"PSI, Byadagi Police Station",byadgihvr@ksp.gov.in,08375-228333,Byadagi Circle,14.68018,75.49481
19,Guttal PS,PSI Guttal Police Station,guttalhvr@ksp.gov.in,08375-224223,Haveri Circle,14.83988,75.63024
19,Halageri PS,"PSI, Halageri PS, Hirekerur Road",halagerihvr@ksp.gov.in,08373-252333,Ranebennur Rural Circle,14.55347,75.60567
19,Hanagal PS,"PSI, Hanagal Police Station, Darga Road",hanagalhvr@ksp.gov.in,08379-262333,Hanagal Circle,14.7721,75.12471
19,Hansabhavi PS,"PSI, Hansabhavi PS, Haveri Road",hansabhavihvr@ksp.gov.in,08376-289033,Hirekerur Circle,14.56998,75.36876
19,Haveri CEN Crime PS,Haveri Town,email@ksp.gov.in,88888-888888,Haveri District,14.78392,75.388161
19,Haveri Rural PS,"PSI Haveri Rural PS, Hanagal Road",haveriruralhvr@ksp.gov.in,08375-233333,Haveri Circle,14.78392,75.38816
19,Haveri Town PS,"PI, Haveri Town PS",haveritownhvr@ksp.gov.in,08375-232333,Haveri Sub-Division,14.79304,75.39658
19,Haveri Traffic PS,"PI, Haveri Traffic PSNear Police Samudaya Bhavan, Rajendra Nagar, Haver",haveritraffichvr@ksp.gov.in,88888-888888,Haveri Sub-Division,14.793035,75.396582
19,Haveri Women PS,Hanagal RoadHaveri,email@ksp.gov.in,8375232333,Haveri Sub-Division,14.784032,75.388748
19,Hirekerur PS,"PSI, Hirekerur PS, Near Bus Stand",hirekerurhvr@ksp.gov.in,08373-282333,Hirekerur Circle,14.45598,75.39293
19,Kaginele PS,"PSI, Kaginele Police Station",kaginelehvr@ksp.gov.in,08375-289233,Byadagi Circle,14.69146,75.35793
19,Kumarapattanam PS,"PSI, Kumarapattanam PS, P.B Road",kpattanamhvr@ksp.gov.in,08373-242208,Ranebennur Rural Circle,14.52091,75.78638
19,Ranebennur Rural PS,"PSI, Ranebennur Rural PS, PB Road",rbruralhvr@ksp.gov.in,08373-266433,Ranebennur Sub-Division,14.62048,75.62505
19,Ranebennur Town PS,"PSI, Ranebennur Town PS, Ashok Circle",rbtownhvr@ksp.gov.in,08373-266333,Ranebennur Town Circle,14.62154,75.63555
19,Ranebennur Traffic PS,"PSI, Ranebennur Traffic PS, Near Taluk Office",rbtraffichvr@ksp.gov.in,08373-268333,Ranebennur Town Circle,14.6202,75.62083
19,Rattihalli PS,"PSI, Rattihalli PS, Chikkayadachi Road",rattihallihvr@ksp.gov.in,08376-286233,Hirekerur Circle,14.42712,75.50766
19,Savanoor PS,"PI, Savanur Police Station",savanurhvr@ksp.gov.in,08378-241633,Shiggaon Sub-Division,14.97743,75.33776
19,Shiggaon PS,"PSI, Shiggaon PS, Near Govt. Hospital",shiggaonhvr@ksp.gov.in,08378-255233,Shiggaon Circle,14.98939,75.22647
19,Tadas PS,"PSI, Tadas PS, Hubli Road",tadashvr@ksp.gov.in,08378-257433,Shiggaon Circle,15.12466,75.1242
2,APMC Yard PS,address,apmcblr@ksp.gov.in,0832-250033,Bellary City Sub-Division,15.13179,76.92145
2,Ballari CEN Crime PS,Ballari Town,email@ksp.gov.in,8888-888888,Ballari District,15.150804,76.929049
2,Ballari Women PS,BallariBallari,womenpsblr@ksp.gov.in,8392274100,Bellary City Sub-Division,15.278618,76.388759
2,Bellary Rural PS,Bellary,bellaryruralblr@ksp.gov.in,08392-276461,Bellary Rural Circle,15.14449,76.92506
2,Bellary Traffic PS,Bellary,bellarytrafficblr@ksp.gov.in,08392-275722,Bellary City Sub-Division,15.278616,76.388755
2,Brucepet PS,bellary,brucepetblr@ksp.gov.in,08392-276793,Bellary City Sub-Division,15.13819,76.92634
2,Cowlbazar PS,Bellary,cowlbazarblr@ksp.gov.in,08392-240110,Bellary City Sub-Division,15.13771,76.90293
2,Gadiganur PS,gadiganur,gadiganurblr@ksp.gov.in,08394-248033,Sandur Circle,15.22632,76.58877
2,Gandhinagar PS,Bellary,gandhinagarblr@ksp.gov.in,08392-272192,Bellary City Sub-Division,15.22901,76.59158
2,Hatcholli PS,Hatcholli,hatcholliblr@ksp.gov.in,08396-241613,Siruguppa Circle,15.79095,76.98731
2,Kampli PS,kampli,kampliblr@ksp.gov.in,08394-250333,Kampli Circle,15.4061,76.59913
2,Kuduthini PS,address,kuduthiniblr@ksp.gov.in,08392-248100,Kurugod Circle,15.2096,76.76243
2,Kurugod PS,Kurugodu,kurugodublr@ksp.gov.in,08393-263433,Kurugod Circle,15.34423,76.83532
2,Moka PS,moka,mokablr@ksp.gov.in,08392-293228,Bellary Rural Circle,15.24156,77.05922
2,P.D. Halli PS,PD halli,pdhalliblr@ksp.gov.in,08392-265010,Bellary Rural Circle,15.14313,77.05214
2,Sandur PS,Sandur,sandurblr@ksp.gov.in,08395-260249,Sandur Circle,15.08347,76.54372
2,Sirigeri PS,Sirigere,sirigereblr@ksp.gov.in,08396-244426,Tekkalkota Circle,15.4413,76.83889
2,Siruguppa PS,Siruguppa,siruguppablr@ksp.gov.in,08396-220333,Siruguppa Circle,15.63834,76.89973
2,Tekkalkota PS,tekkalakota,tekkalakotablr@ksp.gov.in,08396-248013,Tekkalkota Circle,15.26537,76.34916
2,Thoranagal PS,Toranagal,toranagalblr@ksp.gov.in,08395-250100,Sandur Circle,15.19603,76.66234
20,APMC Navanagar,"Bashweshawar Circle,",apmcnavanagarhdc@ksp.gov.in,0836-2233492,Hubli North Sub-Division,15.39278,75.08157
20,Ashoknagar PS,address,ashoknagarhdc@ksp.gov.in,0836-2233490,Hubli North Sub-Division,12.5818,77.36369
20,Bendigeri PS,Opposite Neharu College,bendigerihdc@ksp.gov.in,0836-2233526,Hubli South Sub-Division,15.34255,75.15034
20,Dharwad Sub-Urban PS,"Opposite Mental Hospital,",dwdsbanhdc@ksp.gov.in,0836-2233511,Dharwad Sub-Division,15.35064,75.13926
20,Dharwad Town PS,Behind Old bus Stand,dwdtownhdc@ksp.gov.in,0836-2233512,Dharwad Sub-Division,15.45885,75.0112
20,Dharwad Traffic PS,Tahasildhar Office Compound,dwdtraffichdc@ksp.gov.in,0836-2233542,Traffic Sub-Division,15.45936,75.01161
20,E and N Crime PS HD city,"2ST FLOOR, HUBLI SUB-URBAN PS BUILDINGNEAR KC CIRCLE, HUBBALLI",ccbdwdhdc@ksp.gov.in,0836-2233567,Hubballi Dharwad City,15.350638,75.13926
20,Ghantikeri PS,Javali Sal,ghantikerihdc@ksp.gov.in,0836-2233527,Hubli South Sub-Division,15.34119,75.14189
20,Gokul Road PS,Opposite New Bus Stand,gokulroadhdc@ksp.gov.in,0836-2233525,Hubli North Sub-Division,15.35081,75.11431
20,Hubli East Traffic PS,address,easttraffichdc@ksp.gov.in,0836-2233543,Traffic Sub-Division,15.36172,75.15193
20,Hubli North Traffic PS,Cotton Market,northtraffichdc@ksp.gov.in,0836-2233515,Traffic Sub-Division,15.355536,75.135085
20,Hubli South Traffic PS,Bammapur Oni,southtraffichdc@ksp.gov.in,0836-2233538,Traffic Sub-Division,15.34233,75.14938
20,Hubli Sub-Urban PS,"Near Mini Vidhan Soudha, Brundavan circle",suburbahdc@ksp.gov.in,0836-2233517,Hubli North Sub-Division,15.35064,75.13926
20,Hubli Town PS,Near Broadway,townhdc@ksp.gov.in,0836-2233540,Hubli South Sub-Division,15.34517,75.143
20,Kamaripeth PS,P B Road,kamaripethhdc@ksp.gov.in,0836-2233519,Hubli North Sub-Division,15.3446,75.13678
20,Kasabapeth PS,"Kasabapeth Main Road,",kasabapethhdc@ksp.gov.in,0836-2233536,Hubli South Sub-Division,15.33702,75.13319
20,Keshavapur PS,"Naveen Park, Kusagul Road,",keshwapurhdc@ksp.gov.in,0836-2233518,Hubli North Sub-Division,15.36028,75.16248
20,Old Hubli PS,"Near Indipump Circle,",oldhublihdc@ksp.gov.in,0836-2233541,Hubli South Sub-Division,15.33672,75.12697
20,Vidyagiri PS,Saraswatpur,vidyagirihdc@ksp.gov.in,0836-2233513,Dharwad Sub-Division,15.43902,75.01139
20,Vidyanagar PS,"Opposite Probas Garden, Doddamani Building,",vidyanagarhdc@ksp.gov.in,0836-2233516,Hubli North Sub-Division,14.43468,75.91607
21,ISD PS,,email@ksp.gov.in,88888-888888,ISD,12.969343,77.616759
22,Andersonpet PS,"NEAR ST MARYS HIGHER PRIMARY SCHOOL, ANDERSON",andersonpetkgf@ksp.gov.in,08153-274282,Robertsonpet Circle,12.93422,78.27026
22,Bangarpet PS,"NEAR TALUK OFFICE, BANGARPET",bangarpetkgf@ksp.gov.in,08153-255228,Bangarpet  Circle,12.98593,78.17882
22,BEML Nagar PS,"NEAR BEML NAGAR SPORT COMPLEX, BEML NAGAR, KGKGF District",bemlnagarkgf@ksp.gov.in,08153-263179,Oorgaum Circle,12.98082,78.2367
22,Bethamangala PS,NEAR BETHAMANGALA BUS STAND,bethamnagalakgf@ksp.gov.in,08153-277623,Bangarpet  Circle,13.00823,78.33332
22,Budikote Police Station,Budikote,budikotekgf@ksp.gov.in,9480802746,Budikote,12.906218,78.129691
22,Champion Reefs PS,"NEAR SUPERINTENDENT OF POLICE OFFICE, KGF.",championreefskgf@ksp.gov.in,08153-274289,Champion Reefs  Circle,12.95851,78.27103
22,Kamasamudram PS,NEAR KAMASAMUDRAM BUS STAND,kamasamudramkgf@ksp.gov.in,08153-259028,Bangarpet  Circle,12.86323,78.19599
