district_id,district,police_station_name,taluk
527,Belagavi,Belagavi CEN Crime PS,Belagavi
527,Belagavi,Belagavi City CEN Crime PS,Belagavi
527,Belagavi,Belagavi DCRE PS,Belagavi
527,Belagavi,Belagavi Rural PS,Belagavi
527,Belagavi,Belagavi Women PS,Belagavi
527,Belagavi,Belgaum North Traffic PS,
527,Belagavi,Belgaum South Traffic PS,
527,Belagavi,Camp PS,
527,Belagavi,Chikkodi PS,
527,Belagavi,Chikkodi Town Traffic PS,
527,Belagavi,Doddawad PS,
527,Belagavi,Ghataprabha PS,
527,Belagavi,Gokak Rural PS,Gokak
527,Belagavi,Gokak Town PS,Gokak
527,Belagavi,Harugeri PS,
527,Belagavi,Hukkeri PS,Hukkeri
527,Belagavi,Kagwad PS,Kagwad
527,Belagavi,Kakati PS,
527,Belagavi,Katkol PS,
527,Belagavi,Khadakalat PS,
527,Belagavi,Khadebazar PS,
527,Belagavi,Khanapur PS,Khanapur
527,Belagavi,Kittur PS,Kittur
527,Belagavi,Kudachi PS,
527,Belagavi,Kulgod PS,
527,Belagavi,Malamaruthi PS,
527,Belagavi,Marihal PS,
527,Belagavi,Market PS,
527,Belagavi,Mudalgi PS,Mudalgi
527,Belagavi,Murgod PS,
527,Belagavi,Nandagad PS,
527,Belagavi,Nesargi PS,
527,Belagavi,Nippani Rural PS,Nippani
527,Belagavi,Nippani Town PS,Nippani
527,Belagavi,Raibag PS,
527,Belagavi,Ramadurga PS,
527,Belagavi,Sadalaga PS,
527,Belagavi,Sankeshwar PS,
527,Belagavi,Shahapura PS,
527,Belagavi,Soundatti PS,
527,Belagavi,Sureban PS,
527,Belagavi,Tilakwadi PS,
527,Belagavi,Udyambag PS,
527,Belagavi,Women PS,
527,Belagavi,Yamakanmardi PS,
526,Bengaluru Rural,Anekal PS,
526,Bengaluru Rural,Anugondanahalli PS,
526,Bengaluru Rural,Attibele PS,
526,Bengaluru Rural,Bengaluru CEN Crime PS,
526,Bengaluru Rural,Bengaluru Dist Women PS,
526,Bengaluru Rural,Bengaluru Rural DCRE PS,
526,Bengaluru Rural,Chennarayapatana PS,
526,Bengaluru Rural,Dobbespet PS,
526,Bengaluru Rural,Doddaballapura Rural PS,Doddaballapura
526,Bengaluru Rural,Doddaballapura Town PS,Doddaballapura
526,Bengaluru Rural,Doddabelavangala PS,
526,Bengaluru Rural,Hosahalli PS,
526,Bengaluru Rural,Hosakote PS,Hosakote
526,Bengaluru Rural,Hosakote Traffic PS,Hosakote
526,Bengaluru Rural,Jigani PS,
526,Bengaluru Rural,Nandagudi PS,
526,Bengaluru Rural,Nelamangala Rural PS,Nelamangala
526,Bengaluru Rural,Nelamangala Town PS,Nelamangala
526,Bengaluru Rural,Nelamangala Traffic PS,Nelamangala
526,Bengaluru Rural,Sarjapura PS,
526,Bengaluru Rural,Sulibele PS,
526,Bengaluru Rural,Suryanagar PS,
526,Bengaluru Rural,Thirumalashettahalli PS,
526,Bengaluru Rural,Thyamagondlu PS,
526,Bengaluru Rural,Vijayapura PS,
526,Bengaluru Rural,Vishwanathapura PS,
631,Bengaluru South,Akkur PS,
631,Bengaluru South,Bidadi PS,
631,Bengaluru South,CHANNAPATNA TRAFFIC PS,Channapatna
631,Bengaluru South,Channapatna East PS,Channapatna
631,Bengaluru South,Channapatna Rural PS,Channapatna
631,Bengaluru South,Channapatna Town PS,Channapatna
631,Bengaluru South,Harohalli PS,Harohalli
631,Bengaluru South,Ijoor PS,
631,Bengaluru South,Kaggalipura PS,
631,Bengaluru South,Kanakapura Rural PS,Kanakapura
631,Bengaluru South,Kanakapura Town PS,Kanakapura
631,Bengaluru South,Kanakapura Traffic PS,Kanakapura
631,Bengaluru South,Kodihalli PS,
631,Bengaluru South,Kudur PS,
631,Bengaluru South,M.K. Doddi PS,
631,Bengaluru South,Magadi PS,Magadi
631,Bengaluru South,Ramanagar CEN Crime PS,
631,Bengaluru South,Ramanagara DCRE PS,Ramanagara
631,Bengaluru South,Ramanagara Rural PS,Ramanagara
631,Bengaluru South,Ramanagara Town PS,Ramanagara
631,Bengaluru South,Ramanagara Traffic PS,Ramanagara
631,Bengaluru South,Ramanagara Women PS,Ramanagara
631,Bengaluru South,Sathnoor PS,
631,Bengaluru South,Tavarekere PS,
525,Bengaluru Urban,Adugodi PS,
525,Bengaluru Urban,Adugodi Traffic PS,
525,Bengaluru Urban,Airport Traffic PS,
525,Bengaluru Urban,Amruthahally PS,
525,Bengaluru Urban,Annapoorneshwari Nagar PS,
525,Bengaluru Urban,Ashoknagar PS,
525,Bengaluru Urban,Ashoknagar Traffic PS,
525,Bengaluru Urban,Avalahally PS,
525,Bengaluru Urban,BIAL PS,
525,Bengaluru Urban,BIAL Traffic PS,
525,Bengaluru Urban,Bagalagunte PS,
525,Bengaluru Urban,Bagalur PS,
525,Bengaluru Urban,Banasawadi Traffic PS,
525,Bengaluru Urban,Banashankari PS,
525,Bengaluru Urban,Banaswadi PS,
525,Bengaluru Urban,Bandepalya PS,
525,Bengaluru Urban,Basavanagudi PS,
525,Bengaluru Urban,Basavanagudi Traffic PS,
525,Bengaluru Urban,Basavanagudi Women PS,
525,Bengaluru Urban,Beguru PS,
525,Bengaluru Urban,Bellanduru PS,
525,Bengaluru Urban,Bengaluru City East DCRE PS,
525,Bengaluru Urban,Bengaluru City West DCRE PS,
525,Bengaluru Urban,Bharathi Nagar PS,
525,Bengaluru Urban,Bommanahalli PS,
525,Bengaluru Urban,Byadarahalli PS,
525,Bengaluru Urban,Byappanahalli PS,
525,Bengaluru Urban,Byatarayanapura PS,
525,Bengaluru Urban,Byatrarayanapura Traffic PS,
525,Bengaluru Urban,CCB Bengaluru City Police,
525,Bengaluru Urban,Central CEN Crime PS,
525,Bengaluru Urban,Central Women PS,
525,Bengaluru Urban,Chamarajpet PS,
525,Bengaluru Urban,Chamarajpet Traffic PS,
525,Bengaluru Urban,Chandra Layout PS,
525,Bengaluru Urban,Channammanakere Achu Kattu PS,
525,Bengaluru Urban,Chikkabanavara Traffic,
525,Bengaluru Urban,Chikkajala PS,
525,Bengaluru Urban,Chikkajala Traffic PS,
525,Bengaluru Urban,City Market Traffic PS,
525,Bengaluru Urban,Commercial Street PS,
525,Bengaluru Urban,Cottonpet PS,
525,Bengaluru Urban,Cubbon Park PS,
525,Bengaluru Urban,Cubbonpark Traffic PS,
525,Bengaluru Urban,Cyber Crime Police Station,
525,Bengaluru Urban,DCRE HQ PS Bengaluru,
525,Bengaluru Urban,Devanahalli PS,
525,Bengaluru Urban,Devarajeevanahalli PS,
525,Bengaluru Urban,East CEN Crime PS,
525,Bengaluru Urban,East Women PS,
525,Bengaluru Urban,East Zone Women PS,
525,Bengaluru Urban,Electronic City PS,
525,Bengaluru Urban,Electronic City Traffic PS,
525,Bengaluru Urban,Gangammana Gudi PS,
525,Bengaluru Urban,Girinagar PS,
525,Bengaluru Urban,Govindapura PS,
525,Bengaluru Urban,Govindaraja Nagar PS,
525,Bengaluru Urban,H.A.L. PS,
525,Bengaluru Urban,HSR Lay Out Traffic PS,
525,Bengaluru Urban,HSR Layout PS,
525,Bengaluru Urban,Halasur Gate Traffic PS,
525,Bengaluru Urban,Halasur PS,
525,Bengaluru Urban,Halasur Traffic PS,
525,Bengaluru Urban,Halasurgate PS,
525,Bengaluru Urban,Hanumanthanagar PS,
525,Bengaluru Urban,Hebbagodi PS,
525,Bengaluru Urban,Hebbal PS,
525,Bengaluru Urban,Hennur PS,
525,Bengaluru Urban,Hennur Traffic PS,
525,Bengaluru Urban,High Grounds PS,
525,Bengaluru Urban,High Grounds Traffic PS,
525,Bengaluru Urban,Hulimavu PS,
525,Bengaluru Urban,Hulimavu Traffic PS,
525,Bengaluru Urban,Indiranagar PS,
525,Bengaluru Urban,J.C. Nagar PS,
525,Bengaluru Urban,Jagajeevanram Nagar PS,
525,Bengaluru Urban,Jalahalli PS,
525,Bengaluru Urban,Jalahalli Traffic PS,
525,Bengaluru Urban,Jayanagar PS,
525,Bengaluru Urban,Jayanagar Traffic PS,
525,Bengaluru Urban,Jayaprakash Nagar PS,
525,Bengaluru Urban,Jeevan Bheemanagar PS,
525,Bengaluru Urban,Jeevan Bhima Nagar (Indiranagar) Traffic PS,
525,Bengaluru Urban,Jnanabharathi PS,
525,Bengaluru Urban,Jnanabharathi Traffic PS,
525,Bengaluru Urban,K G Halli Traffic PS,
525,Bengaluru Urban,K.R. Puram PS,
525,Bengaluru Urban,K.R.Puram Traffic PS,
525,Bengaluru Urban,Kadugodi PS,
525,Bengaluru Urban,Kadugondana Halli PS,
525,Bengaluru Urban,Kamakshipalya PS,
525,Bengaluru Urban,Kamakshipalya Traffic PS,
525,Bengaluru Urban,Kempapura Agrahara PS,
525,Bengaluru Urban,Kempegowda Nagar PS,
525,Bengaluru Urban,Kengeri PS,
525,Bengaluru Urban,Kengeri Traffic PS,
525,Bengaluru Urban,Kodigehalli PS,
525,Bengaluru Urban,Konanakunte PS,
525,Bengaluru Urban,Koramangala PS,
525,Bengaluru Urban,Kothanur PS,
525,Bengaluru Urban,Kumaraswamy Layout PS,
525,Bengaluru Urban,Kumaraswamy Layout Traffic PS,
525,Bengaluru Urban,Kumbalagudu PS,
525,Bengaluru Urban,Madanayakanahally PS,
525,Bengaluru Urban,Madivala PS,
525,Bengaluru Urban,Madivala Traffic PS,
525,Bengaluru Urban,Magadi Road PS,
525,Bengaluru Urban,Magadi Road Traffic PS,
525,Bengaluru Urban,Mahadevapura PS,
525,Bengaluru Urban,Mahalakshmipuram PS,
525,Bengaluru Urban,Malleshwaram PS,
525,Bengaluru Urban,Marathahalli PS,
525,Bengaluru Urban,Mico Layout PS,
525,Bengaluru Urban,Mico Layout Traffic PS,
525,Bengaluru Urban,Nandini Layout PS,
525,Bengaluru Urban,North CEN Crime PS,
525,Bengaluru Urban,North East Women PS,
525,Bengaluru Urban,North Women PS,
525,Bengaluru Urban,NorthEast CEN Crime PS,
525,Bengaluru Urban,Parappana Agrahara,
525,Bengaluru Urban,Peenya PS,
525,Bengaluru Urban,Pulakeshinagar PS,
525,Bengaluru Urban,Pulakeshinagar Traffic PS,
525,Bengaluru Urban,Puttenahalli PS,
525,Bengaluru Urban,R.M.C. Yard PS,
525,Bengaluru Urban,R.T. Nagar PS,
525,Bengaluru Urban,R.T.Nagar Traffic PS,
525,Bengaluru Urban,Rajagopal Nagar PS,
525,Bengaluru Urban,Rajajinagar PS,
525,Bengaluru Urban,Rajanukunte PS,
525,Bengaluru Urban,Rajarajeshwari Nagar PS,
525,Bengaluru Urban,Ramamurthy Nagar PS,
525,Bengaluru Urban,S.J. Park PS,
525,Bengaluru Urban,Sadashivanagar PS,
525,Bengaluru Urban,Sadashivanagar Traffic PS,
525,Bengaluru Urban,Sampangiramanagar PS,
525,Bengaluru Urban,Sampigehalli PS,
525,Bengaluru Urban,Sanjay Nagar PS,
525,Bengaluru Urban,Seshadripuram PS,
525,Bengaluru Urban,Shankarpura PS,
525,Bengaluru Urban,Shivajinagar PS,
525,Bengaluru Urban,Shivajinagar Traffic PS,
525,Bengaluru Urban,Siddapura PS,
525,Bengaluru Urban,Soladevanahalli PS,
525,Bengaluru Urban,South CEN Crime PS,
525,Bengaluru Urban,South East Women PS,
525,Bengaluru Urban,South Women PS,
525,Bengaluru Urban,SouthEast CEN Crime PS,
525,Bengaluru Urban,Srirampura PS,
525,Bengaluru Urban,Subramanyanagar PS,
525,Bengaluru Urban,Subramanyapura PS,
525,Bengaluru Urban,Suddaguntepalya PS,
525,Bengaluru Urban,Thalaghattapura PS,
525,Bengaluru Urban,Thilaknagar PS,
525,Bengaluru Urban,Upparpet PS,
525,Bengaluru Urban,Upparpet Traffic PS,
525,Bengaluru Urban,V V Puram Traffic PS,
525,Bengaluru Urban,Varthur PS,
525,Bengaluru Urban,Vidhana Soudha PS,
525,Bengaluru Urban,Vidyaranyapura PS,
525,Bengaluru Urban,Vijayanagar Traffic PS,
525,Bengaluru Urban,Vishveshwarapuram PS,
525,Bengaluru Urban,Viveknagar PS,
525,Bengaluru Urban,Vyalikaval PS,
525,Bengaluru Urban,West CEN Crime PS,
525,Bengaluru Urban,West Women PS,
525,Bengaluru Urban,Whitefield CEN Crime PS,
525,Bengaluru Urban,Whitefield PS,
525,Bengaluru Urban,Whitefield Traffic PS,
525,Bengaluru Urban,Whitefield Women PS,
525,Bengaluru Urban,Wilsongarden PS,
525,Bengaluru Urban,Wilsongarden Traffic PS,
525,Bengaluru Urban,Yelahanka New Town PS,Yelahanka
525,Bengaluru Urban,Yelahanka PS,Yelahanka
525,Bengaluru Urban,Yeshwanthapura PS,
525,Bengaluru Urban,chikkabanavara PS,
529,Bidar,Aurad PS,Aurad
529,Bidar,Bagdal PS,
529,Bidar,Basava Kalyana Rural PS,
529,Bidar,Basava Kalyana Town PS,
529,Bidar,Basava Kalyana Traffic PS,
529,Bidar,Bemalkhed PS,
529,Bidar,Bhalki Rural PS,Bhalki
529,Bidar,Bhalki Town PS,Bhalki
529,Bidar,Bidar CEN Crime PS,Bidar
529,Bidar,Bidar DCRE PS,Bidar
529,Bidar,Bidar Rural PS,Bidar
529,Bidar,Bidar Town PS,Bidar
529,Bidar,Bidar Traffic PS,Bidar
529,Bidar,Bidar Women PS,Bidar
529,Bidar,Chintaki PS,
529,Bidar,Chitaguppa PS,Chitaguppa
529,Bidar,Dhannura PS,
529,Bidar,Gandhi Gunj PS,
529,Bidar,Hallikhed PS,
529,Bidar,Hokrana PS,
529,Bidar,Hulsoor PS,Hulsoor
529,Bidar,Humnabad PS,
529,Bidar,Humnabad Traffic PS,
529,Bidar,Janwada PS,
529,Bidar,Kamalanagar PS,
529,Bidar,Khataka Chincholi PS,
529,Bidar,Kushnoor PS,
529,Bidar,Manna Ekhelli PS,
529,Bidar,Mannalli PS,
529,Bidar,Market PS,
529,Bidar,Matala PS,
529,Bidar,Mehakar PS,
529,Bidar,Mudbi PS,
529,Bidar,New Town PS,
529,Bidar,Shanthapur PS,
531,Chamarajanagar,Begur PS,
531,Chamarajanagar,Chamarajanagar CEN Crime PS,Chamarajanagar
531,Chamarajanagar,Chamarajanagar East PS,Chamarajanagar
531,Chamarajanagar,Chamarajanagar Rural PS,Chamarajanagar
531,Chamarajanagar,Chamarajanagar Town PS,Chamarajanagar
531,Chamarajanagar,Chamarajanagar Traffic PS,Chamarajanagar
531,Chamarajanagar,Chamarajanagara DCRE PS,Chamarajanagar
531,Chamarajanagar,Chamrajanagar Women ps,
531,Chamarajanagar,Gundlupete PS,Gundlupet
531,Chamarajanagar,Hanur PS,Hanur
531,Chamarajanagar,Kollegala Rural PS,Kollegal
531,Chamarajanagar,Kollegala Town PS,Kollegal
531,Chamarajanagar,Kuderu PS,
531,Chamarajanagar,M.M. Hills PS,
531,Chamarajanagar,Mambali PS,
531,Chamarajanagar,Ramapura PS,
531,Chamarajanagar,Santemaralli PS,
531,Chamarajanagar,Terakambi PS,
531,Chamarajanagar,Yelandur PS,Yelandur
630,Chikkaballapura,Bagepalli PS,Bagepalli
630,Chikkaballapura,Batlahalli PS,
630,Chikkaballapura,Chelur PS,Chelur
630,Chikkaballapura,Chickaballapura CEN Crime PS,
630,Chikkaballapura,Chickballapura Traffic PS,
630,Chikkaballapura,Chikkaballapura DCRE PS,Chikkaballapura
630,Chikkaballapura,Chintamani Rural PS,Chintamani
630,Chikkaballapura,Chintamani Town PS,Chintamani
630,Chikkaballapura,Dibburahalli PS,
630,Chikkaballapura,Gowribidanur Town PS,
630,Chikkaballapura,Kencharlahalli PS,
630,Chikkaballapura,Manchenalli PS,
630,Chikkaballapura,Nandi Giridhama PS,
630,Chikkaballapura,Patapalya PS,
630,Chikkaballapura,Peresandra PS,
630,Chikkaballapura,Shidlagatta Rural PS,
630,Chikkaballapura,Shidlaghatta Town PS,
630,Chikkaballapura,Women PS Chikkaballapura,Chikkaballapura
532,Chikkamagaluru,Ajjampura PS,Ajjampura
532,Chikkamagaluru,Aldur PS,
532,Chikkamagaluru,Balehonnur PS,
532,Chikkamagaluru,Balur PS,
532,Chikkamagaluru,Banakal PS,
532,Chikkamagaluru,Basavanahalli PS,
532,Chikkamagaluru,Birur PS,
532,Chikkamagaluru,Chickmagalur CEN Crime PS,
532,Chikkamagaluru,Chickmagalur Rural PS,
532,Chikkamagaluru,Chickmagalur Town PS,
532,Chikkamagaluru,Chickmagalur Traffic PS,
532,Chikkamagaluru,Chickmagalur Women PS,
532,Chikkamagaluru,Chikkamagaluru DCRE PS,Chikkamagaluru
532,Chikkamagaluru,Gonibeedu PS,
532,Chikkamagaluru,Hariharapura PS,
532,Chikkamagaluru,Jayapura PS,
532,Chikkamagaluru,Kadur PS,Kadur
532,Chikkamagaluru,Kalasa PS,Kalasa
532,Chikkamagaluru,Koppa PS,Koppa
532,Chikkamagaluru,Kuduremukh PS,
532,Chikkamagaluru,Lakkavalli PS,
532,Chikkamagaluru,Lingadahalli PS,
532,Chikkamagaluru,Mallanduru PS,
532,Chikkamagaluru,Mudigere PS,Mudigere
532,Chikkamagaluru,N.R. Pura PS,
532,Chikkamagaluru,Panchanahalli PS,
532,Chikkamagaluru,Sakkaraya Patna PS,
532,Chikkamagaluru,Singatagere PS,
532,Chikkamagaluru,Sringeri PS,Sringeri
532,Chikkamagaluru,Tarikere Town PS,Tarikere
532,Chikkamagaluru,Yagati PS,
533,Chitradurga,Abbinahole PS,
533,Chitradurga,Bharamasagara PS,
533,Chitradurga,Challakere PS,Challakere
533,Chitradurga,Chikkajajur PS,
533,Chitradurga,Chitradurga CEN Crime PS,Chitradurga
533,Chitradurga,Chitradurga DCRE PS,Chitradurga
533,Chitradurga,Chitradurga Extension PS,Chitradurga
533,Chitradurga,Chitradurga Kote PS,Chitradurga
533,Chitradurga,Chitradurga Rural PS,Chitradurga
533,Chitradurga,Chitradurga Town PS,Chitradurga
533,Chitradurga,Chitradurga Traffic PS,Chitradurga
533,Chitradurga,Chitrahalli Gate PS,
533,Chitradurga,Hiriyur Rural PS,Hiriyur
533,Chitradurga,Hiriyur Town PS,Hiriyur
533,Chitradurga,Holalkere PS,Holalkere
533,Chitradurga,Hosadurga PS,
533,Chitradurga,Imangala PS,
533,Chitradurga,Molakalmuru PS,Molakalmuru
533,Chitradurga,Nayakanhatti PS,
533,Chitradurga,Rampura PS,
533,Chitradurga,Srirampura PS,
533,Chitradurga,Thalak PS,
533,Chitradurga,Turuvanur (Jogi) PS,
533,Chitradurga,Women PS,
534,Dakshina Kannada,Bajpe PS,
534,Dakshina Kannada,Bantwala Traffic PS,
534,Dakshina Kannada,Barke PS,
534,Dakshina Kannada,Bellare PS,
534,Dakshina Kannada,Belthangadi PS,
534,Dakshina Kannada,Belthangadi Traffic PS,
534,Dakshina Kannada,Buntwala Rural PS,
534,Dakshina Kannada,Buntwala Town PS,
534,Dakshina Kannada,Cyber Crime PS Mangaluru City,Mangaluru
534,Dakshina Kannada,DK CEN Crime PS,
534,Dakshina Kannada,Dakshina Kannada DCRE PS,
534,Dakshina Kannada,Dakshina Kannada Women PS,
534,Dakshina Kannada,Dharmasthala PS,
534,Dakshina Kannada,E and N Crime PS Mangaluru City,Mangaluru
534,Dakshina Kannada,Kadaba PS,Kadaba
534,Dakshina Kannada,Kankanady Town PS,
534,Dakshina Kannada,Kavoor PS,
534,Dakshina Kannada,Konaje PS,
534,Dakshina Kannada,Mangalore East PS,
534,Dakshina Kannada,Mangalore East Traffic PS,
534,Dakshina Kannada,Mangalore North PS,
534,Dakshina Kannada,Mangalore Rural PS,
534,Dakshina Kannada,Mangalore South PS,
534,Dakshina Kannada,Mangalore West Traffic PS,
534,Dakshina Kannada,Mangalore Women PS,
534,Dakshina Kannada,Moodabidre PS,
534,Dakshina Kannada,Mulki PS,Mulki
534,Dakshina Kannada,Panambur PS,
534,Dakshina Kannada,Punjalkatte PS,
534,Dakshina Kannada,Puttur Rural PS,Puttur
534,Dakshina Kannada,Puttur Town PS,Puttur
534,Dakshina Kannada,Puttur Traffic PS,Puttur
534,Dakshina Kannada,Subramanya PS,
534,Dakshina Kannada,Sullia PS,
534,Dakshina Kannada,Surathkal PS,
534,Dakshina Kannada,Traffic North Police Station,
534,Dakshina Kannada,Traffic South Police Station,
534,Dakshina Kannada,Ullal PS,
534,Dakshina Kannada,Uppinangadi PS,
534,Dakshina Kannada,Urva PS,
534,Dakshina Kannada,Venoor PS,
534,Dakshina Kannada,Vitla PS,
535,Davanagere,Azad Nagar PS,
535,Davanagere,Basavanagara PS,
535,Davanagere,Basavapatna PS,
535,Davanagere,Bilichodu PS,
535,Davanagere,Channagiri PS,Channagiri
535,Davanagere,Davanagere CEN Crime PS,Davanagere
535,Davanagere,Davanagere DCRE PS,Davanagere
535,Davanagere,Davanagere Extention PS,Davanagere
535,Davanagere,Davanagere Rural PS,Davanagere
535,Davanagere,Davanagere South Traffic PS,Davanagere
535,Davanagere,Davangere Traffic North PS,
535,Davanagere,Gandhi Nagar PS,
535,Davanagere,Hadadi PS,
535,Davanagere,Harihara Rural PS,Harihar
535,Davanagere,Harihara Town PS,Harihar
535,Davanagere,Honnali PS,Honnali
535,Davanagere,Jagalur PS,Jagalur
535,Davanagere,KTJ Nagar PS,
535,Davanagere,Malebennur PS,
535,Davanagere,Mayakonda PS,
535,Davanagere,Nyamathi PS,Nyamathi
535,Davanagere,RMC Yard PS,
535,Davanagere,Santhebennur PS,
535,Davanagere,Vidyanagar PS,
535,Davanagere,Women PS,
536,Dharwad,APMC Navanagar,
536,Dharwad,Alnavar PS,Alnavar
536,Dharwad,Annigeri PS,Annigeri
536,Dharwad,Ashoknagar PS,
536,Dharwad,Bendigeri PS,
536,Dharwad,CEN Crime PS Hubballi Dharwad City,Dharwad
536,Dharwad,Dharwad CEN Crime PS,Dharwad
536,Dharwad,Dharwad DCRE PS,Dharwad
536,Dharwad,Dharwad Rural PS,Dharwad
536,Dharwad,Dharwad Sub-Urban PS,Dharwad
536,Dharwad,Dharwad Town PS,Dharwad
536,Dharwad,Dharwad Traffic PS,Dharwad
536,Dharwad,Dharwad Women PS,Dharwad
536,Dharwad,E and N Crime PS HD city,
536,Dharwad,Garag PS,
536,Dharwad,Ghantikeri PS,
536,Dharwad,Gokul Road PS,
536,Dharwad,Gudageri PS,
536,Dharwad,Hubli East Traffic PS,
536,Dharwad,Hubli North Traffic PS,
536,Dharwad,Hubli Rural PS,
536,Dharwad,Hubli South Traffic PS,
536,Dharwad,Hubli Sub-Urban PS,
536,Dharwad,Hubli Town PS,
536,Dharwad,Kalaghatagi PS,
536,Dharwad,Kamaripeth PS,
536,Dharwad,Kasabapeth PS,
536,Dharwad,Keshavapur PS,
536,Dharwad,Kundagol PS,
536,Dharwad,Navalgund PS,Navalgund
536,Dharwad,Old Hubli PS,
536,Dharwad,Vidyagiri PS,
536,Dharwad,Vidyanagar PS,
536,Dharwad,Women PS,
537,Gadag,Betageri Extention PS,
537,Gadag,Betageri PS,
537,Gadag,Gadag CEN Crime PS,Gadag
537,Gadag,Gadag DCRE PS,Gadag
537,Gadag,Gadag Rural PS,Gadag
537,Gadag,Gadag Town PS,Gadag
537,Gadag,Gadag Traffic PS,Gadag
537,Gadag,Gadag Women PS,Gadag
537,Gadag,Gajendragad PS,Gajendragad
537,Gadag,Lakshmeshwar PS,
537,Gadag,Mulagund PS,
537,Gadag,Mundargi PS,Mundargi
537,Gadag,Naregal PS,
537,Gadag,Nargund PS,Nargund
537,Gadag,Ron PS,Ron
537,Gadag,Shirahatti PS,Shirahatti
539,Hassan,Alur PS,Alur
539,Hassan,Arakalagud PS,
539,Hassan,Arasikere Rural PS,
539,Hassan,Arasikere Town PS,
539,Hassan,Arehalli PS,
539,Hassan,Banavara PS,
539,Hassan,Belur PS,Belur
539,Hassan,Channarayapatna Rural PS,Channarayapatna
539,Hassan,Channarayapatna Town PS,Channarayapatna
539,Hassan,Channarayapatna Traffic PS,Channarayapatna
539,Hassan,Dudda PS,
539,Hassan,Gandasi PS,
539,Hassan,Goruru PS,
539,Hassan,Halebeedu PS,
539,Hassan,Hallymysore PS,
539,Hassan,Hassan CEN Crime PS,Hassan
539,Hassan,Hassan City PS,Hassan
539,Hassan,Hassan DCRE PS,Hassan
539,Hassan,Hassan Extn. PS,Hassan
539,Hassan,Hassan Rural PS,Hassan
539,Hassan,Hassan Traffic PS,Hassan
539,Hassan,Hassan Women PS,Hassan
539,Hassan,Hirisave PS,
539,Hassan,Holenarasipura Rural PS,
539,Hassan,Holenarasipura Town PS,
539,Hassan,Javagal PS,
539,Hassan,Konanur PS,
539,Hassan,Nuggehalli PS,
539,Hassan,Pension Mohalla PS,
539,Hassan,Sakaleshpura Rural PS,
539,Hassan,Sakaleshpura Town PS,
539,Hassan,Shanthigrama PS,
539,Hassan,Shravanabelagola PS,
539,Hassan,Yesalur PS,Alur
540,Haveri,Adur PS,
540,Haveri,Bankapura PS,
540,Haveri,Byadagi PS,
540,Haveri,Guttal PS,
540,Haveri,Halageri PS,
540,Haveri,Hanagal PS,
540,Haveri,Hansabhavi PS,
540,Haveri,Haveri CEN Crime PS,Haveri
540,Haveri,Haveri DCRE PS,Haveri
540,Haveri,Haveri Rural PS,Haveri
540,Haveri,Haveri Town PS,Haveri
540,Haveri,Haveri Traffic PS,Haveri
540,Haveri,Haveri Women PS,Haveri
540,Haveri,Hirekerur PS,Hirekerur
540,Haveri,Kaginele PS,
540,Haveri,Kumarapattanam PS,
540,Haveri,Ranebennur Rural PS,
540,Haveri,Ranebennur Town PS,
540,Haveri,Ranebennur Traffic PS,
540,Haveri,Rattihalli PS,Rattihalli
540,Haveri,Savanoor PS,
540,Haveri,Shiggaon PS,Shiggaon
