district_id,ksp_district,lgd_district,police_station_name,address,email,phone,circle,latitude,longitude
10,Chikkamagaluru,Chikkamagaluru,Chickmagalur Traffic PS,"TRAFFIC POLICE STATION, RAMANAHALLI NEAR DAR",trafficckm@ksp.gov.in,08262-222956,Chickmagalur Town Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Chickmagalur Women PS,Near new taluk office buildingBasavanahalli Main  road,womanpsckm@ksp.gov.in,08262-232333,Chickmagalur Sub-Division,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Chikkamagaluru DCRE PS,---,---,---,Chikkamagaluru Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Gonibeedu PS,"GONIBEEDU POLICE STATION, MUDIGERE TQ, CHICKM",gonibeeduckm@ksp.gov.in,08263-240117,Mudigere Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Hariharapura PS,"HARIHARAPURA POLICE STATION, KOPPA TQ, CHIKMA",hariharapurackm@ksp.gov.in,08265-274158,Koppa Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Jayapura PS,address,jayapurackm@ksp.gov.in,08265-245245,Koppa Circle,12.12169,76.3319
10,Chikkamagaluru,Chikkamagaluru,Kadur PS,"KADUR POLICE STATION, KADUR, CHIKAGALUR DIST.",kadurckm@ksp.gov.in,08267-221333,Kadur  Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Kalasa PS,"KALASA POLICE STATION,  MUDIGERE TQ, CHIKMAGA",kalasackm@ksp.gov.in,08263-274877,Kuduremukh Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Koppa PS,"KOPPA POLICE STATION, KOPPA TOWN, CHICKMAGALU",koppackm@ksp.gov.in,08265-221027,Koppa Circle,12.70769,76.95723
10,Chikkamagaluru,Chikkamagaluru,Kuduremukh PS,"KUDREMUKHA POLICE STATION, MUDIGERE TQ, CHIMA",kudremukhackm@ksp.gov.in,08263-254169,Kuduremukh Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Lakkavalli PS,"LAKKAVALLI POLICE STATION, TARIKERE TQ, CHIKM",lakkavallickm@ksp.gov.in,08261-239446,Tarikere Rural Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Lingadahalli PS,"LINGADAHALLI POLICE STATION, TARIKERE TQ, CHI",lingadahallickm@ksp.gov.in,08266-254636,Tarikere Rural Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Mallanduru PS,address,mallandurckm@ksp.gov.in,08262-248222,Chickmagalur Rural Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Mudigere PS,"MUDIGERE POLICE STATION, MUDIGERE, CHIKMAGALU",mudigereckm@ksp.gov.in,08263-220333,Mudigere Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,N.R. Pura PS,"N.R.PURA POLICE STATION, N.R.PURA TQ, CHIKMAG",nrpurackm@ksp.gov.in,08266-220129,N.R. Pura Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Panchanahalli PS,"PANCHANAHALLI POLICE STATION, KADUR TQ, CHIKM",panchanahallickm@ksp.gov.in,08267-259533,Kadur  Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Sakkaraya Patna PS,"SAKARAYAPATNA POLICE STATION, KADUR TQ, CHIKM",sakarayapatnackm@ksp.gov.in,08267-244044,Kadur  Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Singatagere PS,"SINAGATAGERE  POLICE STATION, KADUR TQ, CHIKA",singatagereckm@ksp.gov.in,08267-235520,Kadur  Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Sringeri PS,"SRINGERI POLICE STATION, SRINGERE TQ, CHIKMAG",sringerickm@ksp.gov.in,08265-250150,Koppa Sub-Division,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Tarikere Town PS,"TARIKERE POLICE STATION, TARIKERE CHIKMAGALUR",tarikereckm@ksp.gov.in,08261-222222,Tarikere Sub-Division,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Yagati PS,"YAGATI POLICE STATION,  KADUR TQ, CHICKMAGALU",yagatickm@ksp.gov.in,08267-240033,Birur Circle,0.0,0.0
11,Chitradurga,Chitradurga,Abbinahole PS,"NEAR GOVERNMENT PRIMARY SCHOOL, ABBINAHOLE, H",abbinaholecta@ksp.gov.in,08193 - 258325,Hiriyur Circle,0.0,0.0
11,Chitradurga,Chitradurga,Bharamasagara PS,"NEAR OLD NH-4, BHARAMASAGARA - 577519",bharamasagaracta@ksp.gov.in,08194 - 258421,Chitradurga Rural Circle,0.0,0.0
11,Chitradurga,Chitradurga,Challakere PS,"GANDHI NAGARA, NEAR TALUK OFFICE, CHITRADURGA",challakerecta@ksp.gov.in,08195 - 250239,Challakere Sub-Division,0.0,0.0
11,Chitradurga,Chitradurga,Chikkajajur PS,"RAILWAY STATION STREET, OPPOSITE GOVERNMENT H",chikkajajurcta@ksp.gov.in,08191 - 287533,Holalkere Circle,0.0,0.0
11,Chitradurga,Chitradurga,Chitradurga CEN Crime PS,Chitradurga,email@ksp.gov.in,88888-888888,Chitradurga District,14.1332,76.2439
11,Chitradurga,Chitradurga,Chitradurga DCRE PS,---,---,---,Chitradurga Circle,0.0,0.0
11,Chitradurga,Chitradurga,Chitradurga Extension PS,NH-4 (OLD HIMABINDU HOTEL) NEAR SAROJABAI KALYANACHITRADURGA,extentioncta@ksp.gov.in,9480803149,Chitradurga Town Circle,14.22844,76.41321
11,Chitradurga,Chitradurga,Chitradurga Kote PS,"HOLALKERE ROAD, CHITRADURGA - 577501",kotecta@ksp.gov.in,08194 - 222933,Chitradurga Sub-Division,0.0,0.0
11,Chitradurga,Chitradurga,Chitradurga Rural PS,"NEAR NH-4  & NH-13 ROAD, CHITRADURGA - 577502",ruralcta@ksp.gov.in,08194 - 230156,Chitradurga Rural Circle,0.0,0.0
11,Chitradurga,Chitradurga,Chitradurga Town PS,"B.D.ROAD, NEAR AMBEDKAR CIRCLE, CHITRADURGA -",towncta@ksp.gov.in,08194 - 222333,Chitradurga Sub-Division,0.0,0.0
11,Chitradurga,Chitradurga,Chitradurga Traffic PS,"DAVANAGERE ROAD, NEAR AZAD MILL, CHITRADURGA-",trafficcta@ksp.gov.in,08194 - 224637,Chitradurga Town Circle,0.0,0.0
11,Chitradurga,Chitradurga,Chitrahalli Gate PS,"ChitrahalliHolalkere Tq, Chitradurga District",email@ksp.gov.in,88888-888888,Holalkere Circle,14.095852,76.272409
11,Chitradurga,Chitradurga,Hiriyur Rural PS,address,hiriyurruralcta@ksp.gov.in,08193-227555,Hiriyur Circle,0.0,0.0
11,Chitradurga,Chitradurga,Hiriyur Town PS,"Opposite Municipality, B.D.Road, Hiriyur 5721",hiriyurcta@ksp.gov.in,08193-227444,Hiriyur Sub-Division,0.0,0.0
11,Chitradurga,Chitradurga,Holalkere PS,"SHIMOGA ROAD, NEAR TALUKA OFFICE, HOLALKERE -",holalkerecta@ksp.gov.in,08191 - 275233,Holalkere Circle,0.0,0.0
11,Chitradurga,Chitradurga,Hosadurga PS,"HOLALKERE - HULIYAR ROAD, OPPOSITE PATTANAPAN",hosadurgacta@ksp.gov.in,08199 - 230431,Hosadurga Circle,0.0,0.0
11,Chitradurga,Chitradurga,Imangala PS,"BESIDE NH-4 ROAD, AIMANGALA VILLAGE - 577558",aimangalacta@ksp.gov.in,08193 - 273221,Hiriyur Circle,0.0,0.0
11,Chitradurga,Chitradurga,Molakalmuru PS,"NEAR TALUK OFFICE, MOLAKALMURU - 577537",molakalmuru@ksp.gov.in,08198 - 229233,Molakalmuru Circle,0.0,0.0
11,Chitradurga,Chitradurga,Nayakanhatti PS,"JAGALUR - CHALLAKERE ROAD, NAYAKANAHATTI - 57",nayakanahatticta@ksp.gov.in,08190 - 207408,Challakere Circle,0.0,0.0
11,Chitradurga,Chitradurga,Rampura PS,"Opposite SPSR Junior college, SH-19 Road, Ram",rampuracta@ksp.gov.in,08198-267308,Molakalmuru Circle,0.0,0.0
11,Chitradurga,Chitradurga,Srirampura PS,"HULIYAR ROAD, SRIRAMPURA - 577542",srirampuracta@ksp.gov.in,08199 - 242633,Hosadurga Circle,12.98999,77.56501
11,Chitradurga,Chitradurga,Thalak PS,"NEAR JUNIOR COLLAGE, BUS STAND NEAR, THALAK -",thalakcta@ksp.gov.in,08190 - 206634,Challakere Circle,0.0,0.0
11,Chitradurga,Chitradurga,Turuvanur (Jogi) PS,"OPPOSITE GOVT. PRIMARY SCHOOL, MUSTUR ROAD, T",turuvanurcta@ksp.gov.in,08194 - 267051,Chitradurga Rural Circle,0.0,0.0
11,Chitradurga,Chitradurga,Women PS,Chitradurga,email@ksp.gov.in,88888-888888,Chitradurga Town Circle,15.8578,74.50571
14,Dakshina Kannada,Dakshina Kannada,Bantwala Traffic PS,BantwalaDK,email@ksp.gov.in,88888-888888,Bantwala Circle,12.8662,75.05591
14,Dakshina Kannada,Dakshina Kannada,Bellare PS,Bellare VillageSullia Tq,bellaremaq@ksp.gov.in,08257-271995,Sullia Circle,12.6674,75.37149
14,Dakshina Kannada,Dakshina Kannada,Belthangadi PS,BELTHANGADY,belthangdymaq@karapolice.in,8256232093,Belthangadi Circle,12.98996,75.28273
14,Dakshina Kannada,Dakshina Kannada,Belthangadi Traffic PS,Laila Village and PostBelthangady Taluk,belthangadytrafficmaq@ksp.gov.in,88888-888888,Belthangadi Circle,12.989959,75.282734
14,Dakshina Kannada,Dakshina Kannada,Buntwala Rural PS,BANTWALA,bantwalarmaq@karpolice.in,8255235000,Bantwala Circle,12.53447,75.02427
14,Dakshina Kannada,Dakshina Kannada,Buntwala Town PS,BANTWALA,bantwalatmaq@karpolice.in,8255232111,Bantwala Circle,12.53447,75.02427
14,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada DCRE PS,---,---,---,Dakshina Kannada Circle,0.0,0.0
14,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada Women PS,Dakshina Kannada,womenmaq@ksp.gov.in,88888-888888,Puttur Sub-Division,12.864272,74.833502
14,Dakshina Kannada,Dakshina Kannada,Dharmasthala PS,Dakshina Kannada,email@ksp.gov.in,88888-888888,Belthangadi Circle,12.57378,75.22225
14,Dakshina Kannada,Dakshina Kannada,DK CEN Crime PS,Dakshina Kannada,email@ksp.gov.in,88888-888888,Dakshina Kannada  District,12.860444,74.838601
14,Dakshina Kannada,Dakshina Kannada,Kadaba PS,KADABA,kadamaq@karpolice.in,08251 260044,Puttur Rural Circle,12.44539,75.28106
14,Dakshina Kannada,Dakshina Kannada,Punjalkatte PS,address,pkattemaq@ksp.gov.in,8256279375,Belthangadi Circle,12.5658,75.105
14,Dakshina Kannada,Dakshina Kannada,Puttur Rural PS,SAMPYA,putturrmaq@karpolice.in,08251 232102,Puttur Rural Circle,12.43468,75.13131
14,Dakshina Kannada,Dakshina Kannada,Puttur Town PS,PUTTUR,putturtownmaq@karpolice.in,8251230555,Puttur Sub-Division,13.4394,79.5522
14,Dakshina Kannada,Dakshina Kannada,Puttur Traffic PS,address,putturtrafficmaq@karpolice.in,8251238500,Puttur Sub-Division,12.76443,75.19703
14,Dakshina Kannada,Dakshina Kannada,Subramanya PS,SUBRAMANYA,subramanyamaq@karpolice.in,8257281250,Sullia Circle,13.018637,77.540804
14,Dakshina Kannada,Dakshina Kannada,Sullia PS,SULLIA,sulliamaq@karpolice.in,8257230337,Sullia Circle,12.55642,75.39288
14,Dakshina Kannada,Dakshina Kannada,Uppinangadi PS,UPPINANGADY,uppinangadymaq@karpolice.in,8251251055,Puttur Rural Circle,12.83946,75.24823
14,Dakshina Kannada,Dakshina Kannada,Venoor PS,VENUR,veenoormaq@karpolice.in,8256286232,Belthangadi Circle,13.01261,75.13919
14,Dakshina Kannada,Dakshina Kannada,Vitla PS,VITTLA,vittalmaq@karpolice.in,8255239233,Bantwala Circle,12.76336,75.10161
15,Davanagere,Davanagere,Azad Nagar PS,"Maganahalli Road, AzadNagara, Davangere-57700",azadnagardvg@ksp.gov.in,08192-272010,Davanagere North Circle,14.4809,75.92535
15,Davanagere,Davanagere,Basavanagara PS,"Vasantha theatre Road, Near subjail, Old Dava",basavanagardvg@ksp.gov.in,08192-272009,Davanagere City Sub-Division,14.46922,75.91843
15,Davanagere,Davanagere,Basavapatna PS,"Basavapatna PS, Sagarpete,  Channagiri Taluk,",basavapatnadvg@ksp.gov.in,08180-272463,Channagiri Circle,14.20629,75.81712
15,Davanagere,Davanagere,Bilichodu PS,"Bilichodu PS, Jagalur road, Bilichodu post,",bilichodudvg@ksp.gov.in,08196-248244,Jagalur Circle,14.50458,76.1603
15,Davanagere,Davanagere,Channagiri PS,"Behind Busstand, Channagiri, Davangere Dist-5",Channagiridvg@ksp.gov.in,08189-228133,Channagiri Circle,14.02309,75.92885
15,Davanagere,Davanagere,Davanagere CEN Crime PS,DSBDavanagere,email@ksp.gov.in,88888-888888,Davanagere District,14.45942,75.91538
15,Davanagere,Davanagere,Davanagere DCRE PS,---,---,---,Davanagere Circle,0.0,0.0
15,Davanagere,Davanagere,Davanagere Extention PS,"PJ Extn. , Old court road, Near Govt. High sc",extndvg@ksp.gov.in,08192-272012,Davanagere City Sub-Division,14.46482,75.91984
15,Davanagere,Davanagere,Davanagere Rural PS,"Nittuvalli Circle, Hadadi road, Davangere-577",ruraldvg@ksp.gov.in,08192-262555,Davanagere Rural Sub-Division,14.4508,75.92065
15,Davanagere,Davanagere,Davanagere South Traffic PS,"Oppsite New Busstand, PB Road, Davangere-5770",trafficdvg@ksp.gov.in,08192-259238,Davanagere Traffic Circle,0.0,0.0
15,Davanagere,Davanagere,Davangere Traffic North PS,"Vasantha theatre Road, Near subjail, Old Dava",trafficnorthdvg@ksp.gov.in,08192-234865,Davanagere Traffic Circle,14.46899,75.91843
15,Davanagere,Davanagere,Gandhi Nagar PS,"Gandhinagara, Davangere-577001",gandhinagardvg@ksp.gov.in,08192-272011,Davanagere North Circle,14.47633,75.92032
15,Davanagere,Davanagere,Hadadi PS,"Hadadi, Davangere taluk-577252",hadadidvg@ksp.gov.in,08192-218405,Davanagere Rural Circle,14.36992,75.89442
15,Davanagere,Davanagere,Harihara Rural PS,"Guttur Colony, Harihara Taluk, Davanagere Dis",hariharruraldvg@ksp.gov.in,08192-272017,Harihara Circle,14.53555,75.81292
15,Davanagere,Davanagere,Harihara Town PS,"Harihara PS, Harihara Taluk , Davanagere Dist",harihartowndvg@ksp.gov.in,08192-272016,Harihara Circle,14.51475,75.80687
15,Davanagere,Davanagere,Honnali PS,"Shivamogga Road, Honnali, Davangere DIST Pin-",honnalidvg@ksp.gov.in,08188-251100,Honnali Circle,14.23417,75.65733
15,Davanagere,Davanagere,Jagalur PS,"Jagalur PS, Near Bharath talkies, jaglur talu",jlrdvg@ksp.gov.in,08196-227329,Jagalur Circle,14.51335,76.33749
15,Davanagere,Davanagere,KTJ Nagar PS,"Nittuvalli Road, Koracharahatti, Davangere-57",ktjnagardvg@ksp.gov.in,08192-259285,Davanagere South Circle,14.4541,75.92468
15,Davanagere,Davanagere,Malebennur PS,"Malebennur, Harihara Taluk, Davangere Dist-57",malebennurdvg@ksp.gov.in,08192-268758,Harihara Circle,14.35171,75.73856
15,Davanagere,Davanagere,Mayakonda PS,"Mayakonda PS, Mayakonda post, Davangere Taluk",mayakondadvg@ksp.gov.in,08192-215922,Davanagere Rural Circle,14.28296,76.08058
15,Davanagere,Davanagere,Nyamathi PS,"Nyamathi post,  Honnali Taluk, Davangere Dist",nymathidvg@ksp.gov.in,08188-265349,Honnali Circle,14.14775,75.56285
15,Davanagere,Davanagere,RMC Yard PS,"APMC  Market, Davangere-577003",rmcyarddvg@ksp.gov.in,08192-272008,Davanagere North Circle,14.45977,75.93587
15,Davanagere,Davanagere,Santhebennur PS,"Near Busstand, SantheBennur, Channagiri Taluk",santhebennurdvg@ksp.gov.in,08180-256437,Channagiri Circle,14.17318,76.00685
15,Davanagere,Davanagere,Vidyanagar PS,"Vidyanagara, Davangere-577005",vidyanagardvg@ksp.gov.in,08192-262688,Davanagere South Circle,14.43468,75.91607
15,Davanagere,Davanagere,Women PS,"PJ Extn. Old court road, Near Govt. High scho",womendvg@ksp.gov.in,08192-253088,Davanagere City Sub-Division,15.8578,74.50571
16,Dharwad,Dharwad,Alnavar PS,"Alanvar Police Station, Opp State Bank, Alanv",alnavardwd@ksp.gov.in,0836-2233216,Dharwad Rural Circle,15.43167,74.74003
16,Dharwad,Dharwad,Annigeri PS,"Annigeri P.S. Near Bus Stand,  Taluk-Navalgun",annigeridwd@ksp.gov.in,08380-222733,Navalgund Circle,15.42939,75.43353
16,Dharwad,Dharwad,Dharwad CEN Crime PS,Near Bus StandDharwad Town,email@ksp.gov.in,0836-2444969,Dharwad District,15.46829,74.98642
16,Dharwad,Dharwad,Dharwad DCRE PS,---,---,---,Dharwad Circle,0.0,0.0
16,Dharwad,Dharwad,Dharwad Rural PS,"Dharwad Rural P.S, Behind M.G.Bank, P.B.Road",ruraldwd@ksp.gov.in,0836-2233215,Dharwad Sub-Division,15.175,74.97917
16,Dharwad,Dharwad,Dharwad Women PS,"Near Karnataka Vikasa BankChikkamalligad Road, Dharwad",email@ksp.gov.in,88888-888888,Dharwad Sub-Division,15.350638,75.13926
16,Dharwad,Dharwad,Garag PS,"Garag Police Station, Dharwad District, Dharw",garagdwd@ksp.gov.in,0836-2233217,Dharwad Rural Circle,15.57011,74.92933
16,Dharwad,Dharwad,Gudageri PS,address,gudageridwd@ksp.gov.in,0830-4262100,Dharwad Rural Circle,15.12149,75.36285
16,Dharwad,Dharwad,Hubli Rural PS,"Hubli Rural P.S, Mini Vidhan Soudah 1st Floor",hubliruraldwd@ksp.gov.in,0836-2233214,Dharwad Sub-Division,15.35081,75.15969
16,Dharwad,Dharwad,Kalaghatagi PS,"Kalaghatagi P.S,  Taluk Kalaghtagi, Dharwad D",kalaghtagidwd@ksp.gov.in,08370-284511,Dharwad Sub-Division,15.17482,74.96894
16,Dharwad,Dharwad,Kundagol PS,"Kundagol P.S. Taluk Kundagol, Dharwad Distric",kundagoldwd@ksp.gov.in,08304-290343,Dharwad Sub-Division,15.25975,75.24011
16,Dharwad,Dharwad,Navalgund PS,"Navalgund P.S, Taluk-Navalgund ,  Dharwad Dis",navalgunddwd@ksp.gov.in,08380-229233,Navalgund Circle,15.55697,75.35836
17,Gadag,Gadag,Betageri Extention PS,"RAJEEVGANDHINAGAR, GADAG",betageriextngdg@ksp.gov.in,08372-237019,Betageri Circle,15.427639,75.652214
17,Gadag,Gadag,Betageri PS,"OLD PHQ, HEALTHCAMP, BETAGERI-GADAG",betagerigdg@ksp.gov.in,08372-246333,Betageri Circle,15.445417,75.647606
17,Gadag,Gadag,Gadag CEN Crime PS,Gadag townGadag,email@ksp.gov.in,88888-888888,Gadag District,15.4292288,75.6326299
17,Gadag,Gadag,Gadag DCRE PS,---,---,---,Gadag Circle,0.0,0.0
17,Gadag,Gadag,Gadag Rural PS,"TAHASHILDAR OFFICE CAMPUS, GADAG",ruralgdggdg@ksp.gov.in,08372-278213,Gadag Rural Circle,15.4344,75.63517
17,Gadag,Gadag,Gadag Town PS,"OPP OLD BUSSTAND, GADAG",towngdg@ksp.gov.in,08372-238333,Gadag Town Circle,15.42923,75.63263
17,Gadag,Gadag,Gadag Traffic PS,"SAMBHAPUR ROAD, GADAG",trafficgdg@ksp.gov.in,08372-238425,Betageri Circle,15.42417,75.62472
17,Gadag,Gadag,Gadag Women PS,GadagGadag Town,email@ksp.gov.in,88888-888888,Gadag Sub-Division,15.4292288,75.6326299
17,Gadag,Gadag,Gajendragad PS,"NEAR POLICE QTRS, GAJENDRAGAD",gajendragadgdg@ksp.gov.in,08381-252133,Ron Circle,15.73592,75.96701
17,Gadag,Gadag,Lakshmeshwar PS,"NEAR POLICE QTRS, LAXMESHWAR",laxmeshwargdg@ksp.gov.in,08487-272333,Shirahatti Circle,15.07131,75.28251
17,Gadag,Gadag,Mulagund PS,"NEAR SANTE MARLET, MULAGUND",mulagundgdg@ksp.gov.in,08372-280133,Gadag Rural Circle,15.28221,75.51812
17,Gadag,Gadag,Mundargi PS,"GADAG ROAD, MUNDARAGI",mundaragigdg@ksp.gov.in,08371-262233,Nargund Sub Divison,15.12396,75.53017
17,Gadag,Gadag,Naregal PS,"GADAG ROAD, NAREGAL",naregalgdg@ksp.gov.in,08381-258233,Ron Circle,15.3445,75.4944
17,Gadag,Gadag,Nargund PS,"HUBLI-BIJAPUR ROA, NARAGUND",naragundgdg@ksp.gov.in,08377-265288,Nargund Sub Divison,15.43186,75.23177
17,Gadag,Gadag,Ron PS,"GADAG ROAD, RON",rongdg@ksp.gov.in,08381-267233,Ron Circle,15.3945,75.4423
17,Gadag,Gadag,Shirahatti PS,"NEAR LOD TAHASHILDAR OFFICE, SHIRAHATTI",shirahattigdg@ksp.gov.in,08487-242233,Shirahatti Circle,15.14142,75.34592
18,Hassan,Hassan,Alur PS,B. M. ROAD,alurhsn@ksp.gov.in,08170-218231,Sakaleshpura Sub-Division,12.97735,75.98999
18,Hassan,Hassan,Arakalagud PS,ARKALGUD,arkalgudhsn@ksp.gov.in,08175-220249,Arakalagud  Circle,12.76589,76.057
18,Hassan,Hassan,Arasikere Rural PS,B.H. ROAD,arasikereruralhsn@Ksp.gov.in,08174-232237,Arasikere Rural Circle,13.31268,76.25699
