district,taluk,police_station,latitude,longitude,crime_count,avg_hotspot_score,recommended_cctv
Kolar,Srinivaspur,Andersonpet PS,13.31866937837838,78.17991502702702,37,52.4,5
Bengaluru South,Magadi,Akkur PS,13.433644472222221,76.81068458333333,36,42.1,4
Udupi,Kundapura,Kapu PS,13.122746999999999,74.88712100000001,36,51.1,4
Kolar,Mulbagal,KGF CEN Crime PS,13.238986305555555,78.02095216666666,36,53.4,4
Koppal,Kushtagi,Gangavathi Traffic PS,15.067746861111111,76.6253521388889,36,48.2,4
Udupi,Kundapura,Kota PS,13.502204027777777,74.68393966666666,36,47.5,4
Ballari,Ballari,Moka PS,15.462711028571428,76.44644862857142,35,60.9,4
Koppal,Koppal,Koppal Traffic PS,15.34984697142857,76.16993385714287,35,48.6,4
Ballari,Ballari,Bellary Traffic PS,15.38825577142857,76.6124756,35,36.5,4
Koppal,Kushtagi,Karatagi PS,15.603661200000001,76.6658524,35,38.6,4
Bengaluru Rural,Doddaballapura,Hosakote PS,13.144983914285714,77.62701391428571,35,48.9,4
Bengaluru Rural,Devanahalli,Suryanagar PS,13.32932842857143,77.38645171428571,35,49.9,4
Kolar,Srinivaspur,Kyasamballi Police Station,13.17405744117647,78.1832003235294,34,56.7,4
Kolar,Kolar,Marikuppam PS,13.070256911764705,77.92065479411765,34,43.2,4
Kolar,Mulbagal,Champion Reefs PS,13.03027055882353,78.08155417647059,34,50.9,4
Davanagere,Channagiri,Channagiri PS,13.791483911764706,76.1487760882353,34,48.5,4
Davanagere,Channagiri,RMC Yard PS,14.223108941176472,76.0166890882353,34,43.5,4
Dakshina Kannada,Beltangadi,Puttur Traffic PS,12.862039235294118,75.23730105882353,34,46.8,4
Gadag,Gajendragad,Betageri Extention PS,15.50721094117647,75.69220870588235,34,46.2,4
Udupi,Udupi,Byndoor PS,13.682803999999999,75.03368255882353,34,49.2,4
Bengaluru South,Magadi,Ramanagar CEN Crime PS,12.844608147058823,77.16319847058824,34,52.9,4
Udupi,Karkal,Ajekar PS,13.273774818181817,75.01474712121212,33,46.4,4
Bengaluru Rural,Doddaballapura,Nelamangala Traffic PS,13.107415333333334,77.30305857575757,33,53.8,4
Bengaluru South,Magadi,Tavarekere PS,13.121232484848486,77.074231,33,48.6,4
Yadgir,Yadgir,Yadgiri Town PS,16.81724015151515,77.133578,33,50.1,4
Gadag,Gadag,Gadag CEN Crime PS,15.501746757575757,75.53083142424242,33,51.3,4
Bagalkote,Hungund,Mahalingapur PS,16.372475121212123,75.25194145454546,33,46.3,4
Bengaluru Rural,Hosakote,Sulibele PS,13.32377234375,77.34949715625,32,43.2,4
Koppal,Kushtagi,Kanakagiri PS,15.56074375,76.42828068749999,32,48.2,4
Bengaluru Rural,Hosakote,Hosakote PS,13.1082466875,77.7962305,32,48.4,4
Yadgir,Shorapur,Saidapur PS,16.55240565625,77.2770974375,32,50.8,4
Gadag,Mundargi,Betageri Extention PS,15.30272025,75.73342265625,32,59.0,4
Gadag,Ron,Ron PS,15.36175378125,75.4141820625,32,48.2,4
Ballari,Siruguppa,Kuduthini PS,15.51649025,76.77772778125001,32,47.2,4
Haveri,Hangal,Shiggaon PS,14.99136725,75.24699771875,32,46.9,4
Bagalkote,Badami,Bagalkot Town PS,16.07413584375,75.6520944375,32,38.4,4
Gadag,Ron,Gadag CEN Crime PS,15.4286126875,75.666596875,32,49.4,4
Gadag,Gadag,Ron PS,15.42966978125,75.5351304375,32,48.5,4
Davanagere,Channagiri,Mayakonda PS,13.823084322580646,75.85108777419356,31,50.6,4
Dakshina Kannada,Bantval,Puttur Town PS,12.763690193548387,75.20810793548387,31,57.3,4
Ballari,Sandur,Cowlbazar PS,15.140619258064516,76.89410525806451,31,48.2,4
Yadgir,Shorapur,Narayanapura PS,16.23223670967742,76.50617487096774,31,50.8,4
Bengaluru Rural,Doddaballapura,Vijayapura PS,13.666514290322581,77.33488799999999,31,43.7,4
Bengaluru Rural,Doddaballapura,Sulibele PS,13.447792870967742,77.55683290322581,31,51.1,4
Yadgir,Hunasagi,Yadgir Women PS,16.777605225806454,77.12327619354839,31,55.4,4
Koppal,Koppal,Koppal Town PS,15.083825612903226,76.09449967741935,31,50.3,4
Koppal,Koppal,Bevoor PS,16.14187293548387,75.92204238709677,31,52.7,4
Ballari,Ballari,Gadiganur PS,15.185514612903225,76.6506389032258,31,47.2,4
Bengaluru Rural,Doddaballapura,Nandagudi PS,13.475841466666667,77.40164266666667,30,47.7,4
Udupi,Kundapura,Shirva PS,13.257378433333335,74.85601593333334,30,47.4,4
Kalaburagi,Aland,Malkhed PS,17.08273416666667,77.1886064,30,55.3,4
Bengaluru South,Magadi,Ramanagara Rural PS,12.891200566666667,77.07771286666666,30,43.2,4
Yadgir,Yadgir,Yadgiri Rural PS,16.724977866666666,77.14437333333333,30,53.1,4
Yadgir,Gurmitakal,Gurumitkal PS,16.845729733333332,77.3560925,30,52.3,4
Haveri,Hangal,Adur PS,14.7792782,75.23280993333333,30,55.0,4
Bengaluru South,Magadi,CHANNAPATNA TRAFFIC PS,12.928156666666666,76.91309166666666,30,56.9,4
Dakshina Kannada,Bantval,Buntwala Town PS,12.5901056,75.03997616666668,30,46.5,4
Bengaluru South,Magadi,Kaggalipura PS,12.937925310344827,77.32862775862068,29,42.7,4
Bengaluru South,Magadi,Harohalli PS,12.900273620689655,77.31652713793103,29,50.9,4
Bengaluru South,Magadi,Kanakapura Rural PS,12.75860724137931,77.36978544827586,29,51.9,4
Belagavi,Khanapur,Khadebazar PS,15.84917975862069,74.50015355172414,29,50.6,4
Yadgir,Hunasagi,Wadigere PS,16.62273693103448,77.11953431034483,29,51.6,4
Mysuru,Hunsur,Jayalakshmipuram PS,12.245065607142857,76.67668625,28,48.0,4
Gadag,Mundargi,Gadag Rural PS,15.431330785714286,75.62971310714286,28,42.6,4
Bengaluru Rural,Hosakote,Nelamangala Rural PS,13.206342000000001,77.5517777857143,28,53.3,4
Bengaluru Rural,Doddaballapura,Chennarayapatana PS,13.295475464285714,77.67727442857142,28,50.5,4
Belagavi,Khanapur,Belgaum South Traffic PS,15.653400285714286,74.72049010714285,28,46.7,4
Davanagere,Channagiri,KTJ Nagar PS,14.201774499999999,76.14992582142858,28,50.5,4
Dakshina Kannada,Kadaba,Venoor PS,12.862554571428571,75.27667635714285,28,49.5,4
Davanagere,Channagiri,Hadadi PS,13.998395962962961,76.04018603703705,27,49.4,3
Udupi,Brahmavara,Kapu PS,13.291689037037038,74.760942,27,45.3,3
Udupi,Karkal,Padubidri PS,13.181121925925925,74.79669918518519,27,41.1,3
Bagalkote,Bagalkot,Mudhol PS,16.330465962962965,75.2700957037037,27,46.6,3
Mysuru,Hunsur,Devaraja PS,12.344284703703703,76.57040151851852,27,45.2,3
Bagalkote,Hungund,Hungunda PS,16.059223888888887,76.05117411111112,27,46.3,3
Davanagere,Jagalur,Basavapatna PS,14.356276076923077,75.99353315384616,26,39.6,3
Gadag,Gadag,Gadag Town PS,15.412303923076923,75.66088342307692,26,51.1,3
Belagavi,Khanapur,Marihal PS,15.913272500000001,74.70510011538462,26,45.4,3
Raichur,Lingasugur,Raichur Rural PS,16.21403123076923,77.27586946153846,26,48.8,3
Udupi,Kundapura,Karkala Rural PS,13.330909115384616,74.97549053846154,26,48.1,3
Davanagere,Channagiri,Bilichodu PS,14.21114172,76.02287708,25,54.8,3
Davanagere,Channagiri,Harihara Town PS,14.294254599999999,75.83512208,25,45.7,3
Haveri,Hangal,Tadas PS,14.69217844,75.5755706,25,39.2,3
Bidar,Bhalki,Dhannura PS,18.005442600000002,77.30037848,25,42.8,3
Belagavi,Khanapur,Market PS,15.82018976,74.5079964,25,48.7,3
Bagalkote,Badami,Amengad PS,15.991506280000001,75.77702307999999,25,48.8,3
Dakshina Kannada,Bantval,Dakshina Kannada Women PS,12.851495199999999,74.99359828,25,43.2,3
Davanagere,Davanagere,Gandhi Nagar PS,14.206922440000001,75.94713868,25,47.9,3
Bagalkote,Bilgi,Hungunda PS,15.786058416666668,76.23766604166667,24,46.3,3
Raichur,Raichur,Sadar Bazar PS,16.216336666666667,77.36216,24,52.5,3
Mysuru,Piriyapatna,Saraswathipuram PS,12.954487125,76.75409866666666,24,58.5,3
Raichur,Maski,Raichur West PS,16.179541541666666,77.3398625,24,43.4,3
Bagalkote,Badami,Kerur PS,16.12545991304348,75.57928000000001,23,42.1,3
Dakshina Kannada,Mulki,Belthangadi Traffic PS,12.990360304347826,75.28761469565217,23,47.8,3
Raichur,Lingasugur,Jalhalli PS,16.01208447826087,77.46221308695652,23,52.3,3
Davanagere,Channagiri,Malebennur PS,13.882239739130435,75.88668608695652,23,48.9,3
Haveri,Hangal,Hanagal PS,14.764380434782609,75.18197682608695,23,48.0,3
Belagavi,Khanapur,Kakati PS,15.786476130434783,74.47433191304349,23,52.7,3
Belagavi,Ramdurg,Udyambag PS,15.824716260869566,74.62976186956521,23,41.7,3
Bidar,Bidar,Manna Ekhelli PS,17.755214347826087,77.36260747826087,23,54.0,3
Dakshina Kannada,Beltangadi,Buntwala Town PS,12.574056565217392,75.02454543478261,23,37.7,3
Raichur,Raichur,Raichur CEN Crime PS,16.205534869565216,77.34646013043479,23,48.7,3
Mysuru,Heggadadevankote,Narasimharaja Traffic PS,12.648236826086956,76.52312591304347,23,38.4,3
Vijayapura,Indi,Golgumbaz PS,16.739639695652173,75.78463021739131,23,49.7,3
Dakshina Kannada,Mangaluru,Punjalkatte PS,12.58833343478261,75.08649408695652,23,52.0,3
Dakshina Kannada,Mangaluru,Puttur Rural PS,12.451965608695653,75.13454652173913,23,44.5,3
Bagalkote,Mudhol,Bilagi PS,16.304441999999998,75.4137344347826,23,58.3,3
Dakshina Kannada,Bantval,Puttur Rural PS,12.451428782608696,75.12321091304348,23,49.3,3
Raichur,Lingasugur,Idapanur PS,16.039566227272726,77.19668322727273,22,50.5,3
Belagavi,Belagavi,Tilakwadi PS,15.58924690909091,74.96873936363636,22,45.0,3
Bagalkote,Badami,Guledagudda PS,16.002632000000002,75.76322695454546,22,64.8,3
Mysuru,Hunsur,Mandi PS,12.706491772727274,76.56294863636364,22,57.3,3
Bidar,Bhalki,Bidar CEN Crime PS,18.05567263636364,77.20690527272728,22,41.3,3
Haveri,Hangal,Haveri Rural PS,14.812247181818181,75.39759781818181,22,54.3,3
Haveri,Hangal,Guttal PS,14.771317095238095,75.4728058095238,21,39.7,3
Haveri,Byadgi,Haveri Town PS,14.777802428571428,75.47655804761905,21,50.1,3
Bidar,Basavakalyan,Mannalli PS,17.810454571428572,77.51135947619048,21,48.0,3
Raichur,Raichur,Kowthal PS,16.078992952380954,76.79360047619048,21,47.7,3
Tumakuru,Gubbi,Chandrashekarpura PS,13.158022,76.72879766666668,21,46.1,3
Haveri,Savanur,Adur PS,14.819667666666668,75.26780052380953,21,44.9,3
Haveri,Shiggaon,Shiggaon PS,15.022031095238095,75.27715738095237,21,45.0,3
Bagalkote,Bagalkot,Ilakal Rural PS,16.0200146,76.0454848,20,45.6,2
Vijayapura,Indi,Basavan Bagewadi PS,16.5766527,75.7276143,20,50.4,2
Bidar,Bhalki,Hokrana PS,18.026525749999998,77.22590165,20,50.0,2
Mandya,Nagamangala,K.R. Sagar PS,12.56420425,76.54896435,20,46.0,2
Raichur,Arakera,Gabbur PS,16.267928700000002,77.16682195,20,51.9,2
Mysuru,Nanjangud,Ashokpuram PS,12.1596364,76.60396184999999,20,40.8,2
Mandya,Nagamangala,Mandya CEN Crime PS,12.91025625,76.8217899,20,55.0,2
Bidar,Bidar,Mudbi PS,17.76701885,77.11444725,20,49.2,2
Haveri,Hangal,Hansabhavi PS,14.555092400000001,75.3061177,20,60.8,2
Raichur,Maski,Hutti PS,16.20374452631579,76.67455705263158,19,44.0,2
Mandya,Krishnarajpet,Malavalli Town PS,12.696665789473684,76.82813357894736,19,48.7,2
Mandya,Nagamangala,Nagamangala Town PS,13.412853578947368,76.48457468421053,19,52.8,2
Raichur,Lingasugur,Sirwar PS,16.209984631578948,77.05965505263158,19,45.5,2
Mysuru,Piriyapatna,Krishnaraja PS,12.458250157894737,76.71097863157894,19,53.8,2
Mysuru,Piriyapatna,Deveraja Traffic PS,12.720653894736841,76.69457036842105,19,56.5,2
Bidar,Bhalki,Janwada PS,17.993267947368423,77.45123247368421,19,48.2,2
Kalaburagi,Chincholi,Revoor PS,17.30890642105263,76.47422642105262,19,49.3,2
Kalaburagi,Sedam,Shahabad Town PS,17.150959842105266,76.9102592105263,19,49.4,2
Bidar,Homnabad,Mehakar PS,17.806859368421055,77.10094115789474,19,44.2,2
Belagavi,Hukkeri,Marihal PS,15.932983263157894,74.66087505263158,19,48.3,2
Belagavi,Khanapur,Shahapura PS,15.690773888888891,74.53739444444444,18,45.6,2
Belagavi,Khanapur,Belagavi Rural PS,15.752719277777778,74.53474383333334,18,54.5,2
Kalaburagi,Kalaburagi,Madbool PS,17.322293555555557,76.9431843888889,18,47.9,2
Mysuru,Nanjangud,Alanahally PS,12.475024277777777,76.89504611111111,18,49.0,2
Mysuru,Hunsur,Udayagiri PS,12.6367385,76.7332593888889,18,53.9,2
Mandya,Nagamangala,Mandya Central PS,12.991305666666667,76.73172205555555,18,50.9,2
Mandya,Krishnarajpet,Bellur PS,12.843448333333335,76.65689594444444,18,49.2,2
Mandya,Nagamangala,K.R. Pet Town PS,13.34860861111111,76.47263188888888,18,44.8,2
Vijayapura,Muddebihal,Bijapur Traffic PS,16.798855,75.85098577777778,18,61.1,2
Shivamogga,Sagar,Vinobanagara PS,13.958196166666667,75.58908194444444,18,62.4,2
Hassan,Channarayapatna,Hassan Rural PS,13.387218611111111,75.99034105555556,18,47.3,2
Hassan,Channarayapatna,Hassan City PS,12.944493055555556,76.71123238888889,18,42.8,2
Bidar,Bidar,Bhalki Town PS,18.069809117647058,77.22059476470588,17,37.4,2
Bidar,Bidar,Matala PS,17.887499294117646,77.00817282352942,17,41.5,2
Uttara Kannada,Sirsi,UK CEN Crime PS,14.72902105882353,74.38927264705883,17,56.9,2
Kalaburagi,Aland,Narona PS,17.562369705882354,76.78867229411765,17,51.6,2
Shivamogga,Sorab,Malur PS,13.440147411764706,76.97039976470587,17,44.9,2
Shivamogga,Sorab,Jayanagara PS,14.24636882352941,75.31675947058824,17,48.5,2
Mandya,Krishnarajpet,K.R. Pet Rural PS,13.013553647058824,76.53090205882353,17,44.6,2
Mandya,Krishnarajpet,K.M. Doddi PS,12.892021941176472,76.85458782352941,17,41.7,2
Mandya,Krishnarajpet,Kesthur PS,12.861204117647059,76.79139476470588,17,57.1,2
Hassan,Hassan,Channarayapatna Rural PS,13.184503235294116,76.55281517647059,17,50.7,2
Vijayapura,Indi,Vijayapur CEN Crime PS,16.092703411764706,75.67739717647059,17,51.8,2
Vijayapura,Muddebihal,Bijapur rural PS,16.80379205882353,75.80738088235294,17,52.3,2
Kalaburagi,Sedam,Jewargi PS,17.008799529411764,76.91304388235295,17,40.1,2
Kalaburagi,Chittapur,Sedam PS,17.209299235294118,77.02859594117648,17,46.8,2
Kalaburagi,Sedam,Sedam PS,17.1375361875,77.332066625,16,48.6,2
Vijayapura,Sindgi,Indi PS,16.78682425,76.1025054375,16,55.8,2
Vijayapura,Muddebihal,Nidagundi PS,16.342554125,76.015322875,16,42.4,2
Kalaburagi,Sedam,Devalagangapur PS,17.16686425,76.5633055625,16,49.6,2
Uttara Kannada,Kumta,Banavasi PS,14.5883059375,74.7732149375,16,52.2,2
Bengaluru Urban,Anekal,Sanjay Nagar PS,12.9832270625,77.592451,16,54.0,2
Kalaburagi,Chincholi,Miryan PS,17.24522975,77.268973,16,40.6,2
Uttara Kannada,Sirsi,Banavasi PS,14.6188591875,74.8157691875,16,44.2,2
Shivamogga,Shikarpur,Doddapete PS,14.335297375,75.612996125,16,43.1,2
Uttara Kannada,Sirsi,Joida PS,15.194525625,74.512409625,16,44.7,2
Uttara Kannada,Siddapur,Kadra PS,14.863419666666665,74.4048642,15,35.6,2
Hassan,Hassan,Shanthigrama PS,12.993542733333333,76.26967826666667,15,58.0,2
Vijayapura,Muddebihal,Babaleshwar PS,15.922178466666667,75.56759973333332,15,47.9,2
Shivamogga,Sagar,Shivamogga CEN Crime PS,13.905598199999998,75.55016526666667,15,50.3,2
Uttara Kannada,Sirsi,Karwar Traffic PS,14.704289600000001,74.53405226666668,15,44.9,2
Vijayapura,Nidagundi,Adarsh Nagar PS,16.837339800000002,75.73648513333333,15,47.5,2
Vijayapura,Muddebihal,Golgumbaz PS,16.226607666666666,75.59904766666666,15,47.1,2
Shivamogga,Hosanagara,Kargal PS,14.141958933333333,74.91378646666666,15,57.8,2
Shivamogga,Hosanagara,Thirthahalli PS,13.665277785714284,75.36106728571428,14,48.5,2
Uttara Kannada,Sirsi,Bhatkal Town PS,14.310145214285713,74.67233735714285,14,46.4,2
Hassan,Arkalgud,Holenarasipura Town PS,13.008812857142857,76.529186,14,42.1,2
Shivamogga,Shivamogga,Shimoga East Traffic PS,13.952779357142857,75.57559157142857,14,55.1,2
Shivamogga,Sorab,Sagar Rural PS,14.437596428571428,75.03067185714285,14,35.4,2
Shivamogga,Sorab,Shikaripura Town PS,14.280261071428571,75.31822157142857,14,43.4,2
Uttara Kannada,Kumta,Joida PS,15.033834142857144,74.49971064285715,14,59.6,2
Uttara Kannada,Sirsi,Kumta PS,14.203919,75.00420892307692,13,45.8,2
Uttara Kannada,Sirsi,Dandeli Rural PS,15.230113,74.60526230769231,13,43.8,2
Hassan,Arkalgud,Sakaleshpura Rural PS,13.889549846153848,76.08030023076923,13,39.6,2
Hassan,Arsikere,Holenarasipura Town PS,13.522469384615384,76.3112543846154,13,52.0,2
Hassan,Hassan,Sakaleshpura Rural PS,12.947747076923077,75.96626923076923,13,48.5,2
Tumakuru,Chiknayakanhalli,Tumkur Town PS,13.29676476923077,76.86681446153847,13,45.7,2
Bengaluru Urban,Anekal,Kamakshipalya PS,13.005331461538463,77.35183384615385,13,40.2,2
Bengaluru Urban,Anekal,Gangammana Gudi PS,12.9731695,77.36456425,12,43.2,2
Hassan,Hole Narsipur,Arakalagud PS,13.112048666666666,76.22557333333333,12,58.3,2
Tumakuru,Tiptur,Kolala PS,13.136790333333332,76.70682733333334,12,50.2,2
Hassan,Hassan,Hassan Traffic PS,12.9906395,76.18115516666667,12,59.2,2
Tumakuru,Chiknayakanhalli,Tumkur CEN Crime PS,13.702992083333333,76.52441908333333,12,45.5,2
Bengaluru Urban,Anekal,BIAL Traffic PS,13.789852636363635,77.36348209090909,11,49.7,1
Bengaluru Urban,Bengaluru South,Sadashivanagar Traffic PS,12.92437118181818,77.58008436363636,11,67.4,1
Tumakuru,Tumakuru,Turuvekere PS,13.288130545454544,76.77156836363636,11,45.9,1
Tumakuru,Tumakuru,New Extention PS,13.379677363636363,76.53583790909092,11,50.3,1
Tumakuru,Madhugiri,Madhugiri PS,13.491312363636364,77.05651518181818,11,30.1,1
Tumakuru,Kunigal,Thilak Park PS,13.278897454545454,76.91256281818181,11,43.9,1
Tumakuru,Koratagere,Nonavinakere PS,13.164926727272729,76.83196745454546,11,49.6,1
Tumakuru,Gubbi,Tumkur Town PS,13.322551100000002,77.0430505,10,56.7,1
Bengaluru Urban,Anekal,Kadugondana Halli PS,12.890454700000001,77.6485006,10,50.9,1
Bengaluru Urban,Bengaluru North,Yelahanka New Town PS,13.1421142,77.5707977,10,50.1,1
Bengaluru Urban,Anekal,Hennur PS,12.9739127,77.728435,10,24.1,1
Bengaluru Urban,Anekal,HSR Layout PS,12.9871726,77.7690293,10,54.2,1
Bengaluru Urban,Anekal,Cubbonpark Traffic PS,13.10590411111111,77.72270544444444,9,58.3,1
