police_station,district,taluk,crime_count,latitude,longitude,nearest_cctv_distance_m,covered
Kyasamballi Police Station,Kolar,Kolar,39,13.29465023076923,77.8643731025641,1564.51,False
Gurumitkal PS,Yadgir,Shorapur,39,16.82298023076923,77.33422384615385,587.3,False
Udupi CEN Crime PS,Udupi,Kundapura,38,13.47741757894737,74.76376336842105,3629.78,False
Robertsonpet PS,Kolar,Srinivaspur,38,13.18092,78.0242367368421,6707.15,False
Gandhinagar PS,Ballari,Sandur,38,15.225261263157895,76.60661626315789,3454.64,False
Saidapur PS,Yadgir,Hunasagi,37,16.539789324324325,77.26122356756757,2925.39,False
Hanumasagar PS,Koppal,Kushtagi,37,15.753779135135137,76.15329127027027,4197.86,False
Bidadi PS,Bengaluru South,Magadi,37,12.85790008108108,77.10110586486486,9212.03,False
Channapatna Town PS,Bengaluru South,Magadi,37,12.899662270270271,77.00863983783783,1503.05,False
Siruguppa PS,Ballari,Siruguppa,37,15.508625567567568,76.65598332432432,2212.1,False
Andersonpet PS,Kolar,Srinivaspur,37,13.31866937837838,78.17991502702702,28826.46,False
Akkur PS,Bengaluru South,Magadi,36,13.43364447222222,76.81068458333333,12785.93,False
Kapu PS,Udupi,Kundapura,36,13.122747,74.88712100000001,7084.71,False
KGF CEN Crime PS,Kolar,Mulbagal,36,13.238986305555557,78.02095216666666,10824.0,False
Gangavathi Traffic PS,Koppal,Kushtagi,36,15.067746861111113,76.6253521388889,3216.54,False
Kota PS,Udupi,Kundapura,36,13.502204027777776,74.68393966666666,1926.72,False
Moka PS,Ballari,Ballari,35,15.462711028571428,76.44644862857142,2474.0,False
Koppal Traffic PS,Koppal,Koppal,35,15.34984697142857,76.16993385714287,4989.93,False
Bellary Traffic PS,Ballari,Ballari,35,15.38825577142857,76.6124756,4628.48,False
Karatagi PS,Koppal,Kushtagi,35,15.6036612,76.6658524,6354.49,False
Hosakote PS,Bengaluru Rural,Doddaballapura,35,13.144983914285714,77.62701391428571,4074.45,False
Suryanagar PS,Bengaluru Rural,Devanahalli,35,13.32932842857143,77.38645171428571,8615.29,False
Kyasamballi Police Station,Kolar,Srinivaspur,34,13.17405744117647,78.1832003235294,12892.64,False
Marikuppam PS,Kolar,Kolar,34,13.070256911764703,77.92065479411765,970.23,False
Champion Reefs PS,Kolar,Mulbagal,34,13.03027055882353,78.08155417647059,6887.2,False
Channagiri PS,Davanagere,Channagiri,34,13.791483911764706,76.1487760882353,29913.14,False
RMC Yard PS,Davanagere,Channagiri,34,14.223108941176472,76.0166890882353,3429.91,False
Puttur Traffic PS,Dakshina Kannada,Beltangadi,34,12.862039235294118,75.23730105882353,4971.84,False
Betageri Extention PS,Gadag,Gajendragad,34,15.50721094117647,75.69220870588235,3620.87,False
Byndoor PS,Udupi,Udupi,34,13.682804,75.03368255882353,6051.16,False
Ramanagar CEN Crime PS,Bengaluru South,Magadi,34,12.844608147058825,77.16319847058824,7429.62,False
Ajekar PS,Udupi,Karkal,33,13.273774818181815,75.01474712121212,2504.66,False
Nelamangala Traffic PS,Bengaluru Rural,Doddaballapura,33,13.107415333333334,77.30305857575757,4675.93,False
Tavarekere PS,Bengaluru South,Magadi,33,13.121232484848486,77.074231,4197.75,False
Yadgiri Town PS,Yadgir,Yadgir,33,16.81724015151515,77.133578,812.72,False
Gadag CEN Crime PS,Gadag,Gadag,33,15.501746757575756,75.53083142424242,6787.49,False
Mahalingapur PS,Bagalkote,Hungund,33,16.372475121212123,75.25194145454546,2039.41,False
Sulibele PS,Bengaluru Rural,Hosakote,32,13.32377234375,77.34949715625,8700.25,False
Kanakagiri PS,Koppal,Kushtagi,32,15.56074375,76.42828068749999,6029.97,False
Hosakote PS,Bengaluru Rural,Hosakote,32,13.1082466875,77.7962305,4756.27,False
Saidapur PS,Yadgir,Shorapur,32,16.55240565625,77.2770974375,3482.26,False
Betageri Extention PS,Gadag,Mundargi,32,15.30272025,75.73342265625,10093.01,False
Ron PS,Gadag,Ron,32,15.36175378125,75.4141820625,2142.1,False
Kuduthini PS,Ballari,Siruguppa,32,15.51649025,76.77772778125001,4143.96,False
Shiggaon PS,Haveri,Hangal,32,14.99136725,75.24699771875,6428.18,False
Bagalkot Town PS,Bagalkote,Badami,32,16.07413584375,75.6520944375,2339.16,False
Gadag CEN Crime PS,Gadag,Ron,32,15.4286126875,75.666596875,3250.28,False
Ron PS,Gadag,Gadag,32,15.42966978125,75.5351304375,2773.68,False
Mayakonda PS,Davanagere,Channagiri,31,13.823084322580646,75.85108777419356,9507.72,False
Puttur Town PS,Dakshina Kannada,Bantval,31,12.763690193548388,75.20810793548387,1818.85,False
Cowlbazar PS,Ballari,Sandur,31,15.140619258064516,76.89410525806451,4049.23,False
Narayanapura PS,Yadgir,Shorapur,31,16.23223670967742,76.50617487096774,3365.98,False
Vijayapura PS,Bengaluru Rural,Doddaballapura,31,13.66651429032258,77.33488799999999,5246.16,False
Sulibele PS,Bengaluru Rural,Doddaballapura,31,13.447792870967742,77.55683290322581,9688.97,False
Yadgir Women PS,Yadgir,Hunasagi,31,16.777605225806454,77.12327619354839,4541.68,False
Koppal Town PS,Koppal,Koppal,31,15.083825612903226,76.09449967741935,19633.76,False
Bevoor PS,Koppal,Koppal,31,16.14187293548387,75.92204238709677,2195.23,False
Gadiganur PS,Ballari,Ballari,31,15.185514612903225,76.6506389032258,1452.12,False
Nandagudi PS,Bengaluru Rural,Doddaballapura,30,13.475841466666669,77.40164266666667,10777.87,False
Shirva PS,Udupi,Kundapura,30,13.257378433333336,74.85601593333334,3859.91,False
Malkhed PS,Kalaburagi,Aland,30,17.08273416666667,77.1886064,8950.33,False
Ramanagara Rural PS,Bengaluru South,Magadi,30,12.891200566666669,77.07771286666666,8931.35,False
Yadgiri Rural PS,Yadgir,Yadgir,30,16.724977866666666,77.14437333333333,3696.69,False
Gurumitkal PS,Yadgir,Gurmitakal,30,16.845729733333332,77.3560925,3397.87,False
Adur PS,Haveri,Hangal,30,14.7792782,75.23280993333333,5217.66,False
CHANNAPATNA TRAFFIC PS,Bengaluru South,Magadi,30,12.928156666666666,76.91309166666666,6023.95,False
Buntwala Town PS,Dakshina Kannada,Bantval,30,12.5901056,75.03997616666668,1904.53,False
Kaggalipura PS,Bengaluru South,Magadi,29,12.937925310344829,77.32862775862068,3025.04,False
Harohalli PS,Bengaluru South,Magadi,29,12.900273620689656,77.31652713793103,3900.54,False
Kanakapura Rural PS,Bengaluru South,Magadi,29,12.75860724137931,77.36978544827586,2263.31,False
Khadebazar PS,Belagavi,Khanapur,29,15.84917975862069,74.50015355172414,2307.88,False
Wadigere PS,Yadgir,Hunasagi,29,16.62273693103448,77.11953431034483,3520.13,False
Jayalakshmipuram PS,Mysuru,Hunsur,28,12.245065607142855,76.67668625,200.41,False
Gadag Rural PS,Gadag,Mundargi,28,15.431330785714286,75.62971310714286,5506.91,False
Nelamangala Rural PS,Bengaluru Rural,Hosakote,28,13.206342,77.5517777857143,2000.66,False
Chennarayapatana PS,Bengaluru Rural,Doddaballapura,28,13.295475464285714,77.67727442857142,3699.36,False
Belgaum South Traffic PS,Belagavi,Khanapur,28,15.653400285714286,74.72049010714285,9351.66,False
KTJ Nagar PS,Davanagere,Channagiri,28,14.2017745,76.14992582142858,7574.37,False
Venoor PS,Dakshina Kannada,Kadaba,28,12.862554571428571,75.27667635714285,4274.69,False
Hadadi PS,Davanagere,Channagiri,27,13.99839596296296,76.04018603703705,17547.79,False
Kapu PS,Udupi,Brahmavara,27,13.291689037037038,74.760942,943.43,False
Padubidri PS,Udupi,Karkal,27,13.181121925925924,74.79669918518519,2649.0,False
Mudhol PS,Bagalkote,Bagalkot,27,16.330465962962965,75.2700957037037,5205.21,False
Devaraja PS,Mysuru,Hunsur,27,12.344284703703703,76.57040151851852,1623.11,False
Hungunda PS,Bagalkote,Hungund,27,16.059223888888887,76.05117411111112,3792.43,False
Basavapatna PS,Davanagere,Jagalur,26,14.356276076923075,75.99353315384616,3853.73,False
Gadag Town PS,Gadag,Gadag,26,15.412303923076925,75.66088342307692,3053.93,False
Marihal PS,Belagavi,Khanapur,26,15.9132725,74.70510011538462,2651.85,False
Raichur Rural PS,Raichur,Lingasugur,26,16.21403123076923,77.27586946153846,1904.49,False
Karkala Rural PS,Udupi,Kundapura,26,13.330909115384616,74.97549053846154,4488.62,False
Bilichodu PS,Davanagere,Channagiri,25,14.21114172,76.02287708,2630.39,False
Harihara Town PS,Davanagere,Channagiri,25,14.2942546,75.83512208,1688.02,False
Tadas PS,Haveri,Hangal,25,14.69217844,75.5755706,3175.84,False
Dhannura PS,Bidar,Bhalki,25,18.005442600000002,77.30037848,2257.87,False
Market PS,Belagavi,Khanapur,25,15.82018976,74.5079964,1232.57,False
Amengad PS,Bagalkote,Badami,25,15.99150628,75.77702307999999,2680.89,False
Dakshina Kannada Women PS,Dakshina Kannada,Bantval,25,12.8514952,74.99359828,1964.26,False
Gandhi Nagar PS,Davanagere,Davanagere,25,14.20692244,75.94713868,2944.84,False
Hungunda PS,Bagalkote,Bilgi,24,15.786058416666668,76.23766604166667,7706.99,False
Sadar Bazar PS,Raichur,Raichur,24,16.216336666666667,77.36216,5013.9,False
Saraswathipuram PS,Mysuru,Piriyapatna,24,12.954487125,76.75409866666666,4782.85,False
Raichur West PS,Raichur,Maski,24,16.179541541666666,77.3398625,2217.77,False
Kerur PS,Bagalkote,Badami,23,16.12545991304348,75.57928000000001,3265.47,False
Belthangadi Traffic PS,Dakshina Kannada,Mulki,23,12.990360304347826,75.28761469565217,6339.6,False
Jalhalli PS,Raichur,Lingasugur,23,16.01208447826087,77.46221308695652,3066.36,False
Malebennur PS,Davanagere,Channagiri,23,13.882239739130435,75.88668608695652,9314.62,False
Hanagal PS,Haveri,Hangal,23,14.764380434782607,75.18197682608695,7586.34,False
Kakati PS,Belagavi,Khanapur,23,15.786476130434783,74.47433191304349,960.97,False
Udyambag PS,Belagavi,Ramdurg,23,15.824716260869566,74.62976186956521,1221.79,False
Manna Ekhelli PS,Bidar,Bidar,23,17.755214347826087,77.36260747826087,3360.73,False
Buntwala Town PS,Dakshina Kannada,Beltangadi,23,12.574056565217392,75.02454543478261,2611.9,False
Raichur CEN Crime PS,Raichur,Raichur,23,16.205534869565216,77.34646013043479,5156.3,False
Narasimharaja Traffic PS,Mysuru,Heggadadevankote,23,12.648236826086956,76.52312591304347,4027.66,False
Golgumbaz PS,Vijayapura,Indi,23,16.739639695652173,75.78463021739131,2688.86,False
Punjalkatte PS,Dakshina Kannada,Mangaluru,23,12.58833343478261,75.08649408695652,2167.21,False
Puttur Rural PS,Dakshina Kannada,Mangaluru,23,12.451965608695652,75.13454652173913,5245.69,False
Bilagi PS,Bagalkote,Mudhol,23,16.304441999999998,75.4137344347826,7150.87,False
Puttur Rural PS,Dakshina Kannada,Bantval,23,12.451428782608696,75.12321091304348,5337.81,False
Idapanur PS,Raichur,Lingasugur,22,16.039566227272726,77.19668322727273,12312.18,False
Tilakwadi PS,Belagavi,Belagavi,22,15.58924690909091,74.96873936363636,6069.92,False
Guledagudda PS,Bagalkote,Badami,22,16.002632000000002,75.76322695454546,3475.51,False
Mandi PS,Mysuru,Hunsur,22,12.706491772727274,76.56294863636364,2247.42,False
Bidar CEN Crime PS,Bidar,Bhalki,22,18.05567263636364,77.20690527272728,6279.72,False
Haveri Rural PS,Haveri,Hangal,22,14.81224718181818,75.39759781818181,3477.46,False
Guttal PS,Haveri,Hangal,21,14.771317095238096,75.4728058095238,2142.33,False
Haveri Town PS,Haveri,Byadgi,21,14.777802428571428,75.47655804761905,2602.74,False
Mannalli PS,Bidar,Basavakalyan,21,17.810454571428572,77.51135947619048,3297.05,False
Kowthal PS,Raichur,Raichur,21,16.078992952380954,76.79360047619048,5886.81,False
Chandrashekarpura PS,Tumakuru,Gubbi,21,13.158022,76.72879766666668,1161.31,False
Adur PS,Haveri,Savanur,21,14.819667666666668,75.26780052380953,2009.12,False
Shiggaon PS,Haveri,Shiggaon,21,15.022031095238097,75.27715738095237,7362.73,False
Ilakal Rural PS,Bagalkote,Bagalkot,20,16.0200146,76.0454848,2997.96,False
Basavan Bagewadi PS,Vijayapura,Indi,20,16.5766527,75.7276143,4273.24,False
Hokrana PS,Bidar,Bhalki,20,18.02652575,77.22590165,4540.01,False
K.R. Sagar PS,Mandya,Nagamangala,20,12.56420425,76.54896435,5663.9,False
Gabbur PS,Raichur,Arakera,20,16.267928700000002,77.16682195,4984.8,False
Ashokpuram PS,Mysuru,Nanjangud,20,12.1596364,76.60396184999999,6972.92,False
Mandya CEN Crime PS,Mandya,Nagamangala,20,12.91025625,76.8217899,5143.52,False
Mudbi PS,Bidar,Bidar,20,17.76701885,77.11444725,6096.55,False
Hansabhavi PS,Haveri,Hangal,20,14.5550924,75.3061177,8936.69,False
Hutti PS,Raichur,Maski,19,16.20374452631579,76.67455705263158,4979.34,False
Malavalli Town PS,Mandya,Krishnarajpet,19,12.696665789473684,76.82813357894736,4746.53,False
Nagamangala Town PS,Mandya,Nagamangala,19,13.412853578947368,76.48457468421053,1698.85,False
Sirwar PS,Raichur,Lingasugur,19,16.209984631578948,77.05965505263158,6725.3,False
Krishnaraja PS,Mysuru,Piriyapatna,19,12.458250157894737,76.71097863157894,3994.35,False
Deveraja Traffic PS,Mysuru,Piriyapatna,19,12.72065389473684,76.69457036842105,4393.02,False
Janwada PS,Bidar,Bhalki,19,17.993267947368423,77.45123247368421,1285.99,False
Revoor PS,Kalaburagi,Chincholi,19,17.30890642105263,76.47422642105262,4760.23,False
Shahabad Town PS,Kalaburagi,Sedam,19,17.150959842105266,76.9102592105263,3414.67,False
Mehakar PS,Bidar,Homnabad,19,17.806859368421055,77.10094115789474,4038.29,False
Marihal PS,Belagavi,Hukkeri,19,15.932983263157894,74.66087505263158,2961.34,False
Shahapura PS,Belagavi,Khanapur,18,15.690773888888891,74.53739444444444,6739.95,False
Belagavi Rural PS,Belagavi,Khanapur,18,15.752719277777778,74.53474383333334,1386.77,False
Madbool PS,Kalaburagi,Kalaburagi,18,17.322293555555557,76.9431843888889,705.75,False
Alanahally PS,Mysuru,Nanjangud,18,12.475024277777775,76.89504611111111,2229.15,False
Udayagiri PS,Mysuru,Hunsur,18,12.6367385,76.7332593888889,3355.49,False
Mandya Central PS,Mandya,Nagamangala,18,12.991305666666667,76.73172205555555,7016.46,False
Bellur PS,Mandya,Krishnarajpet,18,12.843448333333336,76.65689594444444,3711.16,False
K.R. Pet Town PS,Mandya,Nagamangala,18,13.34860861111111,76.47263188888888,5750.72,False
Bijapur Traffic PS,Vijayapura,Muddebihal,18,16.798855,75.85098577777778,4703.01,False
Vinobanagara PS,Shivamogga,Sagar,18,13.958196166666667,75.58908194444444,3592.14,False
Hassan Rural PS,Hassan,Channarayapatna,18,13.387218611111113,75.99034105555556,7033.6,False
Hassan City PS,Hassan,Channarayapatna,18,12.944493055555556,76.71123238888889,5000.7,False
Bhalki Town PS,Bidar,Bidar,17,18.069809117647058,77.22059476470588,4173.34,False
Matala PS,Bidar,Bidar,17,17.887499294117646,77.00817282352942,1011.94,False
UK CEN Crime PS,Uttara Kannada,Sirsi,17,14.72902105882353,74.38927264705883,4955.18,False
Narona PS,Kalaburagi,Aland,17,17.562369705882354,76.78867229411765,11339.11,False
Malur PS,Shivamogga,Sorab,17,13.440147411764706,76.97039976470587,8718.8,False
Jayanagara PS,Shivamogga,Sorab,17,14.24636882352941,75.31675947058824,4412.4,False
K.R. Pet Rural PS,Mandya,Krishnarajpet,17,13.013553647058824,76.53090205882353,2407.44,False
K.M. Doddi PS,Mandya,Krishnarajpet,17,12.892021941176472,76.85458782352941,5226.18,False
Kesthur PS,Mandya,Krishnarajpet,17,12.86120411764706,76.79139476470588,2645.93,False
Channarayapatna Rural PS,Hassan,Hassan,17,13.184503235294116,76.55281517647059,1408.5,False
Vijayapur CEN Crime PS,Vijayapura,Indi,17,16.092703411764706,75.67739717647059,354.36,False
Bijapur rural PS,Vijayapura,Muddebihal,17,16.80379205882353,75.80738088235294,2350.28,False
Jewargi PS,Kalaburagi,Sedam,17,17.008799529411764,76.91304388235295,6306.2,False
Sedam PS,Kalaburagi,Chittapur,17,17.209299235294118,77.02859594117648,1528.07,False
Sedam PS,Kalaburagi,Sedam,16,17.1375361875,77.332066625,1561.62,False
Indi PS,Vijayapura,Sindgi,16,16.78682425,76.1025054375,6423.63,False
Nidagundi PS,Vijayapura,Muddebihal,16,16.342554125,76.015322875,4613.48,False
Devalagangapur PS,Kalaburagi,Sedam,16,17.16686425,76.5633055625,3196.49,False
Banavasi PS,Uttara Kannada,Kumta,16,14.5883059375,74.7732149375,980.03,False
Sanjay Nagar PS,Bengaluru Urban,Anekal,16,12.9832270625,77.592451,402.33,False
Miryan PS,Kalaburagi,Chincholi,16,17.24522975,77.268973,1891.04,False
Banavasi PS,Uttara Kannada,Sirsi,16,14.6188591875,74.8157691875,6184.53,False
Doddapete PS,Shivamogga,Shikarpur,16,14.335297375,75.612996125,3643.06,False
Joida PS,Uttara Kannada,Sirsi,16,15.194525625,74.512409625,3469.71,False
Kadra PS,Uttara Kannada,Siddapur,15,14.863419666666664,74.4048642,392.27,False
Shanthigrama PS,Hassan,Hassan,15,12.993542733333332,76.26967826666667,4677.28,False
Babaleshwar PS,Vijayapura,Muddebihal,15,15.922178466666669,75.56759973333332,8617.05,False
Shivamogga CEN Crime PS,Shivamogga,Sagar,15,13.905598199999998,75.55016526666667,3753.59,False
Karwar Traffic PS,Uttara Kannada,Sirsi,15,14.7042896,74.53405226666668,18988.24,False
Adarsh Nagar PS,Vijayapura,Nidagundi,15,16.837339800000002,75.73648513333333,4228.7,False
Golgumbaz PS,Vijayapura,Muddebihal,15,16.226607666666666,75.59904766666666,2686.74,False
Kargal PS,Shivamogga,Hosanagara,15,14.141958933333331,74.91378646666666,5138.11,False
Thirthahalli PS,Shivamogga,Hosanagara,14,13.665277785714284,75.36106728571428,11465.52,False
Bhatkal Town PS,Uttara Kannada,Sirsi,14,14.310145214285711,74.67233735714285,12332.49,False
Holenarasipura Town PS,Hassan,Arkalgud,14,13.008812857142855,76.529186,2137.94,False
Shimoga East Traffic PS,Shivamogga,Shivamogga,14,13.952779357142855,75.57559157142857,4365.37,False
Sagar Rural PS,Shivamogga,Sorab,14,14.437596428571428,75.03067185714285,6835.64,False
Shikaripura Town PS,Shivamogga,Sorab,14,14.280261071428573,75.31822157142857,5265.45,False
Joida PS,Uttara Kannada,Kumta,14,15.033834142857144,74.49971064285715,7645.68,False
Kumta PS,Uttara Kannada,Sirsi,13,14.203919,75.00420892307692,3124.58,False
Dandeli Rural PS,Uttara Kannada,Sirsi,13,15.230113,74.60526230769231,4050.38,False
Sakaleshpura Rural PS,Hassan,Arkalgud,13,13.889549846153848,76.08030023076923,23545.81,False
Holenarasipura Town PS,Hassan,Arsikere,13,13.522469384615384,76.3112543846154,13718.11,False
Sakaleshpura Rural PS,Hassan,Hassan,13,12.947747076923076,75.96626923076923,4742.0,False
Tumkur Town PS,Tumakuru,Chiknayakanhalli,13,13.29676476923077,76.86681446153847,11080.89,False
Kamakshipalya PS,Bengaluru Urban,Anekal,13,13.005331461538464,77.35183384615385,2269.12,False
Gangammana Gudi PS,Bengaluru Urban,Anekal,12,12.9731695,77.36456425,3441.29,False
Arakalagud PS,Hassan,Hole Narsipur,12,13.112048666666666,76.22557333333333,1508.19,False
Kolala PS,Tumakuru,Tiptur,12,13.136790333333332,76.70682733333334,4209.37,False
Hassan Traffic PS,Hassan,Hassan,12,12.9906395,76.18115516666667,1462.31,False
Tumkur CEN Crime PS,Tumakuru,Chiknayakanhalli,12,13.702992083333331,76.52441908333333,2827.36,False
BIAL Traffic PS,Bengaluru Urban,Anekal,11,13.789852636363635,77.36348209090909,440.42,False
Sadashivanagar Traffic PS,Bengaluru Urban,Bengaluru South,11,12.92437118181818,77.58008436363636,436.43,False
Turuvekere PS,Tumakuru,Tumakuru,11,13.288130545454544,76.77156836363636,2172.94,False
New Extention PS,Tumakuru,Tumakuru,11,13.379677363636365,76.53583790909092,4678.73,False
Madhugiri PS,Tumakuru,Madhugiri,11,13.491312363636364,77.05651518181818,4402.71,False
Thilak Park PS,Tumakuru,Kunigal,11,13.278897454545454,76.91256281818181,14052.23,False
Nonavinakere PS,Tumakuru,Koratagere,11,13.164926727272729,76.83196745454546,9393.28,False
Tumkur Town PS,Tumakuru,Gubbi,10,13.322551100000002,77.0430505,1445.85,False
Kadugondana Halli PS,Bengaluru Urban,Anekal,10,12.8904547,77.6485006,1099.93,False
Yelahanka New Town PS,Bengaluru Urban,Bengaluru North,10,13.1421142,77.5707977,1419.04,False
Hennur PS,Bengaluru Urban,Anekal,10,12.9739127,77.728435,1393.84,False
HSR Layout PS,Bengaluru Urban,Anekal,10,12.9871726,77.7690293,2788.89,False
Cubbonpark Traffic PS,Bengaluru Urban,Anekal,9,13.10590411111111,77.72270544444444,2368.46,False
