district,police_station,clean_name,best_match,score
Bengaluru City,Cubbon Park PS,cubbon park,parkal,72.0
Bengaluru City,Cubbonpark Traffic PS,cubbonpark,parkal,72.0
Bengaluru City,East Zone Women PS,east zone,koodalloor east,85.5
Bengaluru City,Gangammana Gudi PS,gangammana gudi,gudi tanda,85.5
Bengaluru City,H.A.L. PS,h a l,a thekkalur,85.5
Bengaluru City,High Grounds PS,high grounds,high forest estate,85.5
Bengaluru City,High Grounds Traffic PS,high grounds,high forest estate,85.5
Bengaluru City,HSR Lay Out Traffic PS,hsr lay out,surla,72.0
Bengaluru City,HSR Layout PS,hsr layout,mysore university layout,85.5
Bengaluru City,Kumaraswamy Layout PS,kumaraswamy layout,kumaram,83.07692307692308
Bengaluru City,Kumaraswamy Layout Traffic PS,kumaraswamy layout,kumaram,83.07692307692308
Bengaluru City,Mico Layout PS,mico layout,mysore university layout,85.5
Bengaluru City,Mico Layout Traffic PS,mico layout,mysore university layout,85.5
Bengaluru City,North East Women PS,north east,vijayapuri north,85.5
Bengaluru City,Peenya PS,peenya,pedena,83.33333333333334
Bengaluru City,R.M.C. Yard PS,r m c yard,u r k ka malacca,85.5
Bengaluru City,S.J. Park PS,s j park,r s mangalam,85.5
Bengaluru City,Vidhana Soudha PS,vidhana soudha,rudha,80.0
Bengaluru City,Vyalikaval PS,vyalikaval,kavali,81.81818181818181
Bengaluru City,Whitefield PS,whitefield,teki,67.5
Bengaluru City,Whitefield Traffic PS,whitefield,teki,67.5
Bengaluru City,Wilsongarden PS,wilsongarden,kongad,75.00000000000001
Bengaluru City,Wilsongarden Traffic PS,wilsongarden,kongad,75.00000000000001
Bengaluru City,Yelahanka New Town PS,yelahanka new,new erumaivettipalayam,85.5
Bengaluru City,Yelahanka PS,yelahanka,yalahanka,88.88888888888889
Bengaluru Dist,Dobbespet PS,dobbespet,peta,77.14285714285715
Bidar,Bagdal PS,bagdal,bagadala,85.71428571428572
Bidar,Gandhi Gunj PS,gandhi gunj,gandhi nagar b l shed,85.5
Bidar,Hulsoor PS,hulsoor,chuloor,85.71428571428572
