crime_id,crime_datetime,time_slot,district_id,district,taluk_id,taluk,gp_id,gram_panchayat,village_id,village,police_station_name,crime_latitude,crime_longitude,crime_category,crime_type,crime_severity,hotspot_score,victim_age,victim_gender,accused_id,accused_age,accused_gender,fir_registered,case_status,cctv_available,response_time_minutes
CR000021,2025-12-22 06:01:18,Evening,550,Uttara Kannada,5488,Bhatkal,220585.0,Hadavalli,603848,Bastigalmigte (Koppa ),Ramnagar PS,15.415485,74.482084,Crime Against Women,Sexual Harassment,High,38,70,Female,ACC697443,32,Male,Yes,Under Investigation,No,27
CR000022,2024-11-06 06:54:11,Afternoon,539,Hassan,5557,Alur,218210.0,Kunduru,616444,Devihalli,Channarayapatna Traffic PS,12.895554,76.379083,Cyber Crime,OTP Scam,Medium,31,36,Male,ACC00451,33,Female,Yes,Pending Trial,No,45
CR000023,2025-08-13 07:13:51,Afternoon,635,Yadgir,5589,Yadgir,218197.0,Varkanalli,621311,Koilur,Yadgir Women PS,16.762709,77.13061,Economic Crime,Cheating,Medium,31,76,Male,ACC231343,42,Male,Yes,Pending Trial,No,55
CR000024,2025-12-26 15:31:43,Afternoon,548,Tumakuru,5538,Gubbi,220125.0,Allilughatta,611664,Mudlahalli,Pavagada PS,14.069164,77.168856,Cyber Crime,UPI Fraud,Medium,69,39,Female,ACC862725,40,Male,Yes,Closed,Yes,43
CR000025,2025-01-03 17:58:31,Afternoon,550,Uttara Kannada,5484,Ankola,220576.0,Hillur,603398,Hillur,Karwar Rural PS,14.810924,74.126006,Property Crime,Shop Theft,Medium,71,79,Male,ACC858797,18,Female,Yes,Closed,Yes,30
CR000026,2024-10-05 02:00:53,Evening,549,Udupi,7068,Brahmavara,220511.0,Barkur,608777,Kachur,Udupi Traffic PS,13.316784,74.740553,Rural Crime,Cattle Theft,Medium,84,31,Male,ACC924956,18,Male,Yes,Pending Trial,No,31
CR000027,2025-09-25 07:13:48,Morning,525,Bengaluru Urban,5544,Bengaluru East,,Unknown,939499,Belur,Kumbalagudu PS,12.858489,77.434515,Crime Against Women,Sexual Harassment,High,84,39,Female,ACC610093,58,Female,Yes,Closed,No,16
CR000028,2025-05-12 13:49:51,Evening,530,Vijayapura,5450,Indi,216561.0,Basanal,599235,Basanal,Bijapur Traffic PS,16.842819,75.72639,Property Crime,Shop Theft,Medium,93,25,Female,ACC00307,51,Female,No,Charge Sheet Filed,No,56
CR000029,2025-02-18 00:37:14,Night,539,Hassan,5557,Alur,218211.0,Madabalu,616308,Hullahalli,Dudda PS,13.085297,76.188919,Public Order,Illegal Gambling,Medium,38,45,Male,ACC949942,42,Male,Yes,Pending Trial,Yes,44
CR000030,2025-03-08 23:09:54,Evening,631,Bengaluru South,5608,Kanakapura,215526.0,Kallahalli,626453,Tigalarahalli,Kanakapura Traffic PS,12.537623,77.435829,Violent Crime,Assault,Critical,12,80,Female,ACC00307,48,Male,Yes,Pending Trial,Yes,7
CR000031,2026-04-23 04:29:22,Late Night,536,Dharwad,5477,Kundgol,273031.0,Devanur,602524,Devanur,Gokul Road PS,15.351889,75.10899,Violent Crime,Robbery,Critical,8,77,Male,ACC00113,35,Male,Yes,Pending Trial,Yes,15
CR000032,2025-03-30 19:40:22,Night,545,Mysuru,7098,Saraguru,219465.0,Sagare,619076,Sagare,Nanjanagudu Rural PS,12.648362,76.394167,Crime Against Women,Domestic Violence,High,48,54,Female,ACC082389,38,Male,Yes,Pending Trial,No,13
CR000033,2025-10-13 23:27:22,Evening,533,Chitradurga,5505,Chitradurga,217086.0,Turuvanur,605502,Upparatti,Chitradurga CEN Crime PS,14.132103,76.248301,Public Order,Rioting,Medium,29,48,Male,ACC00419,61,Male,Yes,Closed,No,54
CR000034,2025-09-08 10:38:27,Afternoon,539,Hassan,5554,Belur,218311.0,Kesagodu,615428,Vaderahalli,Belur PS,13.189765,75.868891,Public Order,Illegal Gambling,Medium,67,54,Male,ACC869122,40,Female,Yes,Under Investigation,No,44
CR000035,2024-10-02 13:35:08,Evening,530,Vijayapura,7123,Almel,216651.0,Kadani,599294,Tavarkhed (Old),Golgumbaz PS,16.813532,75.747583,Public Order,Illegal Liquor,Medium,42,27,Male,ACC354618,27,Male,Yes,Charge Sheet Filed,Yes,26
CR000036,2025-10-13 10:41:48,Night,545,Mysuru,5572,Mysuru,,Unknown,618835,Sathagalli (Og),Krishnaraja Traffic PS,12.304012,76.66333,Crime Against Women,Domestic Violence,High,68,34,Female,ACC466174,22,Female,Yes,Pending Trial,Yes,19
CR000037,2024-10-10 18:30:53,Night,526,Bengaluru Rural,5601,Nelamangala,215596.0,Yentaganahalli,624919,Hanchipura,Thyamagondlu PS,13.156025,77.344865,Public Order,Illegal Gambling,Medium,19,22,Male,ACC00479,32,Male,No,Pending Trial,Yes,44
CR000038,2025-02-01 16:25:26,Evening,545,Mysuru,5575,Tirumakudal - Narsipur,219639.0,Beedanahalli,619329,Yadahalli,Biligere PS I Badanavalu,12.424415,76.456099,Economic Crime,Financial Fraud,Medium,78,76,Male,ACC683727,31,Male,Yes,Charge Sheet Filed,No,52
CR000039,2025-09-23 20:35:43,Afternoon,539,Hassan,5555,Arsikere,,Unknown,615565,Shanegere,Halebeedu PS,13.232934,76.011269,Violent Crime,Murder,Critical,89,52,Male,ACC00024,49,Male,Yes,Under Investigation,No,5
CR000040,2025-12-01 04:40:32,Morning,548,Tumakuru,5537,Tumakuru,,Unknown,938656,Tumakuru,Tiptur Town PS,13.163133,76.285062,Economic Crime,Financial Fraud,Medium,92,21,Male,ACC643494,61,Male,Yes,Pending Trial,Yes,40
CR000041,2025-09-10 01:53:03,Afternoon,537,Gadag,5469,Ron,217824.0,Kothabal,601939,Tallihal,Gadag Women PS,15.415396,75.626898,Public Order,Illegal Liquor,Medium,64,73,Female,ACC948993,27,Male,Yes,Pending Trial,No,27
CR000042,2025-10-30 21:21:58,Afternoon,630,Chikkaballapura,5595,Gauribidanur,218904.0,Melya,623272,Myalya,Chelur PS,13.249576,76.548877,Rural Crime,Crop Theft,Medium,44,28,Female,ACC00279,56,Male,Yes,Charge Sheet Filed,No,51
CR000043,2024-08-31 14:57:56,Night,545,Mysuru,5570,Hunsur,219486.0,Karimuddanahalli,618492,Karimuddanahalli,Beechanahalli PS,11.586005,76.204185,Violent Crime,Assault,Critical,30,59,Male,ACC316883,46,Male,Yes,Under Investigation,Yes,14
CR000044,2024-11-08 05:29:28,Afternoon,536,Dharwad,5476,Kalghatgi,217688.0,Beeravalli,602516,Rajivanagar,Kundagol PS,15.280774,75.239314,Crime Against Women,Domestic Violence,High,49,51,Female,ACC00451,69,Male,Yes,Pending Trial,No,20
CR000045,2024-09-06 14:34:51,Night,544,Mandya,5552,Malavalli,219291.0,Dugganahalli,614673,Hullegala,Maddur Traffic PS,12.600161,77.046357,Cyber Crime,Phishing,Medium,62,59,Male,ACC336956,40,Male,Yes,Charge Sheet Filed,Yes,37
CR000046,2025-01-30 04:22:54,Afternoon,538,Kalaburagi,5580,Aland,217922.0,Tadakal,620017,Sukarwadi,Narona PS,17.529425,76.721468,Violent Crime,Attempt to Murder,Critical,35,51,Male,ACC127882,66,Male,Yes,Charge Sheet Filed,No,11
CR000047,2024-08-11 15:28:39,Evening,547,Shivamogga,5521,Bhadravati,219869.0,Tavaragatta,608655,Malenahalli,Agumbe PS,13.497086,75.091772,Violent Crime,Assault,Critical,25,54,Male,ACC00434,34,Female,Yes,Charge Sheet Filed,Yes,10
CR000048,2024-09-05 00:35:20,Afternoon,545,Mysuru,7098,Saraguru,219461.0,N.Begur,619093,Aiyyanapura,Metagalli PS,12.337433,76.61593,Violent Crime,Murder,Critical,17,57,Male,ACC281465,20,Male,Yes,Under Investigation,Yes,7
CR000049,2024-10-06 11:01:29,Evening,536,Dharwad,5476,Kalghatgi,217713.0,Ugginakeri,602461,Kamadhenu,Hubli Sub-Urban PS,15.347083,75.150592,Rural Crime,Cattle Theft,Medium,25,53,Male,ACC613336,67,Female,Yes,Pending Trial,No,29
CR000050,2025-06-02 01:55:54,Morning,527,Belagavi,7195,Yaragatti,216036.0,Yarazarvi,598180,Nugganatti,Agali PS,16.770121,75.248444,Crime Against Women,Domestic Violence,High,12,70,Female,ACC125314,55,Female,Yes,Closed,No,19
CR000051,2026-05-22 03:52:20,Afternoon,527,Belagavi,5441,Savadatti,216002.0,Goravanakolla,598246,Saundatti (Rural),Gokak Rural PS,16.181604,74.796318,Rural Crime,Sand Mining,Medium,61,41,Male,ACC00003,20,Female,Yes,Pending Trial,No,35
CR000052,2025-09-06 22:03:45,Afternoon,545,Mysuru,5570,Hunsur,273325.0,Udduru,618432,Nadappanahalli,Biligere PS I Badanavalu,12.415426,76.44997,Crime Against Women,Domestic Violence,High,37,73,Female,ACC347494,52,Female,Yes,Pending Trial,No,22
CR000053,2025-10-24 17:48:01,Evening,540,Haveri,5495,Ranibennur,218597.0,Halageri,604545,Haligeri,Halageri PS,14.537179,75.593054,Cyber Crime,OTP Scam,Medium,68,49,Male,ACC510101,58,Male,Yes,Charge Sheet Filed,No,20
CR000054,2025-01-09 21:14:31,Night,550,Uttara Kannada,5487,Honavar,220621.0,Hadinbal,603785,Berolli,Yellapura PS,14.964989,74.720535,Public Order,Illegal Liquor,Medium,60,24,Female,ACC509459,28,Female,No,Charge Sheet Filed,Yes,26
CR000055,2024-09-09 09:36:24,Late Night,533,Chitradurga,5508,Hiriyur,217093.0,Dindavara,606190,Dindavara,Srirampura PS,13.007132,77.546267,Violent Crime,Robbery,Critical,91,24,Male,ACC595496,58,Female,Yes,Pending Trial,Yes,15
CR000056,2024-11-26 05:09:09,Evening,524,Bagalkote,7063,Rabakavi Banahatti,215300.0,Madhabavi,598560,Sanganatti,Bilagi PS,16.360924,75.62483,Crime Against Women,Domestic Violence,High,27,35,Female,ACC417425,59,Female,Yes,Charge Sheet Filed,Yes,14
CR000057,2025-09-21 14:49:30,Evening,550,Uttara Kannada,5486,Siddapur,220708.0,Nilkund,603530,Kanchikai,UK CEN Crime PS,14.811734,74.125656,Rural Crime,Crop Theft,Medium,90,20,Female,ACC176574,44,Female,Yes,Closed,No,43
CR000058,2024-10-17 04:42:39,Night,550,Uttara Kannada,5481,Yellapur,220766.0,Mavinmane,602904,Benadaguli,UK CEN Crime PS,14.799398,74.141128,Cyber Crime,OTP Scam,Medium,45,37,Female,ACC243143,42,Male,Yes,Pending Trial,Yes,53
CR000059,2025-03-09 13:50:43,Afternoon,529,Bidar,5457,Bidar,216420.0,Kaplapur (A),600198,Kolhar (B),Janwada PS,17.991569,77.481577,Crime Against Women,Domestic Violence,High,53,76,Female,ACC015855,69,Male,Yes,Under Investigation,No,21
CR000060,2024-08-08 05:41:17,Evening,630,Chikkaballapura,5600,Chintamani,218873.0,Raguttahalli,624405,Gudivabanahalli,Chelur PS,13.254953,76.560798,Economic Crime,Forgery,Medium,31,35,Female,ACC819904,40,Female,Yes,Under Investigation,Yes,41
CR000061,2024-12-17 07:06:00,Night,525,Bengaluru Urban,5543,Bengaluru South,,Unknown,938455,Pattanagere,Thalaghattapura PS,12.852358,77.549781,Crime Against Women,Domestic Violence,High,62,27,Female,ACC002756,70,Female,Yes,Pending Trial,No,23
CR000062,2025-02-09 04:23:37,Night,533,Chitradurga,5504,Challakere,217046.0,Sanikere,605351,Kammathmarikunte,Chitradurga CEN Crime PS,14.130271,76.254121,Cyber Crime,Phishing,Medium,23,78,Male,ACC208648,23,Female,Yes,Charge Sheet Filed,Yes,47
CR000063,2024-08-05 17:07:54,Night,546,Raichur,7101,Maski,219730.0,Santhekallur,600499,Bendarkarlkunti,Mudgal PS,16.01221,76.454784,Violent Crime,Assault,Critical,27,25,Female,ACC500303,22,Male,Yes,Closed,No,12
CR000064,2026-06-10 19:26:53,Morning,543,Koppal,5467,Koppal,219123.0,Hatti,601729,Hatti,Kushtagi PS,15.76707,76.208502,Property Crime,House Burglary,Medium,40,77,Female,ACC475558,55,Female,Yes,Closed,Yes,21
CR000065,2025-07-24 02:34:38,Evening,533,Chitradurga,5504,Challakere,217040.0,Obalapura,605319,Chikkabadihalli,Chitrahalli Gate PS,14.093844,76.289088,Economic Crime,Financial Fraud,Medium,63,62,Female,ACC00111,39,Male,No,Under Investigation,No,44
CR000066,2025-04-29 03:58:07,Late Night,532,Chikkamagaluru,5530,Chikkamagaluru,216807.0,Hiregouja,609766,Karehalli,Koppa PS,12.721829,76.975788,Violent Crime,Robbery,Critical,66,59,Male,ACC414894,36,Male,Yes,Under Investigation,Yes,10
CR000067,2025-01-13 14:32:53,Afternoon,534,Dakshina Kannada,5561,Mangaluru,217299.0,Ganjimata,617505,Badagaulipady (Ct),Mangalore East PS,12.879685,74.85266,Economic Crime,Forgery,Medium,92,76,Male,ACC225685,28,Female,No,Pending Trial,Yes,45
CR000068,2025-08-28 23:16:44,Morning,738,Vijayanagara,5498,Hosapete,216193.0,Byluvaddigeri,604742,Kakubal,Cowlbazar PS,15.134119,76.887459,Cyber Crime,UPI Fraud,Medium,62,27,Female,ACC00272,35,Female,Yes,Closed,No,30
CR000069,2025-02-23 13:41:21,Evening,545,Mysuru,5572,Mysuru,219540.0,Gungaralachathra,618700,Dadadakallahalli,Devaraja PS,12.327471,76.649879,Crime Against Women,Domestic Violence,High,95,65,Female,ACC00397,67,Female,Yes,Closed,No,24
CR000070,2025-02-17 04:13:41,Evening,540,Haveri,5491,Hangal,218483.0,Balabeeda,604147,Balambeed,Byadagi PS,14.671557,75.504064,Public Order,Illegal Liquor,Medium,18,61,Male,ACC150375,20,Female,Yes,Under Investigation,No,30
CR000071,2024-10-30 17:23:47,Morning,548,Tumakuru,5540,Turuvekere,220413.0,Soravanahalli,612387,Soravanahalli,Sira PS,13.458108,76.556667,Cyber Crime,Phishing,Medium,59,58,Female,ACC858560,31,Female,Yes,Under Investigation,No,29
CR000072,2026-02-12 06:48:28,Night,535,Davanagere,5512,Davanagere,217483.0,Kadlebalu,606549,Arasapura,Malebennur PS,14.364029,75.726416,Cyber Crime,Phishing,Medium,59,58,Female,ACC842273,46,Female,Yes,Closed,Yes,33
CR000073,2025-11-07 01:27:10,Night,548,Tumakuru,5534,Pavagada,220267.0,Kotagudda,610600,Madlerahalli,Chikkanayakanahalli PS,13.25042,76.352619,Property Crime,Vehicle Theft,Medium,83,70,Female,ACC588701,67,Male,Yes,Charge Sheet Filed,Yes,49
CR000074,2024-12-23 04:57:14,Afternoon,545,Mysuru,5570,Hunsur,219471.0,Bilikere,618456,Bommalapura,Periyapatna PS,12.186186,76.524059,Public Order,Illegal Gambling,Medium,60,34,Male,ACC257438,39,Female,Yes,Charge Sheet Filed,No,28
CR000075,2026-06-06 11:51:01,Evening,534,Dakshina Kannada,5562,Bantval,217207.0,Idkidu,617593,Kula,DK CEN Crime PS,12.861515,74.853577,Economic Crime,Financial Fraud,Medium,32,65,Female,ACC00092,56,Female,Yes,Closed,No,36
CR000076,2025-02-26 13:57:50,Night,524,Bagalkote,7398,Terdal,215259.0,Golabavi,598420,Golbhavi,Kaladagi PS,16.218136,75.516335,Cyber Crime,UPI Fraud,Medium,83,71,Male,ACC00221,31,Male,Yes,Pending Trial,No,57
CR000077,2025-07-27 15:49:07,Morning,524,Bagalkote,5447,Bagalkot,273095.0,Devanal,598778,Devanal,Bagalkot Women PS,16.109538,75.665251,Violent Crime,Murder,Critical,32,70,Male,ACC00234,69,Male,Yes,Under Investigation,Yes,15
CR000078,2024-09-24 11:09:42,Night,548,Tumakuru,5535,Madhugiri,220217.0,Bedathuru,610866,Malagondanahalli,Tumkur Traffic PS,13.344796,77.094449,Violent Crime,Robbery,Critical,72,27,Male,ACC00349,39,Female,Yes,Pending Trial,Yes,13
CR000079,2025-11-01 11:13:38,Morning,547,Shivamogga,5521,Bhadravati,219858.0,Kudligere,939735,Kodihalli(Kudlagere),Shikaripura Rural PS,14.256857,75.340722,Economic Crime,Cheating,Medium,18,27,Male,ACC951690,35,Female,Yes,Pending Trial,Yes,22
CR000080,2025-07-27 22:23:37,Morning,545,Mysuru,5572,Mysuru,,Unknown,618833,Hebbalu (Og),Periyapatna PS,12.191704,76.517598,Crime Against Women,Domestic Violence,High,38,31,Female,ACC207230,60,Male,Yes,Charge Sheet Filed,No,22
CR000081,2025-06-05 18:09:34,Night,544,Mandya,5547,Nagamangala,219383.0,Kanthapura,613985,Kanthapura,Halagur PS,12.434374,77.232716,Property Crime,Chain Snatching,Medium,81,68,Female,ACC00112,63,Female,Yes,Pending Trial,Yes,48
CR000082,2026-02-28 05:14:26,Night,547,Shivamogga,5518,Hosanagara,219900.0,Sulagodu,608048,Karigallu,Vinobanagara PS,13.96887,75.557412,Crime Against Women,Sexual Harassment,High,75,78,Female,ACC00323,59,Female,No,Pending Trial,Yes,18
CR000083,2025-06-09 00:45:18,Evening,548,Tumakuru,5535,Madhugiri,220223.0,Chikkadaalavatta,610879,Hosa Itakaloti,Bellavi PS,13.583439,77.006288,Violent Crime,Murder,Critical,22,36,Male,ACC00261,26,Male,Yes,Pending Trial,No,12
CR000084,2026-01-11 23:29:19,Afternoon,540,Haveri,5491,Hangal,218494.0,Honkana,604181,Lakmapur (Inam),Kaginele PS,14.681186,75.338578,Rural Crime,Sand Mining,Medium,13,27,Female,ACC727180,36,Female,No,Charge Sheet Filed,Yes,60
CR000085,2024-08-28 19:24:40,Late Night,530,Vijayapura,7072,Kolhar,216497.0,Ronihal,599451,Kubakaddi,Vijayapura Women PS,16.832804,75.697525,Property Crime,Vehicle Theft,Medium,45,54,Female,ACC689093,22,Male,Yes,Charge Sheet Filed,Yes,38
CR000086,2025-03-19 01:56:10,Morning,544,Mandya,5548,Pandavapura,219396.0,Dinka,614122,Dinka,Malavalli Town PS,12.387239,77.067663,Public Order,Rioting,Medium,91,49,Male,ACC00112,68,Female,Yes,Closed,Yes,53
CR000087,2024-08-18 20:07:40,Night,738,Vijayanagara,5498,Hosapete,216198.0,Gadiganur,604745,Gadiganur,Hatcholli PS,15.775628,76.998678,Rural Crime,Cattle Theft,Medium,46,24,Female,ACC688176,37,Female,Yes,Pending Trial,Yes,24
CR000088,2026-02-09 04:21:49,Night,544,Mandya,5552,Malavalli,219314.0,Settihalli,614667,Maganur,Halagur PS,12.429743,77.231408,Violent Crime,Robbery,Critical,54,36,Male,ACC00330,41,Female,Yes,Under Investigation,Yes,7
CR000089,2025-11-24 06:14:54,Night,548,Tumakuru,5533,Sira,272822.0,Talagunda,610473,Matanahalli,Tumkur Traffic PS,13.32293,77.110055,Crime Against Women,Domestic Violence,High,94,26,Female,ACC209613,51,Female,Yes,Closed,Yes,29
CR000090,2025-11-17 18:14:02,Late Night,526,Bengaluru Rural,5601,Nelamangala,215591.0,Sompura,624739,Karimanne,Sarjapura PS,12.861084,77.763544,Property Crime,Vehicle Theft,Medium,14,30,Male,ACC00429,33,Male,No,Charge Sheet Filed,Yes,31
CR000091,2025-02-24 04:20:37,Morning,539,Hassan,5554,Belur,218316.0,Madaghatta,615449,Doddihalli,Gandasi PS,13.162365,76.29065,Cyber Crime,OTP Scam,Medium,88,64,Female,ACC067130,46,Female,Yes,Closed,No,60
CR000092,2025-03-20 19:12:33,Morning,546,Raichur,5463,Sindhnur,219818.0,Javalgera,601155,Jawalgera,Idapanur PS,16.002951,77.453691,Economic Crime,Forgery,Medium,21,26,Male,ACC280770,31,Male,No,Under Investigation,Yes,60
CR000093,2025-11-13 04:34:38,Night,630,Chikkaballapura,5598,Bagepalli,218785.0,Thollapalli,623920,Agatamdike,Nandi Giridhama PS,13.402497,77.711178,Property Crime,Chain Snatching,Medium,48,80,Female,ACC167591,45,Male,Yes,Under Investigation,Yes,28
CR000094,2025-10-16 22:58:33,Afternoon,525,Bengaluru Urban,5545,Anekal,,Unknown,613269,Laxmi Sagara,Wilsongarden PS,12.964207,77.578584,Public Order,Illegal Liquor,Medium,63,76,Female,ACC314480,28,Female,Yes,Pending Trial,No,45
CR000095,2025-11-18 14:33:30,Morning,538,Kalaburagi,5586,Jevargi,218030.0,Ankalga,620718,Ankalga,Miryan PS,17.221964,77.28759,Cyber Crime,Phishing,Medium,59,77,Male,ACC00280,35,Female,No,Closed,Yes,36
CR000096,2025-02-20 22:12:35,Night,527,Belagavi,5438,Belagavi,215719.0,Sulebhavi,597756,Chandur,Ramadurga PS,15.958493,75.287968,Property Crime,Chain Snatching,Medium,7,49,Male,ACC845560,34,Female,Yes,Pending Trial,Yes,51
CR000097,2025-03-22 02:17:45,Morning,542,Kolar,5591,Kolar,218939.0,Kondarajanahalli,622012,Kadripura,Srinivasapura PS,13.330328,78.20849,Cyber Crime,OTP Scam,Medium,93,33,Male,ACC00383,25,Female,No,Charge Sheet Filed,No,46
CR000098,2026-03-12 15:34:10,Night,540,Haveri,5490,Savanur,218635.0,Shirabadagi,604013,Shirabadgi,Shiggaon PS,15.007697,75.211491,Public Order,Illegal Liquor,Medium,54,54,Male,ACC00289,56,Female,Yes,Charge Sheet Filed,Yes,45
CR000099,2024-08-08 11:31:39,Evening,544,Mandya,5546,Krishnarajpet,219225.0,Madapura,613366,Gudehosahalli,Mandya Central PS,12.530171,76.875301,Violent Crime,Assault,Critical,59,41,Male,ACC748698,24,Male,Yes,Charge Sheet Filed,No,12
CR000100,2025-03-11 10:58:46,Afternoon,630,Chikkaballapura,5596,Chikkaballapura,218829.0,Dibburu,623529,Settivarahalli,Peresandra PS,13.570122,77.788002,Economic Crime,Financial Fraud,Medium,79,39,Female,ACC00273,32,Male,Yes,Under Investigation,Yes,36
CR000101,2024-10-14 20:25:01,Night,547,Shivamogga,5517,Shikarpur,219978.0,Tharalagatta,607804,Thimlapura,Kargal PS,14.202325,74.813757,Public Order,Illegal Liquor,Medium,55,51,Female,ACC00023,27,Male,Yes,Closed,Yes,55
CR000102,2025-01-06 14:51:17,Morning,546,Raichur,7403,Arakera,219671.0,Alkod,600704,Akalkumpi,Balaganoor PS,15.968605,76.731321,Economic Crime,Cheating,Medium,42,51,Male,ACC713774,50,Female,Yes,Closed,No,60
