village_id,gp_id,gp_name
597402,216082,Hidkal
597404,273243,Khanadal
597405,216103,Savsuddi
597406,216087,Katakbhavi
597407,216087,Katakbhavi
597408,216084,Itnal
597409,216086,Kappalgudi
597410,216099,Palbhavi
597411,216086,Kappalgudi
597412,216080,Handigund
597413,216086,Kappalgudi
597414,273235,Dandapura
597415,215888,Tukkanatti
597417,273238,Khanatti
597418,273238,Khanatti
597419,215855,Hallur
597420,215882,Shivapur (H)
597421,273238,Khanatti
597422,215875,Munyal
597423,215875,Munyal
597424,215875,Munyal
597425,215849,Dharmatti
597426,273240,Patagundi
597427,273236,Gujanatti
597428,273236,Gujanatti
597430,215880,Rajapur
597431,215852,Duradundi
597432,273235,Dandapura
597433,215845,Badigavad
597434,215879,Phamaladinni
597436,215878,Nandagaon
597437,215878,Nandagaon
597438,215878,Nandagaon
597439,215863,Konnur (Rural)
597440,215863,Konnur (Rural)
597441,215863,Konnur (Rural)
597443,215883,Sidhikurabet
597445,215867,Lolasur
597446,215877,Nallanatti
597447,215877,Nallanatti
597449,216048,Hanamapur
597450,215846,Balobal
597451,215846,Balobal
597452,215858,Hunashyala P G
597453,215890,Vaderahatti
597454,215890,Vaderahatti
597455,215873,Masaguppi
597456,215866,Kundaragi
597457,215867,Lolasur
597458,215862,Kolavi
597459,215870,Maladinni
597460,215870,Maladinni
597461,215872,Mamadapur
597462,215872,Mamadapur
597463,215872,Mamadapur
597464,215847,Benachinamardi
597465,215862,Kolavi
597466,215887,Tawaga
597467,273234,Benachinamaradi
597468,215847,Benachinamardi
597469,215847,Benachinamardi
597470,215847,Benachinamardi
597471,215866,Kundaragi
597472,215866,Kundaragi
597473,215854,Gujanal
597474,215854,Gujanal
597477,215868,Madaval
597478,215868,Madaval
597479,215868,Madaval
597480,215887,Tawaga
597481,215861,Khanagaon
597482,215862,Kolavi
597483,215869,Makkalageri
597484,215856,Hirenandi
597485,215856,Hirenandi
597486,215856,Hirenandi
597487,215869,Makkalageri
597488,215881,Shiltibhavi
597489,215861,Khanagaon
597490,273239,Midakanatti
597491,215868,Madaval
597494,215885,Sunadholi
597495,215854,Gujanal
597496,215854,Gujanal
597497,215884,Suladhala
597498,215884,Suladhala
597500,273239,Midakanatti
597501,215861,Khanagaon
597502,215861,Khanagaon
597503,215881,Shiltibhavi
597504,215869,Makkalageri
597505,215881,Shiltibhavi
597506,215857,Hunashyal P Y
597507,215857,Hunashyal P Y
597508,215850,Dhavaleshwar
597509,215850,Dhavaleshwar
597510,215844,Avaradi
597511,215844,Avaradi
597512,215844,Avaradi
597513,215844,Avaradi
597514,273237,Kamanakatti
597515,273237,Kamanakatti
597516,273237,Kamanakatti
597517,215891,Yadawad
597518,215844,Avaradi
597519,215865,Kulagod
597520,215857,Hunashyal P Y
597521,215857,Hunashyal P Y
597522,215885,Sunadholi
597524,215885,Sunadholi
597525,274212,Tigadi
597526,274212,Tigadi
597527,215886,Talakatnal
597528,215889,Udagatti
597529,215889,Udagatti
597530,215889,Udagatti
597531,215874,Melawanki
597532,215874,Melawanki
597533,215874,Melawanki
597534,273242,Tapasi
597535,215848,Betageri
597536,273242,Tapasi
597537,215886,Talakatnal
597538,215853,Gosabal
597539,215853,Gosabal
597540,215853,Gosabal
597541,215859,Kalliguddi
597542,215864,Koujalagi
597543,215859,Kalliguddi
597544,215859,Kalliguddi
597545,215910,Hittani
597546,215910,Hittani
597547,215926,Mathiwade
597548,215926,Mathiwade
597549,215894,B Alur
597550,215894,B Alur
597551,215894,B Alur
597552,215926,Mathiwade
597553,215920,Konankeri
597554,215920,Konankeri
597555,215920,Konankeri
597556,215916,Kanagala
597557,215896,Bad
597558,215936,Solapur
597559,215908,Haragapur
597560,215896,Bad
597561,215918,Kesthi
597562,215918,Kesthi
597563,215918,Kesthi
597564,215902,Borgal
597565,215902,Borgal
597566,215892,Ammangi
597567,215892,Ammangi
597568,215929,Nedasosi
597569,215893,Ankali
597570,215905,Gotur
597571,215915,Kamatnur
597572,215930,Nerali
597573,215930,Nerali
597574,215915,Kamatnur
597575,215905,Gotur
597576,215909,Hebbal
597577,215919,Kocheri
597578,215907,Hanchinal
597579,215939,U Khanapur
597580,215907,Hanchinal
597581,215923,Kurani
597582,215923,Kurani
597583,215919,Kocheri
597584,215940,Yadagud
597585,215900,Belavi
597586,215900,Belavi
597587,215934,Sarapur
597588,215934,Sarapur
597589,215934,Sarapur
597590,215895,B Bagewadi
597591,215895,B Bagewadi
597592,274150,Shiradaana
597593,274150,Shiradaana
597594,215906,Gudas
597595,215922,Kotabagi
597596,215913,Hulloli
597597,215913,Hulloli
597598,215942,Yelimunalli
597599,215942,Yelimunalli
597600,215942,Yelimunalli
597601,215922,Kotabagi
597602,215924,Madhihalli
597603,215922,Kotabagi
597604,215924,Madhihalli
597605,215937,Sulthanaput
597606,215937,Sulthanaput
597607,215937,Sulthanaput
597608,215901,Benawad
597609,215901,Benawad
597610,215899,Bastwad
597611,215897,Badakundhri
597612,215897,Badakundhri
597613,215897,Badakundhri
597614,215912,Hosur
597615,215912,Hosur
597616,215912,Hosur
597617,215911,Hospet
597618,215911,Hospet
597619,215932,Rustampur
597620,215917,Karaguppi
597621,215911,Hospet
597622,215911,Hospet
597623,215904,Gotageri
597624,215927,Mavanur
597625,215904,Gotageri
597626,215938,Thana Hatergi
597627,215941,Yamakanmardi
597628,215907,Hanchinal
597629,215941,Yamakanmardi
597630,215925,Managuthi
597631,215938,Thana Hatergi
597632,215925,Managuthi
597633,215925,Managuthi
597634,215925,Managuthi
597635,215928,Naganur K D
597636,215928,Naganur K D
597637,215928,Naganur K D
597638,215928,Naganur K D
597639,215903,Daddi
597640,215921,Kot
597641,215921,Kot
597642,215921,Kot
597643,215933,Salamwadi
597644,215933,Salamwadi
597645,215921,Kot
597646,215933,Salamwadi
597647,215903,Daddi
597648,215903,Daddi
597649,215914,Islampur
597650,215914,Islampur
597651,215935,Shabandar
597652,215935,Shabandar
597653,215935,Shabandar
597654,215935,Shabandar
597655,215898,Basapur
597656,215898,Basapur
597657,215898,Basapur
597658,215898,Basapur
597659,215914,Islampur
597660,215917,Karaguppi
597661,215917,Karaguppi
597662,215932,Rustampur
597663,215932,Rustampur
597664,215932,Rustampur
597665,215931,Pachapur
597666,215931,Pachapur
597667,215927,Mavanur
597668,215694,Hosa Vantamari
597669,215694,Hosa Vantamari
597670,215680,Bambarga
597671,215680,Bambarga
597672,215694,Hosa Vantamari
597673,215694,Hosa Vantamari
597674,215694,Hosa Vantamari
597675,215693,Honga
597676,215680,Bambarga
597677,215691,Handiganur
597678,215691,Handiganur
597679,215680,Bambarga
597680,215691,Handiganur
597681,215691,Handiganur
597682,215671,Agasage
597683,215671,Agasage
597684,215701,Kedhanur
597685,215701,Kedhanur
597686,215671,Agasage
597687,215697,Kadoli
597690,215700,Kangrali K.H
597691,215699,Kangrali B.K
597692,215693,Honga
597694,215698,Kakti
597695,215714,Rangadolhi
597697,215714,Rangadolhi
597698,215714,Rangadolhi
597699,215714,Rangadolhi
597700,215714,Rangadolhi
597701,215714,Rangadolhi
597702,215695,Hudali
597703,215721,Thumergudi
597704,215721,Thumergudi
597706,273228,Kalakhamba
597707,215708,Muchhandi
597708,215675,Aste
597709,215675,Aste
597710,215682,Bekkinkeri
597711,215682,Bekkinkeri
597712,215694,Hosa Vantamari
597713,215672,Ambewadi
597714,215672,Ambewadi
597715,215672,Ambewadi
597716,215718,Sulage(U)
597717,215718,Sulage(U)
597718,215723,Uchangaon
597720,215722,Turmari
597721,215722,Turmari
597722,215703,Kudramani
597723,215684,Belgundhi
597724,215684,Belgundhi
597725,215684,Belgundhi
597727,215705,Mandoli
597728,215705,Mandoli
597729,215687,Bijagarni
597731,215687,Bijagarni
597732,215687,Bijagarni
597733,215683,Belawatti
597734,215683,Belawatti
597735,215683,Belawatti
597736,215683,Belawatti
597737,215702,Kinye
597738,215702,Kinye
597739,215702,Kinye
597742,215716,Santibastwad
597743,215702,Kinye
597744,215702,Kinye
597745,273232,Waghawade
597746,215688,Desur
597747,215717,Sulage Y
597748,215717,Sulage Y
597749,215711,Nandhihalli
597750,215711,Nandhihalli
597751,215688,Desur
597752,215689,Dhamane S
597753,215717,Sulage Y
597754,215675,Aste
597755,215719,Sulebhavi
597756,215719,Sulebhavi
597757,215721,Thumergudi
597758,273229,Kardiguddi
597759,215706,Marihal
597760,215719,Sulebhavi
597761,273231,Modaga
597762,215679,Balikundir B K
597763,273231,Modaga
597764,215678,Balekundir K H
597765,215712,Nilaji
597766,215712,Nilaji
597767,215707,Mastmardi
597768,215678,Balekundir K H
597769,215720,Tarihal
597770,215720,Tarihal
597771,215707,Mastmardi
597772,215690,Halaga
597773,215681,Bastawada
597774,215707,Mastmardi
597775,215681,Bastawada
597776,215681,Bastawada
597777,215720,Tarihal
597778,215674,Aralikatti
597779,215674,Aralikatti
597780,215674,Aralikatti
597782,215696,K K Koppa
597783,215696,K K Koppa
597784,215673,Ankalagi
597785,215673,Ankalagi
597786,215686,Bendugeri
597787,215676,Badas K H
597788,215676,Badas K H
597789,273230,Kukadolli
597790,215710,Muthnal
597791,215710,Muthnal
597792,215698,Kakti
597794,215700,Kangrali K.H
597795,215699,Kangrali B.K
597796,215719,Sulebhavi
597797,215715,Sambra
597798,215709,Mutaga
597802,215724,Yallur
597803,215988,Parawad
597804,215969,Kanakumbi
597805,215969,Kanakumbi
597806,215988,Parawad
597807,215988,Parawad
597808,215988,Parawad
597809,215969,Kanakumbi
597810,215954,Golalli
597811,215954,Golalli
597812,215954,Golalli
597813,215954,Golalli
597814,215943,Amate
597815,215943,Amate
597816,215943,Amate
597817,215966,Jamboti
597818,215943,Amate
597819,215943,Amate
597820,215944,Bailur
597821,215944,Bailur
597822,215944,Bailur
597823,215944,Bailur
597824,215944,Bailur
597825,215966,Jamboti
597826,215966,Jamboti
597827,215986,Nilawade
597828,215986,Nilawade
597829,215986,Nilawade
597830,215986,Nilawade
597831,215985,Nerase
597832,215986,Nilawade
597833,215986,Nilawade
597834,215986,Nilawade
597835,215986,Nilawade
597836,215986,Nilawade
597837,215986,Nilawade
597838,215982,Nagurda
597839,215982,Nagurda
597840,215944,Bailur
597841,215982,Nagurda
597842,215982,Nagurda
597843,215990,Ramagurwadi
597844,215990,Ramagurwadi
597845,215990,Ramagurwadi
597846,215987,Nittur
597847,215987,Nittur
597848,215964,Iddalahonda
597849,215957,Gurlagunji
597850,215964,Iddalahonda
597851,215964,Iddalahonda
597852,215964,Iddalahonda
597853,215945,Baragaon
597854,215993,Topinakatti
597855,215993,Topinakatti
597856,215951,Devalatti
597857,215976,Lokoli
597858,215976,Lokoli
597859,215993,Topinakatti
597860,215945,Baragaon
597861,215945,Baragaon
597862,215959,Halakarni
597863,215959,Halakarni
597864,215959,Halakarni
597865,215959,Halakarni
597866,215990,Ramagurwadi
597867,215979,Manturga
597868,215971,Karmbla
597869,215971,Karmbla
597870,215971,Karmbla
597871,215971,Karmbla
597872,215945,Baragaon
597873,215990,Ramagurwadi
597874,215976,Lokoli
597875,215976,Lokoli
597876,215976,Lokoli
597877,215976,Lokoli
597878,215951,Devalatti
597879,215989,Parisawad
597880,215962,Hirehattiholi
597881,215962,Hirehattiholi
597882,215962,Hirehattiholi
597883,215962,Hirehattiholi
597884,215963,Hiremunolli
597885,215963,Hiremunolli
597886,215963,Hiremunolli
597887,215974,Kodacawad
597888,215974,Kodacawad
597889,215974,Kodacawad
597890,215950,Chapagaon
597891,215950,Chapagaon
597892,215950,Chapagaon
597893,215950,Chapagaon
597894,215961,Hebbal
597895,215961,Hebbal
597896,215961,Hebbal
597897,215972,Kasaba Nandagad
597898,215972,Kasaba Nandagad
597899,215972,Kasaba Nandagad
597900,215972,Kasaba Nandagad
597901,215947,Bekawad
597902,215947,Bekawad
597903,215974,Kodacawad
597904,215974,Kodacawad
597905,215947,Bekawad
597906,215947,Bekawad
597907,215967,Kadatanabagewadi
597908,215952,Gandigawad
597909,215967,Kadatanabagewadi
597910,215965,Itagi
597911,215965,Itagi
597912,215952,Gandigawad
597913,215992,Shiroli
597914,215992,Shiroli
597915,215992,Shiroli
597916,215992,Shiroli
597917,215985,Nerase
597918,215985,Nerase
597919,215985,Nerase
597920,215992,Shiroli
597921,215992,Shiroli
597922,215992,Shiroli
597923,215985,Nerase
597924,215979,Manturga
597925,215985,Nerase
597926,215992,Shiroli
597927,215992,Shiroli
597928,215980,Mohisett
597929,215980,Mohisett
597930,215980,Mohisett
597931,215956,Gunji
597932,215956,Gunji
597933,215956,Gunji
597934,215992,Shiroli
597935,215979,Manturga
597936,215979,Manturga
597937,215991,Shindolli
597938,215991,Shindolli
597939,215991,Shindolli
597940,215991,Shindolli
597941,215979,Manturga
597942,215991,Shindolli
597943,215956,Gunji
597944,215956,Gunji
597945,215980,Mohisett
597946,215970,Kapoli Kg
597947,215970,Kapoli Kg
597948,215970,Kapoli Kg
597949,215956,Gunji
597950,215956,Gunji
597951,215956,Gunji
597952,215949,Bijagarni
597953,215949,Bijagarni
597954,215949,Bijagarni
597955,215949,Bijagarni
597956,215970,Kapoli Kg
597957,215970,Kapoli Kg
597958,215970,Kapoli Kg
597959,215980,Mohisett
597960,215980,Mohisett
597961,215980,Mohisett
597962,215980,Mohisett
597963,215980,Mohisett
597964,215981,Nagargali
597965,215955,Gotagali
597966,215955,Gotagali
597967,215955,Gotagali
597968,215955,Gotagali
597969,215955,Gotagali
597970,215970,Kapoli Kg
597971,215955,Gotagali
597972,215955,Gotagali
597973,215955,Gotagali
597974,215981,Nagargali
597975,215981,Nagargali
597976,215981,Nagargali
597977,215955,Gotagali
597978,215981,Nagargali
597979,215981,Nagargali
597980,215981,Nagargali
597981,215949,Bijagarni
597982,215960,Halasi
597983,215958,Halaga
597984,215958,Halaga
597985,215958,Halaga
597986,215958,Halaga
597987,215958,Halaga
597988,215958,Halaga
597989,215984,Nanjanakodal
597990,215984,Nanjanakodal
597991,215984,Nanjanakodal
597992,215984,Nanjanakodal
597993,215984,Nanjanakodal
597994,215946,Beedi
597995,215946,Beedi
597996,215952,Gandigawad
597997,215973,Kherawad
597998,215973,Kherawad
597999,215978,Mangenkopp
598000,215978,Mangenkopp
598001,215946,Beedi
598002,215946,Beedi
598003,215948,Bhurunaki
598004,215948,Bhurunaki
598005,215948,Bhurunaki
598006,215948,Bhurunaki
598007,215953,Godoli
598008,215981,Nagargali
598009,215953,Godoli
598010,215953,Godoli
598011,215975,Linganamath
598012,215968,Kakkeri
598013,215948,Bhurunaki
598014,215973,Kherawad
598015,215948,Bhurunaki
598016,215968,Kakkeri
598017,215975,Linganamath
598018,215975,Linganamath
598019,215953,Godoli
598020,215975,Linganamath
598021,215983,Nandagad
598022,215977,Londa
598023,215739,Deshanur
598024,215739,Deshanur
598025,215762,Nesargi
598026,273227,Mallapur K.N
598027,273227,Mallapur K.N
598028,215758,Mekalamardi
598029,215744,Hanabaratti
598030,215744,Hanabaratti
598031,215744,Hanabaratti
598032,215775,Vannur
598033,215775,Vannur
598034,215775,Vannur
598035,215758,Mekalamardi
598036,215758,Mekalamardi
598037,215758,Mekalamardi
598038,215759,Murakibhavi
598039,215767,Sutagatti
598040,215767,Sutagatti
598041,215767,Sutagatti
598042,215767,Sutagatti
598043,215745,Hannnikeri
598044,215732,Bhavihal
598045,215732,Bhavihal
598046,215759,Murakibhavi
598047,215760,Naganur
598048,215732,Bhavihal
598049,215769,Tigadi
598050,215732,Bhavihal
598051,215745,Hannnikeri
598052,215745,Hannnikeri
598053,215757,Marikatti
598054,215757,Marikatti
598055,215757,Marikatti
598056,215757,Marikatti
598057,215757,Marikatti
598058,215734,Chikkabagewadi
598059,215734,Chikkabagewadi
598060,215734,Chikkabagewadi
598061,215769,Tigadi
598062,215734,Chikkabagewadi
598063,215755,M. Nagalapur
598064,215755,M. Nagalapur
598065,215747,Holihosur
598066,215747,Holihosur
598067,215755,M. Nagalapur
598068,215765,Sampgaon
598069,215730,Bailwad
598070,215761,Neginhal
598071,215761,Neginhal
598072,299807,Veerapura
598074,299807,Veerapura
598075,215736,D.Shigihalli
598076,215737,Dastikoppa
598077,215736,D.Shigihalli
598078,215749,Kadrolli
598079,215748,Hunasikatti
598080,215771,Turmari
598081,215750,Kalabhavi
598082,215752,Khodanpur
598083,215752,Khodanpur
598084,215752,Khodanpur
598085,215750,Kalabhavi
598086,215750,Kalabhavi
598087,215726,Ambadgatti
598088,215726,Ambadgatti
598089,215726,Ambadgatti
598090,215770,Tigadolli
598091,215770,Tigadolli
598092,215773,Ugarkhod
598093,215773,Ugarkhod
598094,215773,Ugarkhod
598095,215746,Hirenandihalli
598096,215746,Hirenandihalli
598097,215746,Hirenandihalli
598098,215763,Nichanaki
598099,215728,Avaradi
598100,215728,Avaradi
598101,215728,Avaradi
598102,215728,Avaradi
598103,215773,Ugarkhod
598104,215738,Degaon
598105,215729,Bailur
598106,215729,Bailur
598107,215738,Degaon
598108,215738,Degaon
598109,215738,Degaon
598112,215763,Nichanaki
598113,215763,Nichanaki
598114,215763,Nichanaki
598115,215763,Nichanaki
598116,215738,Degaon
598117,215754,Kulavalli
598118,215754,Kulavalli
598119,215735,Chivatgundi
598120,215735,Chivatgundi
598121,215730,Bailwad
598122,215725,Amatur
598123,215740,Devalapur
598124,215725,Amatur
598125,215727,Anigol
598126,215774,Vakkund
598127,215774,Vakkund
598128,215725,Amatur
598129,215725,Amatur
598130,215725,Amatur
598131,215743,H.Nagalapur
598132,215743,H.Nagalapur
598133,215766,Sangolli
598134,215766,Sangolli
598135,215751,Kenganur
598136,215751,Kenganur
598137,215751,Kenganur
598138,215751,Kenganur
598139,215772,Udakeri
598140,215772,Udakeri
598141,215772,Udakeri
598142,215731,Belavadi
598143,215764,Pattihal K.B
598144,215731,Belavadi
598145,215768,T. Shigihalli
598146,215768,T. Shigihalli
598147,215768,T. Shigihalli
598148,215733,Budarkatti
598149,215733,Budarkatti
598150,215742,Govankoppa
598151,215742,Govankoppa
598152,215742,Govankoppa
598153,215741,Dodavad
598154,215741,Dodavad
598155,215994,Akkisagar
598156,216020,Mugalihal
598157,216020,Mugalihal
598158,216020,Mugalihal
598159,215994,Akkisagar
598160,216016,Madamageri
598161,216016,Madamageri
598162,215994,Akkisagar
598163,216025,Sattigeri
598164,216028,Soppadla
598165,216025,Sattigeri
598166,216025,Sattigeri
598167,216016,Madamageri
598168,216016,Madamageri
598169,216015,Kotur - Shivapur
598170,216015,Kotur - Shivapur
598171,216012,Kadabi
598172,216012,Kadabi
598173,216012,Kadabi
598174,216036,Yarazarvi
598175,216036,Yarazarvi
598177,216028,Soppadla
598178,216028,Soppadla
598179,273247,Aladakatti K.M
598180,216036,Yarazarvi
598181,216031,Tallur
598182,216031,Tallur
598183,216031,Tallur
598184,216031,Tallur
598185,216017,Madlur
598186,216017,Madlur
598187,216017,Madlur
598188,273249,Mabanur
598189,215999,Chachadi
598190,216005,Hirebudnur
598191,216005,Hirebudnur
598192,216005,Hirebudnur
598193,216030,Tadasalur
598194,216030,Tadasalur
598195,215999,Chachadi
598196,216004,Harogoppa
598197,216011,Inchal
598198,216011,Inchal
598199,216004,Harogoppa
598200,216004,Harogoppa
598201,216030,Tadasalur
598202,216030,Tadasalur
598203,216030,Tadasalur
598204,216022,Murgod
598205,216022,Murgod
598206,216023,Rudrapur
598207,216023,Rudrapur
598208,216023,Rudrapur
598209,216023,Rudrapur
598210,216019,Marakumbi
598211,216019,Marakumbi
598212,216019,Marakumbi
598213,216009,Hosur
598214,216018,Mallur
598215,216018,Mallur
598216,216018,Mallur
598217,216018,Mallur
598218,216018,Mallur
598219,216029,Sutagatti
598220,216029,Sutagatti
598221,216029,Sutagatti
598222,216027,Sirasangi
598223,216029,Sutagatti
598224,216029,Sutagatti
598225,216034,Yakkundi
598226,216034,Yakkundi
598227,215997,Badli
598228,216034,Yakkundi
598229,216034,Yakkundi
598230,215997,Badli
598231,215997,Badli
598232,215997,Badli
598233,215997,Badli
598234,216002,Goravanakolla
598235,215996,Asundi
598236,215996,Asundi
598237,215996,Asundi
598238,215996,Asundi
598239,216014,Karikatti
598240,216024,Sangreshkop
598241,216024,Sangreshkop
598242,216024,Sangreshkop
598243,216010,Inamahongal
598244,216010,Inamahongal
598245,216010,Inamahongal
598246,216002,Goravanakolla
598247,215998,Betasur
598248,215998,Betasur
598249,216033,Ugaragol
598250,216033,Ugaragol
598251,216006,Hirekumbi
598252,216006,Hirekumbi
598253,216006,Hirekumbi
598254,216006,Hirekumbi
598255,216003,Hanchinal
598257,216032,Teggihal
598258,216032,Teggihal
598259,215995,Aratagal
598260,215995,Aratagal
598261,215995,Aratagal
598262,273248,Bhandarahalli
598263,273248,Bhandarahalli
598264,273248,Bhandarahalli
598265,273248,Bhandarahalli
598266,216026,Shindogi
598267,216002,Goravanakolla
598268,216002,Goravanakolla
598269,216002,Goravanakolla
598270,216002,Goravanakolla
598271,216002,Goravanakolla
598272,216002,Goravanakolla
598273,216026,Shindogi
598274,216001,Gorabal
598275,216001,Gorabal
598276,216027,Sirasangi
598277,216027,Sirasangi
598278,216027,Sirasangi
598279,216013,Kagadal
